text_id,text
1,"d.'

**Simplified text:**

Some time ago, there was a website that talked about the dangers of public check-ins. It said that if you put your location online, people you don't know can find out. This made people think about the downsides of sharing information on the internet.

The internet has a lot of opportunities to share your life with the world. You can write a blog, post pictures, and talk to people from all over the world. But you should be careful about what you share online. If you put your personal information on the internet, people might be able to find it and use it against you.

There are some people who have learned from the mistakes of others. Heather Armstrong is one of them. She had a blog where she wrote about her life. One day, someone sent the address of her blog to her boss. As a result, she lost her job. But Armstrong didn't give up. She started a new blog and wrote about her family. Today, she is a successful blogger and her writing supports her family.<eos>"
2,"e.'

**Simplified text:**

A long time ago, some scientists started a campaign to warn people about a movie called What the Bleep Do We Know? It showed that there is a lot about the universe that we don't understand. Even though some scientists can be a bit arrogant, they don't claim to have all the answers. Some people felt that the movie was very dangerous and issued warnings about it. The movie talked about some new discoveries that showed that the universe is far stranger than anyone had expected. One of the discoveries was that water molecules can be affected by thoughts. This is a very amazing claim, but it is also very difficult to prove. The movie didn't give much evidence to support this claim. However, lots of people find this kind of evidence pretty compelling. The movie also talked about other discoveries, such as the discovery that the universe is made from an unknown form of matter and is being propelled by a mysterious force known only as 'dark energy'. These discoveries are very astounding, but they also raise a lot of questions. It is clear that we still have a long way to go before we understand everything about the universe.<eos>"
3,"s.'

**Simplified text:**

Writing novels is like planting a forest, and writing short stories is more like planting a garden. The two processes complement each other, creating a complete landscape. Writing novels takes a long time and a lot of commitment, while writing short stories is quicker and easier to finish. You can create a story out of the smallest things, and you don’t have to worry about failing. Short stories are like guideposts to your heart, and it makes you happy as a writer to be able to share these intimate feelings with your readers.<eos>"
4,"t.'

**Simplified Text:**

Science is a powerful force that has improved our lives and threatened our existence. It has also inspired us to dream big and to understand the universe. Science has its beauty and its perils, but it is also important and fallible. Scientists come in many colors, and their work is often characterized by conflict. The history of science has been filled with conflict and change. Sometimes, scientific theories are overthrown and replaced by new ones. But science always keeps moving forward. It is a constantly evolving field that is always learning new things. Science has also had a big impact on the world. It has helped us to understand our planet and our place in the universe. It has also helped us to develop new technologies and treatments. Science is a powerful tool that can be used for good or for evil. We need to be aware of the power of science and use it responsibly.<eos>"
5,"s.'

**Simplified text:**

From around 2015, books sales started to decline. This made people question the future of ebooks. Some people thought that ebooks would replace print books. But this is not true. Digital and print books can coexist in the market. The idea of the disappearing book is a powerful one. It tells us much more about our relationship with technology and change.

In the past, there have been many times when new technologies have been predicted to kill existing media. For example, when television was invented, people thought that radio would die. But radio survived. And the same is true for books. E-readers have not replaced print books. They have just made them more popular.

The idea of the disappearing book is a story that we use to make sense of change. It is a story about our fears and our hopes for the future. It is also a story about our relationship with technology.<eos>"
6,"g.'

**Simplified text:**

Every day, I wake up early and do some things that help me write. I write about how some of the greatest minds of the past have approached the same task. I also write about my own struggles with creativity and productivity. I want to provide a new way to look at people's routines and habits. I think that everyone can learn from the habits of successful people.

I have a lot of different sources that I use to write this book. I have read biographies, articles, and obituaries to learn about people's routines. I have also used my own experiences to write about my own struggles with creativity and productivity.

I hope that this book will help you to learn more about the habits of successful people. I also hope that it will inspire you to write your own book.<eos>"
7,". '

**Simplified text:**

Howard became a palaeontologist because he was interested in dinosaurs. He wanted to become a palaeontologist since he was young. He studied delicate creatures revealed on the surface of grey rocks. He finished his doctoral thesis and got a job as a lecturer. He was grateful for his job, even though he was not the obvious candidate. He often found himself contrasting the orderly nature of his professional life with the anarchy of private concerns. One day, his briefcase was stolen. He was fuming and returned to the college. He made an explanatory phone call and postponed the lecture. He reported the theft to the appropriate authorities and then went for a restorative coffee. He joined a colleague who was entertaining a visiting curator from the Natural History Museum in Nairobi. And thus it was that Howard learned of the recently acquired collection of fossils.<eos>"
8,"e.'

Simplified Text:

Charles Spence is a Professor of Experimental Psychology at Oxford University in the UK. He has studied how the senses interact to form our perception of flavour. Through his studies, he has influenced what we eat and drink. He has also studied how the person who orders first in a restaurant enjoys their food most and how much we consume when eating with others.

Spence's lab is simple and low-tech. There are soundproof booths and stacks of ancient-looking audio-visual equipment. He can afford to work more creatively with cooks because much of his work is funded by a major food multinational.

Spence has helped famous brands reduce salt and sugar in their products. He has also found that higher-pitched music enhances sweetness and lower-pitched and brassy sounds make food taste bitter.

At home, Spence has had dinner parties with unique experiences, such as playing with remote-controlled light bulbs and eating rabbit with the fur wrapped around the cutlery.<eos>"
9,"e.'

**Simplified Text:**

Our brains are very busy these days. We have a lot of information to deal with, including facts, rumors, and things that are not true. We also do more things than ever before. Thirty years ago, people used to make our airline reservations and help us find what we needed in shops. Now we do most things ourselves. We have smartphones that help us do many things at once. But there’s a problem with multitasking. It makes us less efficient. It also increases the production of stress hormones and makes it harder to focus. If you try to do too much at once, you will not be able to do any of it well. It is like trying to juggle too many balls. You will not be able to keep any of them in the air. To make matters worse, multitasking requires decision-making. It takes a lot of energy to make decisions, and it can lead to making bad decisions.<eos>"
10,".’'

Simplified Text:

In a zoo in Sweden, there is a chimpanzee named Santino who breaks up concrete into pieces at night. Was he being spiteful? In caves in the US, female bats help unrelated fruit bat mothers if they can’t find the right birthing position. Are they being caring? Fifty years ago, people thought that animals didn’t have consciousness or feelings. But recently that has changed. Thanks to research into the behaviour of bats, chimps, and other animals, we now know that animals have emotions. It is a change that has started a debate about whether animals can be said to have consciousness. This debate is very difficult to solve. It is a philosophical one. Given that even defining consciousness is near impossible, can we ever hope to know what it is like to be a bat?

The observations made in this text are not disputed, but the interpretation of them is. Some people believe that we should stop eating meat, while others believe that we should at the very least re-evaluate our view of animal cognition. There is no consensus on what the best course of action is.<eos>"
