text_id,text
1,"d.'

**Simplified text:**

Some time ago, there was a website that talked about the risks of public check-ins. It said that if you post something online, it can be seen by a lot of people. This made people think about the downsides of sharing things online. The internet has a lot of opportunities to share your life with the world. You can use it to become famous or wealthy. But you also need to be careful because the internet can be a dangerous place.

In the early days of the internet, there was a young man named Justin Hall who started posting things online. He was one of the first bloggers. He shared a lot of personal information about himself, including photos and art. One day, Hall's site was hacked and his private information was shared with the world. This made people lose trust in him. Hall's story is a warning about the risks of sharing things online.

Another example of the risks of sharing things online is the story of Heather Armstrong. She had a blog where she wrote about her job and her personal life. One day, an anonymous person sent the address of Armstrong's blog to her boss. This led to her being fired from her job. Armstrong's story is a reminder that we need to be careful about what we share online.<eos>"
2,"e.'

**Simplified Text:**

A long time ago, some scientists started a campaign to warn people about a movie called What the Bleep Do We Know? It showed that there is a lot about the universe that we don't understand. Even though some scientists can be a bit arrogant, they don't claim to have all the answers. Some people felt that the movie was very dangerous and issued warnings about it. The movie was a must-see for everyone. But for the first twenty minutes, I couldn’t see what all the fuss was about. Then, the movie started to talk about some new discoveries and I began to see what the fuss was really about. One of the discoveries was that water molecules can be affected by thoughts. I had heard rumours about this before, but the movie didn’t give much evidence to support it. Still, lots of people find this evidence to be very convincing. But before we get too excited, we need to have some good proof that the effect is real. The movie's claims were not bizarre enough. They were too easy to believe. The real problem is that we don’t have enough evidence to support the claims made in the movie.<eos>"
3,"s.'

**Simplified text:**

Writing novels is like planting a forest, and writing short stories is more like planting a garden. The two processes complement each other, creating a complete landscape that I treasure.

Writing novels takes a long time and a lot of commitment. It's like planting a forest, which takes years to grow. Writing short stories is more like planting a garden, which takes less time and is easier to complete.

I write novels and short stories alternately. Once I finish a novel, I feel like writing some short stories. And once I have written a group of short stories, I feel like writing a novel.

Writing short stories is a necessary change of pace for me. It's like taking a break from the forest and planting a garden. It's also easier to create a story out of the smallest things.

I find writing short stories to be a rewarding experience. It's like setting out soft shadows in the world and leaving faint footprints. It also makes me happy to be able to share my intimate feelings with my readers.<eos>"
4,"t.'

**Simplified Text:**

Science is a powerful force that has improved our lives and threatened our existence. It has also inspired us to dream big and to understand the universe. Science has its beauty and its perils, but it is also important and fallible.

Scientists come in many different colors, and they often disagree with each other. But they always keep working to learn new things and to improve their theories. Sometimes, scientific theories change very quickly. But science always keeps moving forward.

Science has also had a big impact on the world. It has helped us to understand the universe and to control it. But science also has the potential to harm us. We have to be careful to use science responsibly.

Science is a complex and challenging field, but it is also a rewarding one. It is a field that can teach us about ourselves and the world around us. It is a field that can help us to improve our lives and to make the world a better place.<eos>"
5,"s.'

**Simplified text:**

From around 2015, there was a time when major publishers started to report that sales of ebooks had stopped growing, or even fallen in some cases. This made people question whether ebooks would continue to be popular. One publishing executive admitted that the ebooks hype may have been too much, and that his company had lost confidence in the power of the printed word. Despite the evidence, the idea that ebooks will ""kill"" print books still continues to be discussed.

The idea of one medium replacing another is not new. It has happened many times before. For example, when television was invented, people thought that radio would die. But radio ended up surviving by finding new uses. The same thing happened with the introduction of the phonograph, movies, and other technologies.

The idea of the disappearing book is a powerful one because it taps into our emotions. We create strong bonds with objects that we use regularly, and the emergence of a new technology can disrupt those bonds. As a result, we often find ourselves longing for what we used to know, but no longer have.

This is why entire industries develop around retro products and older technologies. For example, the spread of the printing press made people seek out original manuscripts. The shift from silent to sound movies stimulated nostalgia for the older form. The same happened with the shift from analog to digital photography, and from vinyl records to CDs.<eos>"
6,"g.'

**Simplified Text:**

Every day, I wake up early and do some things that help me write. I make coffee, brush my teeth, and write about how some of the greatest minds of the past have approached writing. I also write about my own life and my struggles with creativity and productivity.

I have a lot of concerns about creativity and productivity. How do you do meaningful creative work while also earning a living? Is it better to devote yourself wholly to a project or to set aside a small portion of each day? And when there doesn’t seem to be enough time for all you hope to accomplish, must you give things up or can you learn to condense activities, to do more in less time, to ‘work smarter, not harder’?

I have tried to provide examples of how a variety of brilliant and successful people have confronted many of the same challenges. I wanted to show how grand creative visions translate to small daily increments; how one’s working habits influence the work itself, and vice versa.

This book is about people’s routines. It’s about the circumstances of creative activity, not the product; it deals with manufacturing rather than meaning. But it’s also, inevitably, personal. I have documented all of my sources in the Notes section, which I hope will also serve as a guide to further reading.<eos>"
7,". '

**Simplified text:**

Howard became a palaeontologist because he was interested in dinosaurs. He wanted to become a palaeontologist since he was young. He studied delicate creatures revealed on the surface of grey rocks. He finished his doctoral thesis and got a job at a college in London. He was surprised to find that he got the job, but he was also disappointed that he did not get the job he wanted. He often found himself contrasting the orderly nature of his professional life with the anarchy of private concerns. But he was grateful that he had the job and that he could support himself by doing the sort of work he wanted to do.<eos>"
8,"e.'

Simplified Text:

Charles Spence is a Professor of Experimental Psychology at Oxford University in the UK. He has studied how the senses interact to form our perception of flavour. Through his studies, he has influenced what we eat and drink. He has also studied how the person who orders first in a restaurant enjoys their food most and how much we consume more food when eating with others.

Spence's lab is un-space-age. It has soundproof booths and stacks of ancient-looking audio-visual equipment. He can afford to work more creatively with cooks because he keeps his overheads low.

Spence is currently helping famous brands through reductions in salt and sugar. He points out that it is in their interests to help loyal customers stay alive for longer.

What, one wonders, are dinner parties like in the Spence household? They're all extensions of the lab to Spence.<eos>"
9,"e.'

**Simplified Text:**

Our brains are very busy these days. We have a lot of information to deal with, including facts, rumors, and things that are not true. We also do more things ourselves now than we used to. For example, we make our own reservations and find things in shops. We do a lot of different things at once, but it's not multitasking. It's more like spinning plates. When we think we're multitasking, we're actually switching from one task to another very quickly. This can be stressful and make it harder to focus on the task at hand. Multitasking also makes it harder to learn new information and make decisions. It's a real problem, especially with email. We feel obligated to answer emails, but it's impossible to do that and get anything else done.<eos>"
10,".’'

**Simplified Text:**

In a Swedish zoo, there is a chimpanzee named Santino who breaks up concrete into pieces at night. Was he being spiteful? In caves in the US, female bats help unrelated fruit bat mothers if they can’t find the right birthing position. Are they being caring? Fifty years ago, people thought that animals didn’t have consciousness or feelings. But recently that has changed. Thanks to research into the behaviour of bats, chimps, and other animals, we now know that animals have emotions. It is a change that has started a debate about whether animals can be said to have consciousness. This debate is complex and there is no easy answer. But it is important because it raises questions about our relationship with animals and our responsibility to them.<eos>"
