text_id,text
1,"Some time ago, a website talked about the dangers of public check-ins, which are online announcements of where you are. The website's message was clear: you might think you're just telling people, ""Hey, I'm here,"" but you're also letting everyone know you're not at home, including people you might not want to meet. This made people more aware that sharing everything online might have negative sides. The internet gives us many chances to share our lives with a global audience, offering possibilities like wealth and fame. So, we dive into the internet, sharing confessions, personal photos, and stories. But soon, we realize the online world is crowded and risky, and we can get lost. This might sound depressing, but don't lose hope. There is a guide for this future, created by a group of early internet users. In the early days of the web, they explored these challenges. They lost jobs, made and lost friends, and dealt with the dangers of fame, all before social media existed. These early users, the first bloggers, have already experienced what many of us are going through now. Before we forget their stories, it's worth learning from them. As the saying goes, those who don't learn from history are doomed to repeat it. 

In January 1994, Justin Hall, a 19-year-old student, started posting on the ""WWW,"" which was mostly used by students, scientists, and a few young people like him. The web was created at CERN, a physics lab in Switzerland, to help researchers share their work. Hall saw it as a chance to share his life. He created a detailed online autobiography with text, photos, and art. In January 1996, he started a daily blog, and many people were interested in his bold use of this new medium. Hall's rule was simple: if you crossed his path, you might end up on his site, and no topic was off-limits. While his work was very open, it also had a certain beauty that some might call art. However, one day, visitors to Hall's site found it replaced with a video called Dark Night. He shared that he had fallen in love, but when he wrote about it online, he was told, ""either the blog goes, or I do."" He realized that sharing his life online made people not trust him. He stopped the blog, but the problem remains. Sharing online is fun, but if you think it will make people like you more, you'll be disappointed.

In 2002, Heather Armstrong, a web worker in Los Angeles, had a blog called Dooce. She sometimes wrote about her job at a software company. One day, a colleague sent her blog's address to all the vice presidents at her company, including some she had made fun of, and she lost her job. Experts call this the ""online distribution effect,"" where people feel they can say things online they wouldn't say in person. But the internet is not a separate reality where we can say anything without consequences. Our online and real lives are connected. Ignoring this can lead to serious mistakes. Armstrong's story ended well. Although she was upset and stopped blogging for a while, she got married and started her blog again, focusing on her family. Now, she is a successful ""mommy blogger,"" and her writing supports her family. She learned that while the internet lets us say anything, it doesn't mean we should."
2,"Some time ago, scientists started a campaign to warn people about a low-budget film called ""What the Bleep Do We Know?"" This film mixed documentary and drama to show that there is a lot about our universe that we don't understand. Most scientists agree that we don't know everything about the universe. However, some scientists felt the need to warn the public about the film, calling it ""atrocious"" and ""a very dangerous piece of work."" This made the film seem interesting to watch.

At first, the film seemed harmless. Scientists in the film talked about how new discoveries show that the universe is stranger than we thought. But then the film talked about discoveries like water molecules being affected by thoughts. I had heard before that a Japanese researcher claimed that the shape of a water molecule could change just by the thoughts of people around it. The film showed pictures of ice crystals looking nice after being talked to by someone happy and looking bad after being exposed to someone in a bad mood. Some people find this evidence convincing because it is simple and clear. However, scientists usually say, ""Give me a break."" They mean that while the idea is interesting, we need strong proof to believe it. Nice pictures of crystals are not enough.

The real issue is that the film's claims were not strange enough. Consider this: water molecules might have properties due to a form of energy that comes from nowhere and is linked to a force that is expanding the universe. This idea is supported by decades of research in labs and observatories worldwide. Scientists have discovered that the universe is made of unknown matter and is driven by a mysterious force called ""dark energy.""

Apart from the film, other amazing discoveries are being made. Neuroscientists found that our conscious perception of events is about half a second behind reality, but our brains edit this delay out. Anthropologists think they have found where modern humans first lived and why they spread across the world. Some theorists even suggest there are links between life on Earth and the universe's design.

Science is far from complete. We are further from knowing everything than ever before. Concepts like chaos and quantum uncertainty limit what we can know. Some of the world's top physicists are trying to create a ""Theory of Everything"" to explain all the forces and particles in the universe with one equation. Despite these theories, many people think the universe can be described in one word: incredible."
3,"In simple terms, I find writing novels challenging and writing short stories enjoyable. Writing a novel is like planting a forest, while writing a short story is like planting a garden. Both activities complement each other, creating a complete landscape that I value. The trees provide shade, and the wind moves the leaves, which sometimes turn golden. In the garden, flowers bloom, and their colorful petals attract bees and butterflies, showing the change of seasons. Since I started my career as a fiction writer, I have alternated between writing novels and short stories. My routine is this: after finishing a novel, I want to write short stories; after completing short stories, I focus on a novel. I never mix the two; I don't write short stories while working on a novel and vice versa. Writing these two types of stories might use different parts of the brain, and it takes time to switch from one to the other. I began my career with two short novels in 1975, and from 1984 to 1985, I started writing short stories. I didn't know much about writing short stories then, so it was difficult, but I found it memorable. It felt like my fictional world expanded, and readers liked this new side of me. One of my first works, ‘Breaking Waves’, was in my first short-story collection, Tales from Abroad. This was my start as a short-story writer. One joy of writing short stories is that they don't take long to finish. It usually takes me about a week to shape a short story (though revising can take a long time). It's not like the full commitment needed for the year or two it takes to write a novel. You go into a room, finish your work, and leave. That's it. Writing a novel can feel like it goes on forever, and I sometimes wonder if I'll make it through. So, writing short stories is a necessary change of pace for me. Another nice thing about short stories is that you can create them from small things – an idea, a word, an image, anything. It's often like jazz improvisation, with the story leading me. Also, with short stories, you don't have to worry about failing. If the idea doesn't work out, you just accept it and move on. Even great writers like F. Scott Fitzgerald and Raymond Carver didn't make every short story a masterpiece. This is comforting to me. You can learn from your mistakes and use that in the next story. When I write novels, I try to learn from the successes and failures of my short stories. In this way, short stories are like an experimental lab for me as a novelist. It's hard to experiment in a novel, so without short stories, writing novels would be even harder. My short stories are like soft shadows I've left in the world, faint footprints I've made. I remember where I wrote each one and how I felt. Short stories are like guideposts to my heart, and it makes me happy to share these feelings with my readers."
4,"Science can be very abstract, like philosophy, or very practical, like curing diseases. It has made our lives easier but also posed threats. Science tries to understand everything from tiny ants to the vast universe, but it often struggles. It influences poets, politicians, philosophers, and even tricksters. Its beauty is clear to experts, but its dangers are often misunderstood. People sometimes overestimate or underestimate its importance, and its mistakes are either ignored or exaggerated. 

Science is full of conflicts. Old theories are often changed or replaced by new ones, similar to how new music styles are first mocked but later accepted. Scientists can be competitive and emotional. This book will explore how scientific ideas have changed not just science but also human thought. We will focus on ideas, not practical inventions like non-stick pans. We will admire these ideas but also question them, recognizing both human creativity and limitations.

Science is always changing. Scientists often challenge each other's ideas. Usually, these changes don't affect society much, but sometimes they cause big shifts in our beliefs. For example, in the 17th century, science described the universe as a giant clock. Later, physics showed that our observations can affect the universe, and we don't fully understand basic concepts. Some people think this shows science can't explain everything, but scientific changes usually help us understand and predict nature better. Isaac Newton explained more than Aristotle, and Albert Einstein explained more than Newton. Science makes mistakes but keeps progressing.

At the end of the 19th century, many physicists thought there was nothing new to discover. Then came radioactivity, X-rays, electrons, quantum mechanics, relativity, and more. Biology has also made many discoveries. Some people now think we are close to a complete theory of the universe. Maybe. Science is not just a harmless hobby. In the last 200 years, we have started to control nature, sometimes upsetting its balance without understanding the consequences. Science needs to be monitored. Non-scientists must understand scientific advances because they affect the world their children will live in and even the children themselves. Science is now part of how we plan and shape our future, and these decisions are important for budgets, health, and life on Earth."
5,"From around 2015, after years of growth, big publishers noticed that ebook sales stopped increasing or even went down. This raised new questions about the future of ebooks in the publishing world. One publishing executive, who didn't want to be named, said that the excitement about ebooks might have led to bad investments, as his company lost faith in the traditional printed book. Despite the clear idea that digital and print books can exist together, people still wonder if ebooks will replace printed books. Whether people are predicting or dismissing this idea, the thought of books disappearing continues to capture our imagination and spark debate. Why is this idea so strong? Why do we see the relationship between ebooks and print books as a battle, even when evidence suggests otherwise? The answers go beyond ebooks and reveal our mixed feelings of excitement and fear about new technology and change. 

In my research, I have talked about how the idea of one type of media replacing another often comes up when new technologies appear. Even before digital technology, people predicted the end of existing media. For example, when television was invented, many thought radio would die. But radio survived by finding new uses, like being listened to in cars or at work. The idea of books disappearing isn't new either. As early as 1894, people thought the phonograph would replace books with what we now call audiobooks. This pattern has repeated many times. Movies, radio, television, and smartphones have all been seen as threats to print books. Some people thought the end of books would lead to cultural decline, while others believed ebooks would bring great benefits. 

The idea of books disappearing often comes up during times of technological change. This story shows our hopes and fears about new technology. To understand why these feelings are common, we need to remember that we form emotional connections with media as they become part of our lives. Many studies show that we develop close ties with things like books, TVs, and computers, sometimes even naming our cars or getting angry at our laptops. So, when new technology like e-readers comes along, it doesn't just mean economic and social change. It also means we have to change our relationship with something that is part of our daily life. As technology advances, we often miss what we used to have. This is why industries grow around old products and technologies. 

For example, when the printing press spread in 15th-century Europe, people wanted original manuscripts. The change from silent to sound movies in the 1920s made people nostalgic for silent films. The same happened with the shift from analog to digital photography and from vinyl records to CDs. Not surprisingly, e-readers have made people appreciate the physical quality of old books, even their sometimes unpleasant smell. This should comfort those who worry about print books disappearing. However, the idea of a disappearing medium will continue to be a popular story about the power of technology and our dislike of change. One way we try to understand change is by using familiar stories, like those of tragedy and endings. These stories are easy to remember and share, and the story of the death of the book reflects both our excitement for the future and our fear of losing parts of our personal world – and, in the end, ourselves."
6,"For a year and a half, almost every weekday morning, I woke up at 5:30, brushed my teeth, made coffee, and sat down to write. I focused on how some of the greatest minds from the past 400 years managed their time to be creative and productive. By looking at the everyday details of their lives—like when they slept, ate, and worked—I wanted to show a different side of their personalities and careers. I aimed to create interesting portraits of these artists as people with habits, just like us. 

The French gastronome Jean Anthelme Brillat-Savarin once said, ""Tell me what you eat, and I shall tell you what you are."" I say, ""Tell me what time you eat, and if you take a nap afterward."" This book is about the conditions for creativity, not the final product. It’s about how things are made, not what they mean. But it’s also personal. The novelist John Cheever believed that even writing a business letter reveals something about yourself. My book explores questions I face in my own life: How can you do meaningful creative work while earning a living? Is it better to focus entirely on a project or to work on it a little each day? When time is short, do you have to give up things like sleep or income, or can you learn to do more in less time?

I don’t claim to answer these questions in the book—some might not have clear answers. But I’ve tried to show how different successful people have dealt with these challenges. I wanted to illustrate how big creative ideas are built from small daily actions and how work habits affect the work itself. The book is called Daily Rituals, but it’s really about people’s routines. A routine might seem ordinary, but it can be a powerful tool for using limited resources like time, willpower, and optimism. A good routine can help focus your mental energy and keep you from being controlled by your moods. Psychologist William James believed that having good habits allows us to focus on more interesting things. Ironically, James himself often procrastinated and couldn’t stick to a schedule.

This book started from my own procrastination. One Sunday, I was alone at the architecture magazine where I worked, trying to write a story due the next day. Instead of working, I was tidying my desk and making coffee. I’m a morning person, able to focus well in the early hours but not so much after lunch. To feel better about this, I searched online for other writers’ work schedules. I found them easily and thought someone should collect these stories. That’s how I started the Daily Routines blog and eventually this book. The blog was simple; I posted descriptions of people’s routines from biographies and articles. For the book, I expanded and researched more, keeping the variety of voices that made the blog popular. I let my subjects speak for themselves through quotes from letters, diaries, and interviews. In other cases, I summarized their routines from other sources. This book wouldn’t be possible without the work of many biographers, journalists, and scholars. I’ve listed all my sources in the Notes section, which can also guide further reading."
7,"Howard became a palaeontologist because of a change in interest rates when he was six years old. His father, who was careful with money and had a big mortgage, decided they couldn't afford a holiday to Spain. Instead, they rented a chalet on the English coast. One rainy August afternoon, Howard found an ammonite* on the beach. From then on, he knew he wanted to be a palaeontologist. By the end of university, he knew what kind of palaeontologist he wanted to be. He wasn't interested in the popular areas like the Jurassic period or dinosaurs. He was more interested in the very beginnings of life, studying ancient creatures in grey rocks. 

When he finished his doctoral thesis, he worried about finding a job, especially in the kind of place he wanted. He was confident in his abilities but knew that deserving something doesn't always mean you get it. The process of getting an academic job can be unfair. When a job at Tavistock College in London was available, he applied, but he wasn't very hopeful. On the day of his interview, the professor who was supposed to lead the panel had an argument with his wife, crashed his car, and ended up in the hospital. The interview went on without him, and the professor who replaced him didn't like the candidate the first professor supported. This led to Howard getting the job. Howard was surprised and grateful, but later learned the real reason he got the job. He was a little disappointed but happy to have the job he wanted.

Howard often thought about how his professional life was organized and planned, unlike the chaos of personal life. He realized how strangers could change your life, like when his briefcase with lecture notes was stolen at an Underground station. Angry, he went back to the college, postponed his lecture, and reported the theft. Then he had coffee with a colleague and a visiting curator from the Natural History Museum in Nairobi. He learned about a new collection of fossils there, which would be his biggest challenge and secure his career. If his briefcase hadn't been stolen, he wouldn't have known about this opportunity. He quickly changed his plans, deciding not to go to a conference in Stockholm or take students to Scotland. Instead, he focused on finding the money to visit the museum in Nairobi. 

*An ammonite is a type of fossil."
8,"Charles Spence is willing to try almost any food. ""We have ice cream made from bee larvae at home,"" says the Professor of Experimental Psychology at Oxford University in the UK. Although they look like maggots, they taste ""slightly nutty and floral."" Making bug-eating acceptable is just one of the challenges Spence and his team are working on. Through his research on how our senses work together to create the perception of flavor, Spence is quietly influencing what we eat and drink. This includes working with big food companies and top restaurants. 

Spence and his colleagues study how we experience food and drink, a field informally known as gastrophysics. They look at details like who we eat with, how food is presented, the color and texture of plates and cutlery, and background noise—all of which affect taste. Spence's book, ""The Perfect Meal,"" co-written with Betina Piqueras-Fiszman, offers many interesting insights. For example, the first person to order in a restaurant usually enjoys their food the most. Also, we eat about 35% more when dining with one other person, and 75% more with three others.

Spence's lab in Oxford is simple and low-tech, with soundproof booths and old audio-visual equipment. By keeping costs low, he can work creatively with chefs who can't afford academic research. Much of his work is funded by a major food company. In the past, research funded by industry was seen as less serious in universities. However, now universities are encouraged to show that their work has an impact, making this research valuable. Spence is helping well-known brands reduce salt and sugar, often secretly, so customers don't notice the change. Research shows that if people know about these changes, they focus on the taste and may not like it as much.

Spence first met Heston Blumenthal, a famous experimental chef, while working on a project for a major food producer. At the time, people thought science and food didn't mix, but most food is scientific. Blumenthal and Spence worked together on the ""Sound of the Sea"" dish at Blumenthal's restaurant. Interestingly, the Italian futurists, an early 20th-century art movement, tried similar ideas with food and sound, but it didn't become popular.

Now, the food industry is using Spence's sensory science widely. For example, his research shows that high-pitched music makes food taste sweeter, while low-pitched sounds make it taste bitter. An airline will soon match music with the food served to passengers. Last year, a brand released a smartphone app that played music while ice cream softened, but they didn't match the music to the taste, which Spence says happens often.

At home, Spence's dinner parties are unique. Once, they ate rabbit with the fur wrapped around the cutlery. Another time, they used remote-controlled, multi-colored light bulbs. They've also had parties with a tone generator, headphones, and different drinks to see if they have different pitches. For Spence, home, shops, food conventions, and international gastronomy conferences are all extensions of his lab."
9,"Our brains are busier than ever. We are bombarded with facts, fake facts, nonsense, and rumors, all pretending to be information. We have to sort through this to find what we need and what we can ignore. At the same time, we are doing more tasks ourselves. Thirty years ago, travel agents booked our flights, and salespeople helped us in stores. Now, we do most things on our own. We are doing the work of many people while trying to manage our lives, families, jobs, hobbies, and TV shows. Smartphones help us fit as much as possible into every spare moment. But there is a problem. We think we are multitasking, doing several things at once, but this is a dangerous illusion. Earl Miller, a neuroscientist at MIT, says our brains are not designed to multitask well. When we think we are multitasking, we are actually switching quickly from one task to another, which has a mental cost. We are not expert jugglers; we are more like amateur plate spinners, quickly moving from one task to another, worried that something will go wrong. Even though we think we are getting a lot done, multitasking makes us less efficient. It increases stress hormones like cortisol and adrenaline, which can make our thinking unclear. Multitasking creates a craving for new things, rewarding the brain for losing focus. The prefrontal cortex, a part of the brain, is easily distracted by new things. This is a problem because we need this part of the brain to stay focused. Just having the chance to multitask can hurt our thinking. Glenn Wilson, a former professor of psychology, calls it info-mania. His research found that trying to focus on a task while an email is unread in your inbox can lower your IQ by almost 10 points. Wilson showed that the mental losses from multitasking are worse than those from being tired. Russ Poldrack, a neuroscientist at Stanford University, found that learning new information while multitasking sends the information to the wrong part of the brain. If students do homework and watch TV at the same time, the information goes to the striatum, which stores new skills, not facts and ideas. Without TV, the information goes to the hippocampus, where it is organized and easier to remember. Multitasking also requires decision-making, like whether to answer a text message or not. Decision-making is hard on our brains, and small decisions use the same mental resources as big ones. After making many small decisions, we can make bad decisions about important things. When talking about information overload, email is often mentioned as a problem. It is not about email itself, but the huge amount of communication. A colleague's 10-year-old son said his father ""answers emails"" for a living, which is almost true. We feel we must reply to emails, but it seems impossible to do so and get other things done."
10,"In a Swedish zoo, a chimpanzee named Santino would break concrete into pieces at night to throw at visitors during the day. Was he being mean? In the US, female bats help other fruit bat mothers if they can't find the right position to give birth. Are they being kind? Fifty years ago, these questions were not considered important. Scientists focused on animal behaviors and their outcomes, not on whether animals have feelings or moral systems. But recently, this has started to change. Research on animals like bats, chimps, rats, dolphins, and chickens has begun to explore animal emotions. This change has led to popular science books like Mark Bekoff’s ""Wild Justice"" and Victoria Braithwaite’s ""Do Fish Feel Pain?"". This has started a debate: do animals have consciousness? This leads to another question: do animals have a conscience, a sense of right and wrong? 

In a recent experiment, cows had to open a locked gate to get food. Those that opened the gate themselves showed more pleasure by jumping and kicking than those that had the gate opened for them. If cows enjoy solving problems, what does this mean for how we produce and eat beef? The observations are clear, but their meaning is debated. Dr. Jonathan Balcombe, author of ""Second Nature,"" believes the logical response is to stop eating meat. He thinks humanity is on the verge of a major ethical change, like the end of slavery. Aubrey Manning, a professor at Edinburgh University, says we should rethink how we see animal intelligence. He believes animals have a simpler version of a ""theory of mind"" than humans. Professor Euan MacPhail thinks we should stop giving animals human-like qualities. The disagreement is not just scientific or moral, but philosophical. Since defining consciousness is difficult, can we ever know what it is like to be a bat?

Balcombe describes an experiment that suggests starlings, a type of bird, can feel depressed. At Newcastle University, starlings were split into two groups. One group lived in nice cages with lots of space and water, while the other group lived in small, empty cages. Both groups learned to eat tasty worms from one box and avoid unpleasant worms from another. Later, when only unpleasant worms were offered, only the birds in nice cages would eat. Balcombe concluded that the birds in bad cages felt pessimistic about life. Balcombe, who works with animal rights groups, has a clear bias. He says, ""We look back with horror at times of racism. One day, we will feel the same about how we treat animals. We can't support animal rights while eating a cheeseburger."" If Balcombe were the only one with this view, it might be easy to dismiss him. But Professor Aubrey Manning shares his views. Manning, who wrote a textbook on animal behavior, says, ""We are seeing a change. In the early 20th century, people thought animals thought like us, and there was a reaction against that. Now we are swinging back. But it is a controversial topic, and you want to avoid the noise of academics with personal opinions."""
