text_id,text
1,"Some time ago, a website warned about the dangers of public check-ins—when you announce your location online. The website's message was clear: you might think you're just saying, ""Hey, I'm here,"" but you're also telling everyone, including people you might not want to meet. This highlighted the growing concern that sharing too much online can have negative effects. The internet offers many chances to share our lives with a global audience, promising things like wealth and fame. So, we dive into the online world, sharing personal stories and photos. But soon, we realize it's a crowded and risky place, and we can feel lost. 

This might sound discouraging, but don't lose hope. There is guidance from early internet users who explored these challenges before social media existed. These pioneers, the first bloggers, faced job losses, made and lost friends, and dealt with the ups and downs of online fame. They have already experienced what many of us are going through now. It's worth learning from their experiences because, as the saying goes, those who don't learn from history are doomed to repeat it.

In January 1994, Justin Hall, a 19-year-old student, started posting on the ""WWW,"" which was mostly used by students and scientists. The web was created at CERN in Switzerland to help researchers share their work. But Hall saw it as a chance to share his life. He created a detailed online autobiography with text, photos, and art. In January 1996, he started a daily blog, attracting readers with his bold use of this new medium. Hall's approach was open: if you crossed his path, you might appear on his site, and no topic was off-limits. While his work was very personal, it also had a certain artistic quality.

One day, visitors to Hall's site found it replaced with a video called ""Dark Night."" He explained that he had fallen in love, but when he wrote about it online, he was told, ""either the blog goes, or I do."" He realized that sharing his life online made people not trust him. He stopped blogging, but the issue remains. Sharing online is appealing, but if you expect it to make people like you, you might be disappointed.

In 2002, Heather Armstrong, a web worker in Los Angeles, had a blog called Dooce. She sometimes wrote about her job at a software company. One day, a colleague anonymously sent her blog to the company's vice presidents, including some she had criticized, and she lost her job. Experts call this the ""online distribution effect,"" where people feel they can say things online they wouldn't say in person. But the internet is not a separate reality where we can speak freely without consequences. Our online and real lives are connected, and ignoring this can lead to serious mistakes.

Armstrong's story ended well. Although she was upset and stopped blogging for a while, she got married and restarted her blog, focusing on her family. Now, she is a successful ""mommy blogger,"" and her writing supports her family. She learned to manage what she shares online. Armstrong's experience teaches us that while the internet allows us to say anything, it doesn't mean we should."
2,"Some time ago, scientists started a campaign to warn people about a low-budget film called ""What the Bleep Do We Know?"" This film mixed documentary and drama to show that there is a lot about our universe that we don't understand. Most scientists agree with this idea because no one claims to know everything about the universe. However, some scientists felt the need to warn the public about the film, calling it anything from ""atrocious"" to ""a very dangerous piece of work."" This made the film seem interesting to watch.

At first, the film seemed harmless. Scientists in the film talked about how new discoveries show the universe is stranger than we thought. But then the film mentioned discoveries like the idea that water molecules can be changed by thoughts. A Japanese researcher supposedly showed that the shape of a water molecule could be changed by the thoughts of people around it. The film showed pictures of ice crystals looking nice after being talked to by someone happy and looking bad after being exposed to someone in a bad mood. Some people find this evidence convincing because it is simple and clear. However, scientists usually respond with skepticism, saying, ""Give me a break."" They believe that while the idea is amazing, there needs to be solid proof that it is real. Pretty pictures of crystals are not enough.

The real issue is that the film's claims were not strange enough. Consider this: water molecules might have properties due to a form of energy that comes from nowhere and is linked to a force driving the universe's expansion. This idea is supported by decades of research in labs and observatories worldwide. Recent discoveries show that the universe is indeed stranger than we thought. Astronomers have found that the universe is made of unknown matter and is driven by a mysterious force called ""dark energy.""

Other discoveries are equally amazing. Neuroscientists found that our conscious perception of events is about half a second behind reality, but our brains edit this delay out. Anthropologists think they have found where modern humans originated and how they spread across the world. Some theorists even suggest there are links between life on Earth and the universe's fundamental design.

Science is far from complete. In fact, we seem further from knowing everything than ever before. Concepts like chaos and quantum uncertainty limit what we can know. Some of the world's top theoretical physicists are working on a ""Theory of Everything"" to explain all the forces and particles in the universe with one equation. Despite these theories, many people believe the universe can be summed up in one word: incredible."
3,"Writing novels is a challenge for me, while writing short stories is a joy. If writing novels is like planting a forest, then writing short stories is like planting a garden. Both activities complement each other, creating a complete landscape that I value. The trees provide shade, and the wind moves the leaves, which sometimes turn a bright gold. In the garden, flowers bloom, and their colorful petals attract bees and butterflies, showing the change of seasons. Since I started my career as a fiction writer, I have alternated between writing novels and short stories. My routine is this: after finishing a novel, I want to write short stories; after completing short stories, I focus on a novel. I never mix the two; I don't write short stories while working on a novel and vice versa. Writing each type might use different parts of the brain, and it takes time to switch between them. I began my career with two short novels in 1975, and from 1984 to 1985, I started writing short stories. I didn't know much about writing short stories then, so it was difficult, but the experience was memorable. It expanded my fictional world, and readers liked seeing this other side of me. One of my early works, ‘Breaking Waves’, was in my first short-story collection, Tales from Abroad. This was my start as a short-story writer. One joy of writing short stories is that they don't take long to finish. It usually takes me about a week to shape a short story (though revising can take longer). It's not like the long commitment needed for a novel, which can take a year or two. You can finish a short story quickly and move on. Writing a novel can feel endless, and I sometimes wonder if I'll make it through. So, writing short stories is a nice change of pace. Another good thing about short stories is that you can create them from small ideas, a word, or an image. It's often like jazz improvisation, with the story leading me. Also, with short stories, you don't have to worry about failing. If an idea doesn't work, you can just move on. Even great writers like F. Scott Fitzgerald and Raymond Carver didn't always write masterpieces. This is comforting. You can learn from your mistakes and use that in your next story. When I write novels, I try to learn from my short stories' successes and failures. In this way, short stories are like an experimental lab for me as a novelist. It's hard to experiment in a novel, so without short stories, writing novels would be even harder. My short stories are like soft shadows I've left in the world, faint footprints. I remember where I wrote each one and how I felt. Short stories are like guideposts to my heart, and it makes me happy to share these feelings with my readers."
4,"Science can be very abstract, like philosophy, or very practical, like curing diseases. It has made our lives easier but also posed threats. Science tries to understand everything from tiny ants to the vast universe, but it often struggles. It influences poets, politicians, philosophers, and even tricksters. Its beauty is clear to experts, but its dangers are often misunderstood. People sometimes overestimate or underestimate its importance, and they often ignore or exaggerate its mistakes.

Science is full of conflicts. Old theories are often changed or replaced by new ones, similar to how new music styles are first mocked but later accepted. Scientists often disagree, and emotions like jealousy and anger are common. This book will explore how scientific ideas have changed not just science but also human thought. We will focus on ideas, not practical inventions like non-stick pans. We will admire these ideas but also question them, recognizing both human creativity and limitations.

Science is always changing. Scientists constantly challenge each other's ideas. Usually, these changes don't affect society much, but sometimes they cause big shifts in our beliefs. For example, in the 17th century, science described the universe as a giant clock. Three centuries later, physics questioned this view, showing that observing the universe can change it and that we don't fully understand basic concepts. Some people see this as a weakness of science, but scientific changes often improve our understanding and ability to predict nature. Isaac Newton explained more than Aristotle, and Albert Einstein explained more than Newton. Science makes mistakes but keeps progressing.

At the end of the 19th century, many physicists thought there was nothing new to discover. Then came radioactivity, X-rays, electrons, quantum mechanics, relativity, and more. Biology has also made many discoveries. Today, some people claim we are close to a ""theory of everything"" that explains the universe. Maybe.

Science is not just a harmless hobby. In the last 200 years, we have gone from observing nature to controlling it, sometimes upsetting its balance without understanding the consequences. Science needs to be monitored. Non-scientists must understand scientific advances because they affect the world their children will live in and even the children themselves. Science is now part of how we plan and shape our future. Deciding how to use science is not just for philosophers; it affects national budgets, health, and the future of life on Earth."
5,"Around 2015, after years of growth, major publishers noticed that ebook sales stopped increasing or even decreased. This raised doubts about the future of ebooks in the publishing industry. One publishing executive admitted that the excitement around ebooks might have led to poor investments, as his company lost faith in the traditional printed book. Despite evidence that digital and print books can coexist, people still wonder if ebooks will replace print books. This idea continues to spark our imagination and debate. Why do we see the relationship between ebooks and print books as a conflict, even when evidence suggests otherwise? The answers reveal our mixed feelings of excitement and fear about new technologies and change.

Historically, whenever new technologies appear, people predict the end of existing media. For example, when television was invented, many thought radio would disappear. However, radio survived by finding new uses, like being listened to in cars and workplaces. The idea of books disappearing isn't new either. In 1894, some thought the phonograph would replace books with what we now call audiobooks. This pattern has repeated with movies, radio, television, and smartphones, all supposedly threatening print books. Some feared this would lead to cultural decline, while others exaggerated the benefits of ebooks.

The idea of the book's death often appears during technological changes. This reflects our hopes and fears about new technology. We form emotional connections with media like books, TVs, and computers, making them a core part of our lives. Studies show we even name our cars or get frustrated with our laptops. So, when new technology like e-readers emerges, it changes our relationship with familiar things. This can make us nostalgic for what we used to have, leading to industries focused on retro products. For example, when the printing press spread in 15th-century Europe, people sought original manuscripts. The shift from silent to sound movies in the 1920s made people nostalgic for silent films. The same happened with the move from analog to digital photography and from vinyl records to CDs. E-readers have made people appreciate the physical quality of old books, even their smell.

This should reassure those worried about print books disappearing. However, the idea of a disappearing medium will continue to be a compelling story about technology's power and our resistance to change. We often use familiar story patterns, like tragedy and endings, to understand change. The story of the book's death reflects our excitement for the future and our fear of losing parts of our world and ourselves."
6,"For a year and a half, almost every weekday morning, I woke up at 5:30, brushed my teeth, made coffee, and wrote about how some of the greatest minds from the past 400 years managed their daily routines to be creative and productive. By exploring the everyday details of their lives—like when they slept, ate, and worked—I aimed to offer a fresh perspective on their personalities and careers, showing them as creatures of habit, just like us. The French gastronome Jean Anthelme Brillat-Savarin once said, ""Tell me what you eat, and I shall tell you what you are."" I say, ""Tell me what time you eat, and if you nap afterward."" In this way, my book is about the conditions for creativity, not the creative work itself. It’s about the process, not the meaning. 

The book is also personal. The novelist John Cheever believed that even writing a business letter reveals something about your inner self. My book explores questions I face in my own life: How can you do meaningful creative work while earning a living? Is it better to focus entirely on one project or to dedicate a small part of each day to it? When time is limited, do you have to give up things like sleep or income, or can you learn to do more in less time, as my dad always says, ""work smarter, not harder""? I don’t claim to answer these questions, as some may not have clear answers and might be resolved only through personal compromises. However, I have tried to show how various successful people have dealt with similar challenges. I wanted to illustrate how big creative ideas are built through small daily efforts and how working habits affect the work itself.

The book is called Daily Rituals, but it’s really about people’s routines. A routine might seem ordinary and thoughtless, like being on autopilot. But with the right approach, a routine can help you make the most of limited resources like time, willpower, and optimism. A good routine can guide your mental energy and help you avoid being controlled by your moods. Psychologist William James believed that forming good habits allows us to focus on more interesting activities. Ironically, James himself struggled with procrastination and couldn’t stick to a regular schedule. 

Interestingly, it was procrastination that led to this book. One Sunday, I was alone at the architecture magazine where I worked, trying to write a story due the next day. Instead of working, I was tidying my desk and making coffee. I’m a morning person, focused in the early hours but not very productive after lunch. To feel better about this, I started looking online for other writers’ work schedules. I found them easily and they were entertaining. I thought someone should collect these stories, so I started the Daily Routines blog that afternoon, which eventually led to this book. The blog was informal; I posted descriptions of people’s routines from biographies, magazine profiles, and obituaries. For the book, I expanded and researched more, keeping the original’s brevity and variety. I let my subjects speak for themselves through quotes from letters, diaries, and interviews. In other cases, I summarized their routines from other sources. This book wouldn’t have been possible without the work of many biographers, journalists, and scholars. I’ve documented all my sources in the Notes section, which can also guide further reading."
7,"Howard became a palaeontologist because of an unexpected change in his family's plans when he was six years old. His father, who was careful with money, decided they couldn't afford a holiday to Spain due to rising interest rates. Instead, they rented a chalet on the English coast. During this holiday, Howard found an ammonite on the beach, which sparked his interest in palaeontology. 

As he grew older and studied at university, Howard realized he wanted to focus on the earliest periods of life, rather than the more popular Jurassic period with dinosaurs. He was interested in the very beginnings of life, studying ancient, delicate creatures in rocks. After finishing his doctoral thesis, Howard was concerned about finding a job, especially in a place he wanted to work. He was confident in his abilities but knew that getting a job wasn't always fair.

When a job opened at Tavistock College in London, Howard applied, though he wasn't very hopeful. On the day of his interview, the professor who was supposed to support another candidate couldn't attend due to an accident. The replacement professor disliked the absent professor and made sure Howard got the job instead. Howard was initially grateful for the unexpected support, but later learned the real reason he was chosen. He was slightly disappointed but was mainly happy to have the job he wanted.

Howard often thought about how his professional life was orderly, with clear plans and goals, unlike the unpredictable nature of personal life. He experienced this unpredictability when his briefcase, containing important lecture notes, was stolen at an Underground station. Frustrated, he returned to the college, postponed his lecture, and reported the theft. While having coffee with a colleague and a visiting curator from the Natural History Museum in Nairobi, he learned about a new collection of fossils that needed study. This opportunity became his greatest challenge and secured his professional future. If not for the theft, he wouldn't have known about this chance. He quickly changed his plans, deciding not to attend a conference in Stockholm or take students on a field trip to Scotland, and instead focused on visiting the museum in Nairobi."
8,"Charles Spence is willing to try almost any food. In his office at Oxford University, he mentions having ice cream made from bee larvae at home. Although they look like maggots, they taste 'slightly nutty and floral.' Making bug-eating acceptable is just one of the challenges Spence and his team are working on. Spence studies how our senses work together to create the flavors we taste. His research is quietly influencing what we eat and drink, from big food companies to top restaurant menus. Spence and his colleagues study how we experience food and drink, a field informally known as gastrophysics. They look at details like who we eat with, how food is presented, and even the background noise, as all these factors affect taste. 

Spence's book, ""The Perfect Meal,"" co-written with Betina Piqueras-Fiszman, offers many interesting insights for anyone who enjoys eating. For example, did you know that the first person to order in a restaurant usually enjoys their meal the most? Or that we eat about 35% more when dining with one other person, and 75% more with three others? 

Spence's lab in Oxford is quite simple, with soundproof booths and old audio-visual equipment. By keeping costs low, he can work creatively with chefs who can't afford academic research. Much of his work is funded by a major food company. In the past, research funded by industry was seen as less serious in universities. However, now that universities need to show their work has an impact, this type of research is more valued. Spence is helping well-known brands reduce salt and sugar, often without customers noticing. They do it gradually so that people don't detect the change in taste. 

Spence first met Heston Blumenthal, a famous experimental chef, while working on a project for a big food company. At that time, people thought science and food didn't mix well, even though food is quite scientific. Blumenthal and Spence worked together on a dish called 'Sound of the Sea' at Blumenthal's restaurant. Interestingly, the Italian futurists were doing similar things with food and sound a century ago, but it didn't become popular. Now, the food industry is using Spence's sensory science widely. For example, his research shows that high-pitched music makes food taste sweeter, while low-pitched sounds make it taste bitter. An airline will soon match music with the food they serve, and a brand released an app that plays music while your ice cream softens, although they didn't match the music to the taste, which Spence often finds is the case.

At home, Spence's dinner parties are quite unique. Once, they ate rabbit with the fur wrapped around the cutlery. Another time, they used remote-controlled, multi-colored light bulbs. They've also experimented with different drinks and sounds to see how they affect taste. For Spence, home, shops, food events, and international conferences are all extensions of his lab."
9,"Our brains are busier than ever. We are bombarded with facts, fake facts, chatter, and rumors, all pretending to be information. We have to sort through this to find what is important and what we can ignore. At the same time, we are doing more tasks ourselves. Thirty years ago, travel agents booked our flights, and salespeople helped us in stores. Now, we do most things on our own. We are doing the work of many people while trying to manage our lives, families, careers, hobbies, and TV shows. Smartphones help us fit as much as possible into every spare moment. But there is a problem. We think we are multitasking, doing several things at once, but this is a dangerous illusion. Earl Miller, a neuroscientist at MIT, says our brains are not designed to multitask well. When we think we are multitasking, we are actually switching quickly from one task to another, which has a mental cost. We are not expert jugglers; we are more like amateur plate spinners, quickly moving from one task to another, worried something will fall. Even though we think we are getting a lot done, multitasking makes us less efficient. It increases stress hormones like cortisol and adrenaline, which can make our thinking unclear. Multitasking creates a craving for distraction, rewarding the brain for losing focus. The prefrontal cortex, a part of the brain, is easily distracted by new things. This is ironic because it is the part we need to stay focused. Just having the chance to multitask can harm our thinking. Glenn Wilson, a former professor of psychology, calls it info-mania. His research shows that trying to focus on a task while an unread email is in your inbox can lower your IQ by almost 10 points. The mental losses from multitasking are greater than those from being tired. Russ Poldrack, a neuroscientist at Stanford, found that learning while multitasking sends information to the wrong part of the brain. For example, if students do homework and watch TV at the same time, the information goes to the striatum, which stores new skills, not facts. Without TV, the information goes to the hippocampus, where it is organized and easier to remember. Multitasking also involves making decisions, like whether to answer a text or ignore it. Decision-making is hard on our brains, and small decisions use the same mental resources as big ones. After making many small decisions, we can make bad decisions about important things. In talking with business leaders, scientists, and writers, email is often mentioned as a problem. It is not about email itself, but the overwhelming amount of communication. A colleague's 10-year-old son said his father ""answers emails"" for a living, which is not far from the truth. We feel we must reply to emails, but it seems impossible to do so and get other things done."
10,"In a Swedish zoo, a chimpanzee named Santino would break concrete into pieces at night to throw at visitors during the day. Was he being mean? In caves in the US, female bats help other fruit bat mothers if they can't find the right position to give birth. Are they being kind? Fifty years ago, these questions would not have been considered important. Scientists focused on animal behaviors and their outcomes, not on whether animals have feelings or moral systems. But recently, this has started to change. Research on animals like bats, chimps, rats, dolphins, and chickens has begun to explore animal emotions. This change has reached popular science books, such as Mark Bekoff’s ""Wild Justice"" and Victoria Braithwaite’s ""Do Fish Feel Pain?"". This has started a debate that science may never fully answer: do animals have consciousness? This leads to another question: do animals have a conscience, a sense of right and wrong? 

In a recent experiment, cows had to open a locked gate to get food. Those that opened the gate themselves showed more happiness by jumping and kicking than those that had the gate opened for them. If cows enjoy solving problems, what does this mean for how we produce and consume beef? The observations are clear, but their interpretation is debated. Dr. Jonathan Balcombe, author of ""Second Nature,"" believes the logical response to this research is to stop eating meat. He thinks humanity is on the brink of a major ethical change, similar to the end of slavery. Aubrey Manning, Professor Emeritus at Edinburgh University, suggests we should rethink how we view animal intelligence. He believes animals have a simpler version of a theory of mind than humans. Professor Euan MacPhail argues we should stop attributing human traits to animals. The disagreement is not just scientific or moral, but philosophical. Since defining consciousness is difficult, can we ever truly understand what it is like to be a bat, or a bat helping another bat give birth?

Balcombe describes an important experiment he conducted, which he believes shows that starlings, a type of bird, can feel depressed. At Newcastle University, starlings were divided into two groups. One group lived in spacious, comfortable cages, while the other group lived in small, bare cages. Both groups were initially fed tasty worms from one box and unpleasant worms from another, and they learned to eat only from the tasty box. Later, when only unpleasant worms were offered, only the birds in the comfortable cages would eat. Balcombe concluded that the birds in the poor conditions became pessimistic about life. Balcombe, who has worked with animal rights groups, has a clear bias. He says, ""We look back with horror at times of racism. Our view on animals will be the same one day. We can't support animal rights while eating a cheeseburger."" If Balcombe were the only one with this view, it might be easy to dismiss him as extreme. However, Professor Aubrey Manning shares his views. Manning, who wrote a textbook called ""An Introduction to Animal Behaviour,"" says, ""We are seeing a change. In the early 20th century, some people thought animals thought like us, and there was a reaction against that. Now we are moving in the opposite direction. But it is a controversial topic, and you want to avoid the noise of academics with personal grievances and strong opinions."""
