text_id,text_level,text
1,C2,"'A while ago, a website talked about the dangers of telling everyone where you are online. The website said that when you say, ""Hey, I’m here,"" you are also telling everyone, even people you don’t know. This made people think that sharing everything online might not be good. The internet lets us share our lives with many people. We can become famous or rich! So, we share our stories and photos online. But sometimes, we find out that it can be dangerous and confusing. 
In the early days of the internet, some people tried sharing their lives online. They lost jobs, made and lost friends, and dealt with being famous. These people were the first bloggers. They learned lessons that we can learn from too. 
In 1994, a student named Justin Hall started sharing his life online. He wrote about everything and shared photos. People liked reading about his life. But one day, he had to stop because it caused problems in his personal life. He learned that sharing too much online can make people not trust you.
In 2002, Heather Armstrong wrote about her job on her blog. Someone at her job saw it and told her bosses. She lost her job. This shows that what we say online can affect our real lives. But later, Heather started writing about her family and became very popular. She learned to share carefully online.
The internet lets us say anything, but we should be careful about what we share.'"
2,C2,"'Some scientists talked about a movie called What the Bleep Do We Know? This movie mixed real facts and stories to show that there is a lot about our universe we do not understand. Scientists agree that we do not know everything about the universe. But some scientists did not like the movie. They said it was bad and even dangerous. 
At first, the movie seemed okay. It showed scientists saying that new discoveries make the universe seem stranger than we thought. But then, the movie talked about water changing because of thoughts. It showed pictures of ice crystals looking nice after happy thoughts and not nice after bad thoughts. Some people liked this idea, but many scientists did not believe it. They wanted real proof, not just pictures.
The movie's ideas were not strange enough. Scientists have found that the universe is made of unknown matter and is pushed by something called 'dark energy'. This is real and comes from many years of research. Scientists also found that our brains take half a second to understand what we see. They also found where modern humans came from and how they spread around the world.
Science is not finished. We still have a lot to learn. Some scientists are trying to find a Theory of Everything to explain all forces and particles in the universe. Many people think the universe is amazing.'"
3,C2,"I like writing stories. Writing long stories, called novels, is hard. Writing short stories is fun. Writing a novel is like making a big forest. Writing a short story is like making a small garden. Both are important to me. 
When I write a novel, I do not write short stories. When I write short stories, I do not write a novel. I started writing short stories in 1984. It was new for me, but I enjoyed it. People liked my short stories too. One of my first short stories was 'Breaking Waves'. It was in my first book of short stories.
Short stories are quick to write. I can finish one in about a week. Novels take a long time, maybe one or two years. Short stories can come from small ideas, like a word or a picture. It is like playing jazz music. If a short story is not good, it is okay. Not all stories are perfect. Even famous writers like F. Scott Fitzgerald and Raymond Carver did not write perfect stories every time.
I learn from writing short stories. They help me write better novels. Short stories are like small steps I take. I remember each one and how I felt. They show my feelings, and I like sharing them with readers."
4,C2,"Science is about learning and understanding the world. It helps us in many ways, like curing diseases. Science tries to understand small things like ants and big things like the universe. Sometimes, science changes what we know. New ideas can be hard to accept at first, but they can become important later. Scientists often disagree, but this helps science grow. 
Science is always changing. One scientist might find a new idea that changes what we thought before. Sometimes, these changes are big and make us think differently about the world. For example, a long time ago, people thought the universe was like a big clock. Later, scientists like Isaac Newton and Albert Einstein found new ideas that changed this view.
Science has given us many new things, like X-rays and the idea of the Big Bang. Some people think we might soon understand everything about the universe. Science is important because it helps us control and change the world. But we must be careful because changes can affect nature. Everyone should know about science because it affects our future and our children's future."
5,C2,"'Around 2015, big book companies saw that ebook sales stopped growing or went down. This made people wonder if ebooks would be popular for a long time. Some people thought ebooks were too exciting and spent too much money on them. They forgot how nice paper books are. People still ask if ebooks will replace paper books. This question makes us think a lot. Why do we think ebooks and paper books are fighting? This is because we feel excited and scared about new things. In the past, people thought new things would end old things. When TV came, people thought radio would end, but radio found new ways to be useful. People listened to it in cars and at work. Long ago, people thought audiobooks would replace paper books. Many times, people thought new things like movies, radio, and smartphones would end paper books. Some people worried this would be bad for culture. Others thought ebooks were much better. We often think about the end of books when new technology comes. We love things like books and TVs because they are part of our lives. When new things come, we have to change how we feel about old things. This makes us miss the old things. That's why people like old products. When printing started in the 15th century, people wanted old handwritten books. When movies got sound, people missed silent movies. The same happened with photos and music records. Ebooks made people like old paper books more. This shows that paper books might not go away. We like stories about change and endings because they help us understand new things. These stories show our excitement for the future and our fear of losing what we know.'"
6,C2,"'Every weekday morning for a year and a half, I woke up at 5:30. I brushed my teeth, made coffee, and wrote about how famous people from the past 400 years did their best work. I wanted to know how they found time to be creative and productive. I wrote about their daily lives, like when they slept, ate, and worked. I wanted to show their habits and routines. 
The book is called Daily Rituals. It is about people's routines. A routine is something you do every day without thinking much. A good routine can help you use your time well. The psychologist William James said good habits can help us do more interesting things. But he was not good at keeping a schedule himself.
I got the idea for this book one Sunday. I was at work, trying to write a story. But I was wasting time, cleaning my desk and making coffee. I am a morning person, so I work best in the morning. That day, I looked online for other writers' schedules. I found many stories and thought someone should collect them. So, I started a blog called Daily Routines and then wrote this book.
For the book, I found more stories and did more research. I let the people speak for themselves with quotes from letters and interviews. I also used other sources to describe their routines. I thank the many writers and researchers whose work helped me. You can find all my sources in the Notes section for more reading.'"
7,C1,"Howard loved fossils. When he was six, his family could not go to Spain for a holiday because of money problems. Instead, they went to the English coast. There, Howard found a fossil called an ammonite on the beach. This made him want to study old rocks and fossils. 
At university, Howard decided he wanted to study very old fossils, not dinosaurs. He liked studying tiny creatures in rocks. After finishing his studies, he worried about finding a job. He wanted to work at a good place. 
Howard applied for a job at Tavistock College in London. On the day of his interview, the main professor had an accident and could not come. Another professor, who did not like the first professor, helped Howard get the job. Howard was happy to get the job, even though he knew it was because of the professor's dislike for the other candidate.
One day, someone stole Howard's briefcase with his lecture notes. He was upset but went for coffee. There, he met a visitor from the Natural History Museum in Nairobi. The visitor told him about new fossils at the museum. Howard was excited and changed his plans. He decided to visit the museum in Nairobi to study the fossils. This was a big chance for his career."
8,C1,"Charles Spence likes to eat many different foods. He even has ice cream made from bee larvae at home. It tastes a bit like nuts and flowers. Charles is a professor at Oxford University in the UK. He studies how our senses work together to make us taste food. His work helps big food companies and famous restaurants decide what to put on their menus.
Charles and his team look at many things that change how we taste food. This includes who we eat with, how food looks on the plate, and even the sounds we hear while eating. For example, people eat more when they are with others. Also, music can change how sweet or bitter food tastes.
Charles works in a simple lab with old equipment. He gets money from big food companies to do his research. This helps him work with chefs who cannot pay for research. He helps companies reduce salt and sugar in food without people noticing.
Charles also works with a famous chef named Heston Blumenthal. Together, they created a dish called 'Sound of the Sea' that uses sound to change how food tastes. Charles found that high-pitched music makes food taste sweeter, and low-pitched music makes it taste bitter.
Charles's work is used by many food companies. For example, an airline will use music to make food taste better for passengers. At home, Charles likes to have fun with food. He has dinner parties with special lights and sounds to see how they change the taste of food."
9,C1,"'Our brains are very busy today. We get a lot of information, some true and some not. We have to decide what is important and what is not. We also do many things ourselves now. Before, travel agents helped us with flights, and salespeople helped us in shops. Now, we do these things alone. We try to do many things at once, like work, family, hobbies, and watching TV. Our smartphones help us do this. But doing many things at once is not good. Earl Miller, a brain expert, says our brains cannot do many things at the same time. We switch from one thing to another very fast, and this is not good for our brains. We think we do a lot, but we are less efficient. Doing many things at once makes us stressed and confused. Our brains like new things, so we get distracted easily. Just having the chance to do many things at once is bad for our brains. Glenn Wilson, a psychology expert, says trying to focus when we have unread emails makes us less smart. Russ Poldrack, another brain expert, says learning while doing other things sends information to the wrong part of the brain. If students do homework and watch TV, the homework information goes to the wrong place in the brain. Making decisions is also hard for our brains. Many small decisions can make us tired and lead to bad big decisions. Email is a big problem. We get too many emails and feel we must answer them, but it is hard to do this and do other things too.'"
10,C1,"In a zoo in Sweden, a chimpanzee named Santino broke concrete at night to throw at people during the day. Was he being mean? In the US, female bats help other bats give birth. Are they being kind? 
Fifty years ago, people did not think much about these questions. Scientists watched what animals did and wrote it down. They did not think animals had feelings or thoughts. But now, some scientists are starting to think animals might have feelings. 
Books like ""Wild Justice"" and ""Do Fish Feel Pain?"" talk about animal feelings. This has started a big question: do animals have thoughts like people? 
In one study, cows had to open a gate to get food. Cows that opened the gate themselves were happier than those that needed help. This makes people think about how we treat animals like cows. 
Some people, like Dr. Jonathan Balcombe, say we should stop eating meat because animals have feelings. Others, like Professor Aubrey Manning, say we should think more about how animals think. But Professor Euan MacPhail says we should not think animals are like people. 
This is a hard question because it is not just about science. It is also about what we believe. 
Dr. Balcombe did a study with birds called starlings. Some birds lived in nice cages, and some in bad cages. Birds in nice cages ate bad food when they had to, but birds in bad cages did not. Dr. Balcombe thinks this shows birds can feel sad. 
Dr. Balcombe believes we will one day think about animals like we think about people. Professor Manning agrees that we are changing how we think about animals. 
This is a big topic, and people have different opinions."
