text_id,text_level,text
1,C2,"Some time ago, a website warned about the dangers of public check-ins, which are online posts that show where you are. The website's message was clear: when you say, ""Hey, I’m at this place,"" you are also telling everyone where you are, including people you might not want to meet. This reflects a growing understanding that sharing everything online can have negative effects. The internet gives us many chances to share our lives with a global audience, which can seem exciting: wealth, fame, and more. However, we often realize too late that the online world can be crowded and dangerous.
But don’t lose hope. There is guidance from early internet users who explored these challenges before us. In the beginning of the web, they faced many difficulties, lost jobs, and dealt with the temptations of fame, long before social media existed. These early bloggers experienced what many of us are now going through. It’s important to learn from their experiences.
In January 1994, Justin Hall, a 19-year-old student, started sharing his life online. At that time, the web was mostly used by graduate students and scientists. Hall saw a chance to share his personal story. He created a blog filled with his thoughts, photos, and art. In January 1996, he began posting daily, attracting many readers who were fascinated by his boldness. Hall was open about everything; no topic was off-limits. While some might see this as attention-seeking, there was also a creative side to his work.
However, one day, visitors to his blog found it replaced by a video called Dark Night. Hall shared that he had fallen in love, but when he wrote about it, he was told to choose between his blog and his relationship. He felt that sharing his life online made people distrust him. The blog ended, but the issue remains: sharing online can be great, but if you think it will make people want to be around you, you might be disappointed.
In 2002, Heather Armstrong, a young woman in Los Angeles, had a blog called Dooce. She sometimes wrote about her job at a software company. One day, a colleague sent her blog link to the company’s vice presidents, including some she had criticized, and she lost her job. This situation shows the ""online distribution effect,"" where people feel they can say things online that they wouldn’t say in person. However, the internet is not a separate reality; our online actions can have real-life consequences.
Armstrong’s story had a happy ending. Although she was upset and stopped blogging for a while, she later got married and started a new blog about her family. Today, she is successful as a ""mommy blogger,"" and her writing supports her family. Once known for her online mistakes, she has learned to share her life more carefully. Armstrong’s experience teaches us an important lesson: the internet allows us to say anything, but that doesn’t mean we should."
2,C2,"Some scientists recently started a campaign to warn people about a low-budget film called *What the Bleep Do We Know?* This film mixes documentary and drama to show that there is much we do not understand about our universe. While scientists can sometimes be arrogant, even the most confident physicist would not claim to know everything about the cosmos. However, some scientists felt it was important to warn the public about the film, calling it everything from “atrocious” to “very dangerous.” This made me curious to see the movie.
At first, I didn’t understand why there was so much concern. Various scientists made simple statements about how new discoveries are showing that the universe is stranger than we thought. But when the film started to explain some of these discoveries, I began to understand the fuss. One claim was that water molecules can be influenced by thoughts. I had heard before about a Japanese researcher who suggested that the shape of a water molecule could change based on the feelings of people nearby. However, the film only showed pictures of ice crystals that looked beautiful after being spoken to nicely and ugly after being exposed to negative emotions. Many people find this kind of evidence convincing, but scientists often respond with skepticism.
I understand their point. The idea that thoughts can affect water is fascinating and suggests new forces in the universe. But before we get too excited, we need solid proof that this effect is real. Pretty pictures of crystals are not enough. The real issue is that the movie’s claims were not strange enough. For example, water molecules might have properties linked to a mysterious energy that is causing the universe to expand. This idea is supported by decades of research from scientists around the world.
In fact, discoveries are being made that show the universe is indeed stranger than we ever imagined. Astronomers have found that the universe is made of an unknown type of matter and is driven by a mysterious force called “dark energy.” On a more practical level, neuroscientists have discovered that our awareness of events happens about half a second after they occur, a delay we don’t notice because our brains edit it out. Anthropologists believe they have found where modern humans first appeared and how they spread across the world. Some theorists even suggest there are connections between life on Earth and the fundamental design of the universe.
Despite what some may think, science is not close to being complete. In fact, we seem to be further from knowing everything than ever before. Many natural phenomena may never be fully understood. The ideas of chaos and quantum uncertainty show that there are limits to what we can know. Some of the world’s top physicists are trying to create a “Theory of Everything” that would explain all the forces and particles in the universe with one equation. Overall, many of us believe that the universe can be described in one word: incredible."
3,C2,"To put it simply, I find writing novels challenging, but writing short stories is a joy. If writing novels is like planting a forest, then writing short stories is more like planting a garden. Both processes work together to create a beautiful landscape that I love. The trees provide shade, and the wind moves the leaves, which can turn a bright gold. In the garden, flowers bloom, and their colorful petals attract bees and butterflies, showing us the gentle change of seasons.
Since I started my career as a fiction writer, I have often switched between writing novels and short stories. My routine is this: after finishing a novel, I want to write short stories; after completing a group of short stories, I feel ready to focus on a novel. I never write short stories while working on a novel, and I never write a novel while working on short stories. The two types of writing may use different parts of my brain, and it takes time to switch from one to the other.
I began my career with two short novels in 1975, and from 1984 to 1985, I started writing short stories. I didn’t know much about writing short stories then, so it was difficult, but I found the experience very memorable. I felt my fictional world expand, and readers seemed to enjoy this different side of me as a writer. One of my early works, “Breaking Waves,” was included in my first short-story collection, Tales from Abroad. This was my beginning as a short-story writer.
One of the joys of writing short stories is that they don’t take long to finish. Usually, it takes me about a week to shape a short story (though I can revise it many times). It’s not the same level of commitment as writing a novel, which can take a year or two. I can go into a room, finish my work, and leave. Writing a novel can feel like it goes on forever, and I sometimes wonder if I will make it through. So, writing short stories is a nice change of pace.
Another great thing about short stories is that you can create a story from the smallest ideas—like a thought, a word, or an image. Often, it feels like jazz improvisation, where the story takes me where it wants to go. Plus, with short stories, you don’t have to worry about failing. If an idea doesn’t work out, you can just accept it and move on. Even famous writers like F. Scott Fitzgerald and Raymond Carver didn’t write a masterpiece every time. This gives me comfort. You can learn from your mistakes and use that knowledge in your next story.
When I write novels, I try to learn from both the successes and failures I have in writing short stories. In this way, short stories are like a testing ground for me as a novelist. It is hard to experiment the way I want to in a novel, so without short stories, writing novels would be even more difficult.
My short stories are like soft shadows I have left in the world, gentle reminders of my feelings when I wrote them. They guide me, and it makes me happy as a writer to share these personal feelings with my readers."
4,C2,"At its core, science is closely related to philosophy, but it also has practical uses, like curing diseases. Science has made our lives easier but has also posed threats to our existence. It tries to understand everything from tiny ants to the vast universe, but it often struggles to do so. Science has influenced poets, politicians, philosophers, and even frauds. Its beauty is often seen only by those who study it deeply, while its dangers are often misunderstood. People have both overestimated and underestimated its importance, and the mistakes made by scientists are sometimes ignored or exaggerated.
The history of science is filled with conflict. Old theories are often changed or completely replaced, similar to how new music styles are sometimes mocked before becoming popular. Scientists can be jealous and angry, and conflict is a big part of scientific history. This book will show how scientific ideas have changed not just science itself but also many areas of human thought. While science has practical benefits, this book will focus more on the ideas behind it, appreciating their beauty and being ready to question them. We will recognize both the creativity and the limitations of the human mind.
Science is always changing. There is always a scientist challenging the ideas of another. Most of the time, these changes do not disrupt society, but sometimes they can shake our established beliefs. For example, in the 17th century, science described the universe as a giant clock. Now, physics has raised questions about basic ideas, leading us to understand that observing the universe can change it, and we often do not fully understand our own concepts.
Some people think that the changing nature of scientific theories shows that science cannot explain the universe. However, these changes usually help us understand and predict nature better. For instance, Isaac Newton explained more than the ancient Greek thinker Aristotle, and Albert Einstein explained even more than Newton. Science may make mistakes, but it continues to progress. 
At the end of the 19th century, many physicists believed there was nothing important left to discover. Then came breakthroughs like radioactivity, X-rays, the electron, and many new particles, along with concepts like quantum mechanics and black holes. Biology has also made significant discoveries. Today, some people claim that a complete theory explaining everything about the universe is coming soon. 
Science is not just a harmless activity. In the last 200 years, we have moved from simply observing nature to controlling it in small but growing ways. Sometimes, we have disrupted nature in ways we did not fully understand. It is important for everyone, not just scientists, to understand scientific advances because they will shape the world for future generations. Science is now a key part of how humanity thinks about and shapes its future. The decisions made in science can impact budgets, health, and even the future of life on Earth."
5,C2,"From around 2015, after many years of growth, major publishers began to notice that ebook sales had stopped increasing or even decreased in some cases. This raised new questions about the future of ebooks in the publishing industry. One anonymous publishing executive recently admitted that the excitement around ebooks may have led to poor investments, causing his company to lose faith in the value of printed books. Despite the clear idea that digital and print books can exist together, people still wonder if ebooks will replace printed books. Whether people are trying to predict or dismiss this idea, it is important to note that the thought of books disappearing continues to spark our imagination and create strong discussions.
Why is this idea so strong? Why do we see the relationship between ebooks and printed books as a battle, even when evidence shows they can coexist? The answers to these questions go beyond ebooks and reveal much about our mixed feelings of excitement and fear regarding change and innovation. In my research, I have shown that the idea of one type of media replacing another often comes up when new technologies are introduced. For example, after television was invented, many believed that radio would disappear. However, radio survived by finding new ways to be used, like listening in cars or on trains.
The idea that books might disappear is not new either. As early as 1894, people thought that the phonograph would replace books with what we now call audiobooks. This pattern has repeated many times. Movies, radio, television, hyperlinks, and smartphones have all been said to threaten the existence of printed books. Some people worried that the end of books would lead to a decline in culture, while others imagined a perfect future with ebooks and exaggerated their benefits.
The idea of books disappearing often appears during times of technological change. This story reflects our hopes and fears about new technology. To understand why we react this way, we need to recognize that we form emotional connections with different types of media as they become important in our lives. Many studies show that we develop strong feelings for objects like books, televisions, and computers, even naming our cars or getting frustrated with our laptops when they don’t work.
When new technology, like e-readers, appears, it doesn’t just mean economic and social change. It also forces us to rethink our relationship with things that have become part of our daily lives. As technology evolves, we often miss what we used to know but no longer have. This is why industries grow around older products and technologies. For example, when the printing press spread in 15th-century Europe, people began to seek out original manuscripts. The change from silent to sound movies in the 1920s made people nostalgic for the older style. The same happened when photography changed from analog to digital and from vinyl records to CDs. 
E-readers have also led to a new appreciation for the physical qualities of printed books, even their unique smell. This should comfort those who worry about printed books disappearing. However, the idea of a medium disappearing will continue to be an interesting story about the power of technology and our fear of change. One way we cope with change is by using familiar stories, like those of tragedy and endings. The story of the death of the book is easy to remember and share, reflecting both our excitement for the future and our fear of losing parts of our familiar world—and ultimately, ourselves."
6,C2,"
For a year and a half, I woke up every weekday at 5:30 AM. I brushed my teeth, made coffee, and wrote about how some of the greatest thinkers of the last four hundred years managed their time to do their best work. I focused on the everyday details of their lives, like when they slept, ate, and worked, to show their personalities and careers. The French writer Jean Anthelme Brillat-Savarin once said, “Tell me what you eat, and I shall tell you what you are.” I believe, “Tell me what time you eat, and whether you take a nap afterward.” 
This book is not just about the creative work itself, but about the daily routines that help people be productive. I also share my personal struggles: How can you do meaningful creative work while making a living? Is it better to focus completely on one project or to work a little each day? When time is short, do you have to give up things like sleep or a clean house, or can you learn to do more in less time? I don’t claim to answer these questions, but I provide examples of how many successful people have faced similar challenges. 
The title of the book is Daily Rituals, but I really focus on people’s routines. Routines can seem ordinary, but they can also help us use our time, willpower, and optimism effectively. A good routine can help us stay focused and avoid being influenced by our moods. The psychologist William James believed that having good habits allows us to focus on more interesting things. Ironically, he struggled with procrastination and could not stick to a regular schedule.
This book started because of my own procrastination. One Sunday, while trying to write a story for a small architecture magazine, I found myself cleaning my workspace and making coffee instead of working. I am a “morning person” and can concentrate well in the morning, but I struggle in the afternoon. To feel better about this, I began searching online for information about other writers’ schedules. I thought it would be interesting to collect these stories, which led to the Daily Routines blog I started that day, and now this book.
The blog was simple; I shared descriptions of people’s routines from biographies and articles. For the book, I have gathered a much larger and better-researched collection while keeping the variety of voices that made the blog enjoyable. I let my subjects speak for themselves through quotes from their letters, diaries, and interviews. In some cases, I summarized their routines from other sources. I want to acknowledge the many biographers, journalists, and scholars whose research helped me. I have listed all my sources in the Notes section for further reading."
7,C1,"Howard became a palaeontologist because of a change in interest rates when he was six years old. His father, who was careful with money and had a big loan, said that their planned holiday to Spain was no longer possible. Instead, they rented a chalet on the English coast. One rainy August afternoon, Howard found an ammonite on the beach. He had always wanted to be a palaeontologist, and by the end of university, he knew what kind he wanted to be. He was interested in the very early history of life, not in dinosaurs or the Jurassic period. He studied small creatures found in grey rocks.
When he finished his doctoral thesis, he wondered if he would get a job, especially in the kind of place he wanted. He was confident in his abilities, but he knew that hard work does not always lead to success. When a job opened up at Tavistock College in London, he applied, but did not expect much.
On the day of his interview, the professor who was supposed to lead the panel had a fight with his wife. He left home upset, crashed his car into a gatepost, and ended up in the hospital. The interview went ahead without him, and a colleague who did not like the professor took his place. This colleague helped Howard get the job, even though Howard did not know him. At first, Howard was grateful, but later he learned the truth about how he got the job. He was a bit disappointed, wishing he could believe he was chosen for his skills. However, what mattered most was that he had the job and could do the work he loved.
Howard often thought about how organized his professional life was, where he could plan and achieve goals, compared to the chaos of personal life. Sometimes, strangers could unexpectedly change everything, like when his briefcase with important lecture notes was stolen at a train station. Angry, Howard went back to college, called to postpone his lecture, and reported the theft. He then went for coffee and met a colleague who was with a visitor from the Natural History Museum in Nairobi. This conversation led Howard to learn about a new collection of fossils that needed to be studied, which would be a great opportunity for him.
Because of the theft, Howard changed his plans. He decided not to go to a conference in Stockholm or take students on a trip to Scotland. Instead, he would find a way to visit the museum in Nairobi."
8,C1,"Charles Spence is a professor at Oxford University who enjoys trying unusual foods. He mentions that he has ice cream made from bee larvae at home, which may look strange but supposedly tastes a bit like nuts and flowers. Spence and his team are working on making eating bugs more acceptable. His research focuses on how our senses work together to create the flavors we experience. This research influences what we eat and drink, from large food companies to high-end restaurants.
Spence studies many factors that affect our taste, such as who we eat with, how food is presented, and even the noise around us. In his book, ""The Perfect Meal,"" co-written with Betina Piqueras-Fiszman, he shares interesting facts about eating. For example, the first person to order in a group usually enjoys their meal more, and we tend to eat 35% more food when dining with one other person, and 75% more with three others.
Spence's lab is simple and not very modern. It has soundproof booths and old audio-visual equipment. By keeping costs low, he can work with chefs who cannot afford research on their own. Much of his funding comes from a large food company. He notes that in the past, research funded by the food industry was not taken seriously in universities. However, now it is important for universities to show that their work has real-world effects.
Spence helps food brands reduce salt and sugar in their products, which is important for keeping customers healthy. Surprisingly, many companies make these changes slowly so that customers do not notice. He explains that when people know about these changes, they often focus too much on the taste and may not enjoy it as much.
Spence first met famous chef Heston Blumenthal while working on a project for a food company. At that time, people thought combining science and food was strange, but Spence believed it could change how people think about food. Their collaboration led to the creation of a dish called ""Sound of the Sea,"" which uses sound to enhance the dining experience.
Spence has found that different sounds can change how we taste food. For example, high-pitched music can make food taste sweeter, while lower sounds can make it taste bitter. Soon, an airline will match music with the food served to passengers. Last year, a well-known brand even released an app that played music while ice cream melted, but they did not match the music to the taste, which is often the case.
At home, Spence's dinner parties can be quite unique. One time, they ate rabbit with the fur still on the cutlery, and another time, they used remote-controlled colored lights. They have even experimented with sounds and different drinks to see how they affect taste. For Spence, home, sweet shops, food conventions, and gastronomy conferences are all part of his research."
9,C1,"Our brains are working harder than ever. We are bombarded with facts, false information, chatter, and rumors, all pretending to be useful information. We have to sort through this to find what we really need to know and what we can ignore. At the same time, we are doing more tasks ourselves. Thirty years ago, travel agents booked our flights and salespeople helped us in stores. Now, we do most of these things on our own. We are trying to manage many responsibilities, including our lives, families, jobs, hobbies, and favorite TV shows, often with the help of our smartphones. These devices have become part of our busy lives, filling every free moment with tasks. 
However, there is a problem. Although we believe we are multitasking—doing several things at once—this is a misleading idea. Earl Miller, a neuroscientist at MIT, explains that our brains are not designed to multitask effectively. When we think we are multitasking, we are actually switching quickly between tasks. Each time we switch, it costs us mental energy. Instead of being expert jugglers, we are more like amateur plate spinners, quickly moving from one task to another and worrying about what we might drop. Even though we feel productive, multitasking actually makes us less efficient.
Research shows that multitasking increases stress hormones, which can lead to confusion and unclear thinking. It creates a desire for constant stimulation, rewarding our brains for losing focus. The prefrontal cortex, the part of the brain we need to stay focused, is easily distracted by new things. This means that the very area we rely on to concentrate is often pulled away by distractions.
Just the chance to multitask can hurt our ability to think clearly. Glenn Wilson, a former psychology professor, calls this problem ""info-mania."" His studies found that trying to focus on a task while seeing an unread email can lower our IQ by almost 10 points. The cognitive losses from multitasking are even worse than those caused by being tired. Russ Poldrack, a neuroscientist at Stanford, discovered that learning while multitasking can send information to the wrong part of the brain. For example, if students do homework while watching TV, the information from their studies goes to a part of the brain that stores skills instead of facts. Without distractions, the information goes to a part of the brain that organizes it better, making it easier to remember.
Additionally, multitasking often involves making decisions, like whether to reply to a text or ignore it. Making decisions is also hard on our brains, and small decisions use the same mental energy as big ones. After making many small choices, we can end up making poor decisions about important matters.
In discussions about information overload, email is often mentioned as a major issue. It’s not that email itself is the problem, but the overwhelming amount of messages we receive. When a 10-year-old boy was asked what his father does for work, he said, ""He answers emails."" His father agreed that this was quite accurate. We feel we must respond to emails, but it often feels impossible to do that and accomplish anything else."
10,C1,"In a zoo in Sweden, a chimpanzee named Santino spent his nights breaking concrete into pieces to throw at visitors during the day. Was he being mean? In caves in the US, female bats help other fruit bat mothers if they can’t find the right position to give birth. Are they being kind? Fifty years ago, these questions were not considered important. Animals had behaviors, and science focused on measuring those behaviors. The idea that animals have thoughts, feelings, and moral beliefs was seen as silly. However, this view has started to change. Research on bats, chimps, rats, dolphins, and chickens has begun to explore animal emotions, which were once a forbidden topic. This change has led to popular science books like Mark Bekoff’s ""Wild Justice"" and Victoria Braithwaite’s ""Do Fish Feel Pain?"". This has sparked a debate that may never be fully answered: do animals have consciousness? This debate raises another question about conscience, which is a person’s sense of right and wrong that guides their actions.
In a recent experiment with cows, those that opened a locked gate to get food showed more happiness—by jumping and kicking—than those that had the gate opened for them. If this research suggests that cows enjoy solving problems, what does it mean for how we produce and eat beef? While the observations are clear, their meaning is debated. Dr. Jonathan Balcombe, author of ""Second Nature,"" believes the only logical response to this research is to stop eating meat. He thinks humanity is close to a major change in ethics, similar to the end of slavery. Aubrey Manning, a professor at Edinburgh University, believes we should reconsider how we view animal intelligence. He thinks animals have a simpler understanding of the world than humans do. Professor Euan MacPhail suggests we should avoid attributing human feelings to animals. These three views may never agree because the main issue is not just scientific or moral, but philosophical. Since defining consciousness is very difficult, can we ever truly understand what it is like to be a bat, as philosopher Thomas Nagel asks?
Balcombe describes an important experiment he conducted that suggests starlings, a type of bird, can feel depressed. In a study at Newcastle University, starlings were divided into two groups. One group lived in spacious, comfortable cages, while the other lived in small, empty cages. Both groups learned to eat tasty worms from one box and avoid unpleasant worms from another. However, when only unpleasant worms were offered, only the starlings in the comfortable cages would eat. Balcombe concluded that living in a bad cage made the starlings feel pessimistic about life. Balcombe, who has worked with animal rights groups, has a strong opinion. He says, “We look back with horror at a time of racism. One day, our views on animals will be the same. We can’t support animal rights while eating a cheeseburger.” If he were the only one with this view, it might be easy to ignore him. But Professor Aubrey Manning shares similar beliefs. Manning has written a textbook called ""An Introduction to Animal Behaviour."" He says, “What we are seeing is a swing in ideas. In the early 20th century, some people thought animals thought just like us, and there was a backlash against that. Now we are moving back to the idea that animals have feelings. But this is a very controversial topic, and we should be careful of academics with strong personal opinions.”"
