text_id,text
CPE_15,"t.'

**Simplified Text:**

In many places, rubbish is collected from households at regular intervals. It is taken away to a local tip, where it is disposed of. In most places, this service is free. However, if rubbish disposal is free, people will produce too much rubbish. To reduce the amount of rubbish that is produced, people would have to buy less of just about everything.

If you charge households for the rubbish they produce, people will produce less rubbish. But the effects of seemingly simple policies are often complex. Intricate economic models are often needed to sort them out. And sometimes, the results of this rummaging do not smell sweet.<eos>"
CPE_19,"t.'

**Simplified Text:**

Work can be a rewarding and fulfilling experience, but it can also be stressful and unsatisfying. To be successful in your career, you need to be able to communicate effectively, be creative, and be able to work well with others. If you are not able to do these things, you will not be able to enjoy your work, even if you have a high-paying job.

There are a few things you can do to make your work more fulfilling. First, you need to find a job that you are passionate about. Second, you need to be able to communicate effectively with your colleagues and clients. Third, you need to be able to be creative and problem-solving. Finally, you need to be able to work well with others.

If you are able to do all of these things, you will be more likely to be successful and satisfied with your work.<eos>"
CPE_24,". '

**Simplified Text:**

Broadcasting is a technology that is used to spread seeds broadly. It is also a metaphor for optimistic modernism. It is about planned growth and the production of a rich harvest.

Television is a technology that is related to various two-way forms of communication. From its very early days, it was envisaged as a centralised 'mass' medium. However, transmission to private homes from some centralised unit was simply in keeping with both socio-economic structures and the dominant ways of life in modern and modernising societies.

In the early 1930s, there were a lot of experiments with different forms of organisation. But Big Business agreed upon standards for television equipment and channel regulations which drove the grass-roots activists out.

Television was also primarily a medium for theatrical exhibition in the USA in the early 1930s. And as such often thought to be a potential competitor of the film industry.

As working-class people achieved improved standards of living and entered 'consumer' society from about the 1920s onwards, the dreams of the home as a fully equipped centre for entertainment and diverse cultural experiences became realisable for the majority of inhabitants of Western nation-states.<eos>"
CPE_13,"e.'

**Simplified Text:**

Sometimes it feels like having a lot of things doesn't make you feel secure. It's okay to have a home that meets your needs, but there's a point where you start to buy too much stuff. Advertising can make you feel bad about yourself if you don't have everything that everyone else has. There are a lot of messages that tell you that if you don't have one of these things, you are not a good person. To see how much you are influenced, try not to read any advertising billboards the next time you go down the street.

Caves are interesting places that people have studied for a long time. They are a natural part of the environment and they make us curious. Scientists have spent a lot of time studying caves. However, exploring caves can be difficult and requires a lot of physical strength. This means that cave research has been less in the hands of scientists than other scientific fields.

Meteorology is the study of the weather. People have been studying the weather for centuries. Today, we have advanced tools to help us understand the weather. Satellites and computers can give us a lot of information about the weather. But human experience is still the most important part of meteorology. It is the human observations that help scientists to make accurate weather forecasts.<eos>"
CPE_16,". '

**Simplified Text:**

Music and theatre are two different art forms. Opera is mostly theatre, but the music comes first. In a musical performance, there is usually a lot of music and not much acting. The music can be very impressive, and it can also be very emotional. Sometimes, the music can even be life-changing. Theatre audiences have different expectations than music audiences. They don't understand the nature of an actor's skill and are not particularly awed by an activity which, a lot of the time, appears to be very close to what they could do themselves. However, theatre audiences are still generous and demanding. They are willing to follow artists into the most unpromising spaces.<eos>"
CPE_21,"d.'

**Simplified Text:**

Sand is a natural barrier that can be a nuisance. It blows in your face, gets in your sandwiches, and sticks to you when you are wet. But it also pours off you when you step onto a beach towel or walk across a carpet. Sand can stay with you for a long time, but you can keep it away.

A lock and key are used to keep people out of a place. They are psychological and make people feel safe. But people don't like computerised locking systems. They prefer to use a physical key in a lock.

I was nervous about visiting the new Tate Modern gallery because I didn't understand modern art. But I learned a lot from the labels at the gallery. They helped me understand what the art was trying to say.<eos>"
CPE_46,"s.'

Simplified Text:

Every picture tells a story. Sometimes, when novels are adapted for film, the writer has to condense or delete parts of the story. This can be frustrating, but it can also be illuminating. When I was working on a script, I realized that I could dispense with a lot of the dialogue and narrative description in a scene, while still getting across the same point.

The studio where I was working was a big place. It was made up of many different buildings. It was difficult to find your way around the studio. There was no clear main entrance. And there was nowhere to ask questions or get directions.

Most people want to make movies. There are a lot of books and courses about scriptwriting and film production. If you dream of making a movie, you can make it happen. You just have to be patient and work hard.<eos>"
CPE_3,"e.'

Simplified Text:

In those days, the council houses in West Earlham were like row after row of huddled, dingy dwellings. The chemicals from the factory came and hung around the doors and gardens with a strong smell of sulphur. The most common sight in that part of Norwich early in the morning was a paperboy wrinkling his nose in disgust as he walked on someone's front path. Most of my early life I have forgotten, but I have a memory of sitting on a vantage point near an upstairs window and looking at the houses as they faded away into the distance. Later on, there are other memories that I can't put names to. My mother was a small, precise and nearly always angry woman. She was very lonely and had a strange way of behaving. Sometimes she would get angry and clean the house or wash her hands. Sometimes she would be very quiet and listen to the radio. I remember my mother taking me to the Norwich Castle Museum on Sundays. Here, hand-in-hand, we would look at paintings. My mother wasn't altogether averse to this recreation, and eventually almost got to have opinions on the various subjects presented for her edification.<eos>"
CPE_10,"y.'

**Simplified Text:**

I live on a street called Philadelphia Avenue. It is a very special street. I know it well because I have lived there for a long time. There are a lot of houses on my street. Each house is different. Some of the houses are old and some of the houses are new. There are also a lot of shops on my street. Some of the shops are big and some of the shops are small.

I like to swim in the pool. It is a very relaxing place. I like to swim in the summer. It is the best time to swim. I also like to swim in the winter. It is a good way to stay warm.

I have a dream. I want to swim through Britain. I want to follow the rain on its meanderings about our land to rejoin the sea. I want to break out of the frustration of a lifetime doing lengths, of endlessly turning back on myself like a tiger pacing its cage.<eos>"
CPE_67,". '

Simplified text:

Charles Darwin thought that humans have a natural tendency to cry. It is not clear why we cry, but there are a few possible reasons. One reason is that crying can help us to connect with others. When we see someone else crying, we often feel sympathy and want to help them. Another reason is that crying can help us to express our emotions. When we are sad, we often cry to let others know that we are unhappy. Finally, crying can also be a reflex response to certain stimuli, such as hearing music or watching a movie.<eos>"
