text_id,text
CPE_15,"t.'

**Simplified text:**

Garbage collection is a ritual that is free in most places. It involves collecting rubbish bags or the contents of rubbish bins and carrying them away to the local tip. If rubbish disposal is free, people will produce too much rubbish. To reduce the amount of rubbish, people would have to buy less of just about everything.

If you charge households for the rubbish they produce, you will see a reduction in the amount of rubbish that is collected. However, the effects of seemingly simple policies are often complex and intricate economic models are often needed to sort them out.<eos>"
CPE_19,"t.'

**Simplified text:**

Work can be a rewarding and fulfilling experience, but it can also be stressful and unsatisfying. To be successful in your career, you need to be able to communicate effectively, be able to work well with others, and be able to adapt to change.

If you are not satisfied with your current job, there are a few things you can do. You can start by talking to your boss about your concerns. If that doesn't help, you can start looking for a new job. You can also try to find ways to make your current job more fulfilling.

There are a few things that you can do to make your work more fulfilling. You can try to find a job that is more aligned with your interests and values. You can also try to find ways to make your current job more challenging and rewarding. You can also try to find ways to make your work more connected to your personal life.<eos>"
CPE_24,". '

**Simplified Text:**

Broadcasting is a technology that was originally used to sow seeds broadly. It is also a metaphor for optimistic modernism. It is about planned growth and the production of a rich harvest.

The metaphor presupposes a bucket of seeds at the centre of the activity, which means that there are centralised resources intended and suited for spreading and reproduction.

Since television is related to various two-way forms of communication, it is striking that it was envisaged as a centralised 'mass' medium. However, transmission to private homes from some centralised unit was simply in keeping with both socio-economic structures and the dominant ways of life in modern and modernising societies.

In the early 1930s, there were attempts to experiment with other forms of organisation. But these attempts were not successful. The most adequate organisation of the medium was centralised broadcasting to a dispersed domestic audience.<eos>"
CPE_13,"e.'

**Simplified Text:**

Sometimes it feels like no matter how much stuff you have, you don't feel secure. It's natural to want to create a comfortable home, but there's a point where the desire to acquire things gets out of control. Advertising plays on our insecurities. It's all around us - on billboards, TV, the radio, and the internet - telling us to buy, buy, buy.

Caves are a mysterious part of nature. They attract curiosity and inspire research. Scientists have studied caves for many years. However, exploring caves requires physical agility, which means that cave research has been less in the hands of academics than other scientific fields.

Meteorology is the study of weather. People have been observing the weather for centuries. Satellites and computers have made meteorology much easier. But human experience is still the most important part of meteorology. It's the key to translating data into weather forecasts.<eos>"
CPE_16,". '

**Simplified Text:**

Music and theatre are two different art forms that offer unique experiences to audiences. Up until recently, I believed that opera was primarily a form of theatre. However, after working at a national opera house, I realized that music takes precedence in opera. The music is the foundation of the performance, and it is what makes the event truly captivating.

In contrast to music audiences, theatre audiences have different expectations. They mainly focus on the actor's skill and are not necessarily impressed by elaborate speeches or complex musical arrangements. While it is understandable to admire the skill of performers, it is important to recognize that theatre audiences have different needs and preferences than music audiences.

Despite these differences, there is a common thread that binds music and theatre audiences together - their shared passion for the arts. Both groups of people appreciate the power of music and theatre to evoke emotions, inspire creativity, and bring joy to their lives.<eos>"
CPE_21,"d.'

**Simplified Text:**

Sand is a nuisance when it is in its natural state. It blows in your face, gets in your sandwiches, and sticks to you. It is also hard to remove. However, when you step onto a beach towel, climb into a car, or walk across a recently vacuumed carpet, the sand falls off you. It can stay with you for a long time, but you can keep it away by locking it up.

A lock and key have been used for a long time to keep people safe. They provide a sense of security and privacy. However, some people don't like electronic locks. They prefer physical keys. One locksmith company developed a new electronic system that incorporated a proper metal key.

Modern art can be difficult to understand. However, the new Tate Modern gallery has tried to make it easier for visitors. The labels on the artwork help you understand what the artwork is trying to say.<eos>"
CPE_46,"s.'

Simplified Text:

Every picture tells a story. Adapting novels for film often involves reducing, condensing and deleting text. This can be frustrating for the writer, but also illuminating. When I was working on a script, I realized that I could dispense with a lot of the dialogue and narrative description in a given scene, while still getting across the same point.

The studio where I worked was a complex place. It was made up of many different buildings, and it was difficult to find your way around. But the studio lacked a focus. It would have been much better if there had been a single main entrance.

Almost everybody wants to make a movie. There are many books and courses about scriptwriting and film production. If you dream of making a movie, there are a lot of opportunities out there.<eos>"
CPE_3,"e.'

Simplified text:

In those days, the council houses in West Earlham were like row after row of huddled, dingy dwellings. The chemicals from the factory came and hung around the doors and gardens with a strong smell of sulphur. The most common sight in that part of Norwich early in the morning was a paperboy wrinkling his nose in disgust as he walked on someone's front path. Most of my early life I've forgotten, but I have a memory of sitting on a vantage point near an upstairs window and looking at the houses as they faded away into the distance. Later on there are other phantoms - faces that I can't put names to, my mother ironing towels in the back room of a house that I don't think was ours, snow falling over the turrets of the great mansion at Earlham. My mother was a small, precise and nearly always angry woman. She was quite the most solitary person I have ever known, as alone in a room full of people as on a moor. To particularise, it meant not straying into neighbours' gardens or jeopardising their rose bushes as you walked down the street; it meant sitting for long half-hours in a silent dining room, with your hands folded across your chest, listening to radio programmes that your mother liked. It was as if a giant paperweight, composed of the West Earlham houses, my mother and her cronies, the obligation to 'behave proper', lay across my shoulders, and that it was my duty immediately to grow up and start the work of prising it free.<eos>"
CPE_10,"y.'

**Simplified Text:**

I live on Philadelphia Avenue, on the odd-numbered side. The evening was dark, and the air was thick with rain. I knew this side of the street well. There are many houses on my street, and I have many memories of playing with my friends there.

The houses on my street are different from the houses on the other side of the street. The porches on the other side of the street are lower to the ground, and the front yards are smaller. Over the years, there have been changes to the houses on my street. The wooden porch banisters and pillars have been replaced by wrought iron.

I also have a lot of memories of swimming in the pool. One day, I was swimming in the pool and I noticed that the rain was falling. I hurried across the lawn and took shelter in the pool. The rain fell hard, and the water splashed all over me. It was a lot of fun.

I have a dream of swimming through Britain. I want to follow the rain on its meanderings about our land to rejoin the sea. I want to break out of the frustration of a lifetime doing lengths, of endlessly turning back on myself like a tiger pacing its cage.<eos>"
CPE_67,". '

**Simplified text:**

Charles Darwin thought that humans have a natural tendency to cry. It is not clear why we cry, but there are a few possible reasons. One reason is that crying can help us to connect with others. It can also be used to express sympathy or sadness. Sometimes, we cry involuntarily when we hear inspiring music or moving speeches. We may also cry when watching a sentimental film. However, the most important reason for crying is its social function. Tears can help us to build trust and social connectedness.<eos>"
