text_id,text
CPE_15,"t.'

**Simplified text:**

Garbage disposal is a common practice in developed countries. In most places, it is free. However, if rubbish disposal is free, people will produce too much rubbish. To reduce the amount of rubbish, people need to pay the marginal cost of disposing of their waste. This will give them an incentive to throw out less and recycle more.

But the effects of seemingly simple policies are often complex. Intricate economic models are often needed to sort them out. And sometimes, the results of this rummaging do not smell sweet.<eos>"
CPE_19,"t.'

**Simplified text:**

Work can be a fulfilling and meaningful experience, but it is not always the case. Many people feel unappreciated and undervalued in their jobs. To be successful in today's world, you need to be able to communicate effectively, both verbally and non-verbally. You also need to be able to work well with others and be willing to learn from them. If you are not able to do these things, you will not be able to thrive in the workplace.

In addition to the above, there are a few other things that are important for success in the workplace. You need to be able to manage your time effectively, be organized, and be able to work independently. You also need to be able to adapt to change and be willing to learn new things. If you are able to do all of these things, you will be well-positioned to succeed in the workplace.<eos>"
CPE_24,". '

**Simplified Text:**

Broadcasting is a technology that was originally designed to sow seeds broadly. It is also a metaphor for optimistic modernism. It is about planned growth and the production of a rich harvest. The metaphor presupposes a bucket of seeds at the centre of the activity, i.e. the existence of centralised resources intended and suited for spreading - and reproduction.

Since television is related to various two-way forms of communication, such as the telegraph and the telephone, it is all the more striking that, from its very early days, it was envisaged as a centralised 'mass' medium. However, transmission to private homes from some centralised unit was simply in keeping with both socio-economic structures and the dominant ways of life in modern and modernising societies.

The pervasiveness of these structured processes and interests rendered broadcasting the 'naturally' victorious organisation of both radio and television.<eos>"
CPE_13,"e.'

**Simplified Text:**

Sometimes it seems that no matter how many possessions you have, you never feel secure. Having a basic nesting instinct and creating a home that meets your needs is reasonable, but there is a point where the motivation for acquiring things gets out of control. Advertising plays a big role in this. It is designed to make us feel insecure and encourage us to buy things. We are constantly being bombarded by advertising messages through various channels. Caves are also a fascinating subject of study. They are mysterious and arouse our curiosity. Researchers have invested a lot of time studying caves. However, cave research is not easy. It requires physical agility and can be challenging for learned professors. Amateur cave enthusiasts also play an important role in cave research. Meteorology is another fascinating subject. It is the study of the atmosphere. Countless people have contributed to meteorology by making observations. Satellites and electronic instruments provide us with a lot of weather information. Computers can solve complex mathematical problems quickly. Meteorological theory is complex and uses long words. But human experience is still the most important factor in weather forecasting.

**Questions:**

1. What is the main idea of the text?
2. How does advertising influence our behavior?
3. What are some of the challenges associated with cave research?
4. What is the importance of human experience in meteorology?
5. What are some of the main contributions of amateur cave enthusiasts to cave research?<eos>"
CPE_16,". '

**Simplified Text:**

Music and theatre are two different art forms that offer unique experiences to audiences. Up until recently, I believed that opera was primarily theatre. However, after working at a national opera house, I realized that music comes first in opera. The music is the foundation of the performance, and it is what makes the event truly captivating.

In the theatre, the word and the actor speaking it have primacy. There is no one directing the action once the event begins, and the performer and audience speak the same language. In contrast, music audiences often interrupt the momentum of performance by applauding between movements or after a particularly virtuos piece.

Despite these differences, there are some similarities between music and theatre audiences. Many people who attend music performances also enjoy watching plays. And, just like theatre audiences, music audiences can be passionate, expressive, and willing to contribute directly to the performance.

I believe that music and theatre can learn from each other. For example, music could incorporate more of the theatricality that is found in theatre performances. And, theatre could incorporate more of the musicality that is found in music performances. By working together, music and theatre could create an even more captivating and enjoyable experience for audiences.<eos>"
CPE_21,"d.'

**Simplified Text:**

Sand is a nuisance that can be annoying and difficult to get rid of. It blows in your face, gets in your sandwiches, and sticks to you when you are wet. But it also disappears when you step onto a beach towel, climb into a car, or walk across a recently vacuumed carpet. Sand can stay with you for a long time, but you can keep it away by locking it up.

A lock and key are a symbol of security. They have been used for many years to keep people out of places. There are different types of locks and keys, but they all work the same way. If you have a lock and key, you can be sure that nobody will be able to get into your house.

Modern art is a difficult subject to understand. But if you are willing to learn about it, you can enjoy it. The new Tate Modern gallery has a lot of information about modern art. You can learn about the different types of art and what they mean. You can also learn about the artists who created the art.
**Questions:**

1. What is the main problem with sand?
2. What is the main point of the second paragraph?
3. What is the main point of the third paragraph?
4. What is the main idea of the text?<eos>"
CPE_46,"s.'

**Simplified Text:**

Every picture tells a story. Adapting novels for film often involves reducing, condensing and deleting text. This can be frustrating for the writer, but also illuminating. Working on a script, I was struck by how much of the dialogue and narrative description I could dispense with, while still getting across the same point.

The film studios were a complex and confusing place. They lacked a focus and were difficult to navigate. But they also provided a place where people could come together and share their dreams.

Film-makers are passionate about their craft. They want to make movies and share their stories with the world. If ever dreams came true, they did for Rodriguez - and ahead of schedule.

**Questions:**

1. What is the main point of the text?
2. How does the author use evidence to support their claims?
3. What is the significance of the title ""Every Picture Tells a Story""?
4. What is the relationship between the text and the topic of film-making?
5. What is the author's overall message about film-making?<eos>"
CPE_3,"e.'

**Simplified text:**

In those days, the council houses in West Earlham stretched all over the city. They were row after row of huddled, dingy dwellings. In the summer, the chemicals from the May and Baker factory came and hung around the doors and gardens with an indescribable smell of sulphur. The most common sight in that part of Norwich early in the morning was a paperboy wrinkling his nose in disgust as he negotiated somebody's front path.

My early life has faded away, but I have a memory of sitting on a vantage point near an upstairs window and looking at the houses as they faded away into the distance. Later on, there are other phantoms - faces that I can't put names to, my mother ironing towels in the back room of a house that I don't think was ours, snow falling over the turrets of the great mansion at Earlham.

My mother was a small, precise and nearly always angry woman. I remember her as a lonely person who was always angry. She was also very possessive of her belongings. To particularise, it meant not straying into neighbours' gardens or jeopardising their rose bushes as you walked down the street; it meant sitting for long half-hours in a silent dining room, with your hands folded across your chest, listening to radio programmes that my mother liked.

Growing up in West Earlham at this time followed a well-regulated pattern. Until you were five, you simply sat at home and got under your parents feet. Then, the September after your fifth birthday, you were packed off to Avenue Road infants school half a mile away in the direction of the city.<eos>"
CPE_10,"y.'

**Simplified Text:**

I headed down Philadelphia Avenue on the odd-numbered side. The dusk had deepened, and the humidity was thick. I knew this side of the street from the dawn of consciousness. There were many houses down the street, and I remembered them all. The houses had been as distinct to my childish awareness as the little troughs in the cement which led rain from their roof gutters out through the sidewalk to the street. As the street sloped downward, there was a just-perceptible descent in the social scale as well. The porches got lower to the ground, and the front yards became exiguous. Over the years, there had been changes. The wooden porch banisters and pillars had been replaced by wrought iron. The residents had divided up the open, shelved spaces in different ways. Some had turned their homes into stores, while others had reverted to being homes. I swam in the pool, and I nosed along, eyes just at water level. It was at the height of this drenching in the summer of 1996 that the notion of a long swim through Britain began to form itself.

**Questions:**

1. What is the main theme of the text?
2. What is the significance of the title ""Swimming""?
3. What is the author's purpose for writing this text?
4. What is the significance of the author's personal experience in the text?
5. What is the author's main point about swimming?<eos>"
CPE_67,". '

**Simplified text:**

Charles Darwin thought that the human tendency to cry had no obvious purpose. He was probably wrong. Scientists have found that crying has a social function. It can help to develop the attachment between mother and child, and it can also promote trust and social connectedness. Tears can also be used to express sympathy, helplessness, and involuntary reactions. The social function of crying would seem to be undeniable, but research continues.
## Reading Comprehension Questions

1. What is the main point of the text?
2. What is the purpose of crying according to the text?
3. What evidence from the text supports the idea that crying has a social function?
4. What other causes of crying are mentioned in the text?
5. What is the relationship between crying and social connectedness?<eos>"
CPE_27,"d.'

**Simplified text:**

The Earth is getting warmer, and this is causing a lot of changes to the planet. The changes are affecting plants, animals, water, and soils. Humans have learned to use natural resources to our advantage, but any changes to these resources have to be taken seriously.

The problem is that we do not fully understand the processes of the climatic system. We also do not know exactly how the world will change in the future. However, most people agree that the rate of change will be faster than anything we have previously experienced.

Climate change is having a significant impact on the natural environment and humans. It is affecting the geographical locations of ecological systems, the mix of species they contain, and the availability of water. It is also causing changes to glacial processes and sea levels.

The consequences of climate change are potentially very severe. Increased flooding and inundation are the most obvious results. Huge numbers of people stand to lose their homes and livelihoods. This could produce many millions of environmental refugees.<eos>"
CPE_66,". '

**Simplified text:**

A middle-aged, married couple is wanted for a 501-day round trip to Mars. Applicants must be physically and emotionally robust. If multi-millionaire Dennis Tito's plans to launch a capsule on 5 January 2018 actually lead to fruition, this will be the profile of the very first Martian astronauts. The capsule will take the crew to about 160 km above Mars. The spacecraft will use the gravity of Mars to allow it to return to Earth without burning any more fuel. Fuel efficiency is a priority. The next launch window when Mars and Earth align again isn't until 2031. It's a normal order, but the race is on to develop systems involving totally new technologies. Given that these can be put in place soon enough, the spacecraft might just make it. But even if it never leaves Earth, the efforts to achieve these ambitious goals will not be in vain, as they will lead to valuable advances for future missions.<eos>"
CPE_44,". '

**Simplified Text:**

Aesthetics is a field that studies the nature of beauty and art. However, the existence of artworks often creates obstacles to understanding aesthetic theory. One reason is that artworks are physical products that exist outside of human experience. They are often identified with the building, book, painting, or statue in its existence apart from human experience. This creates conventions that get in the way of fresh insight. Additionally, the perfection of some artworks can lead to their isolation from human conditions and their general significance. In order to understand the meaning of artistic products, we have to forget them for a time and have recourse to the ordinary forces and conditions of experience that we do not usually regard as aesthetic. We must arrive at the theory of art by means of a detour.<eos>"
CPE_22,"r.'

**Simplified Text:**

Lions are social animals that live in groups. They hunt for food together and work towards a common goal. However, lions are not always successful in their hunts. Sometimes, they are too generous and their companions benefit at their expense. Researchers have been studying lions for many years in an attempt to understand why they team up to hunt and why they are not always successful. The answers to these questions are only now becoming clear.

As a child, the author was fascinated by stories of wise women who wielded such influence in the ancient world. He learned a valuable lesson from one of these stories about salesmanship and life. The author also learned a lesson about being lonely and how to overcome that feeling.

The author's manuscript is currently in the slush pile. This means that it is waiting to be sorted and sifted through before it is read by a more senior editor. If the editor thinks the manuscript is promising, it will be passed on to an acquisition meeting. At this meeting, the editor will decide whether to accept the manuscript and whether the author is a long-term prospect.
**Questions:**

1. What is the main idea of the text?
2. What is the author's main point in the second paragraph?
3. What is the meaning of the word 'slush pile'?
4. What is the significance of the author's lesson about being lonely?
5. What is the purpose of the final paragraph?<eos>"
CPE_39,"e.'

**Simplified text:**

The early years of the 1990s were tough for advertising professionals. There was a recession in business that was longer, deeper and more severe than anticipated. It affected every single business in the country, including advertising agencies. Many people lost their jobs and homes. Advertising people often feel particularly under pressure because they are seen as spearheading efforts to support the bottom line. They also have to deal with increasingly being asked to do their ever more difficult jobs with smaller and smaller budgets.

However, despite the challenges, there has been a rise in the perceived importance of marketing. Companies are now making sure that they are producing services and goods that their customers want. This has increased the status of marketing people, while also adding to their burden.

The production of effective advertising is difficult. There are a number of factors that make it even harder, including the economic situation, the changing needs and desires of consumers, and the increasing legal restrictions on advertising. It is not surprising that help for those who want or need to do just that is far from freely available.<eos>"
CPE_18,"s.'

**Simplified Text:**

I decided to be a chef when I was at university. Cooking was not a popular job, but I was unhappy at university and I wanted to do something that made me feel good. I developed an intense desire to uncover the secrets of cooking and I transformed my student life into an extended preparation for my assault on the culinary world.

I was taught how to dive by an ex-drill sergeant. He was a martinet and he told me to focus on keeping my legs straight and pointing my toes. I practised that manoeuvre until the hour was up. I went up onto the high board and I felt as if I was flying. When I hit the water, I crumpled ignominiously. But even the instructor could not diminish my euphoria.

The traveller is a person who has succumbed to the treacherous seduction of the unknown. They choose to put their lives at risk by climbing mountains, sailing the seas, or eating maggots. It is easy to dismiss such people as oddities. But they exist and their strange, uncomfortable world lies well outside our everyday experience.

Sailing Jonathan Raban is afraid of the sea, but he likes to write about it. He does not claim to be a world-class sailor, though he is obviously a competent one. His overriding reason for sailing is that, being a writer, he likes to write about having sailed.<eos>"
