text_id,text
CPE_15,"Text: 'Paying for Trash Some people think families should pay for each bag of trash they make. This idea sounds good for the environment and money, but it might not be. In many places, trash is picked up for free. Families pay for this with local taxes. But a family with a lot of trash pays the same as a family with little trash. More trash means more workers and trucks are needed, and this costs more money. If trash pickup is free, people might make too much trash. One idea is to make families pay for each bag of trash. This might make them throw away less and recycle more. But two American economists, Don Fullerton and Thomas Kinnaman, found this idea has problems. They studied towns in America where people pay for trash. People buy stickers for their trash bags. Only bags with stickers are picked up. In Charlottesville, Virginia, people paid 80 cents for each bag. The number of bags went down by 37%. But people just put more trash in each bag. The weight of trash went down by only 14%. In other towns without this system, trash went down by 3.5% anyway. Some people also dumped trash illegally. This might be 30-40% of the trash reduction. One good thing was a 15% increase in recycling. But many people were already recycling. In another study, the economists found that higher prices for trash stickers only reduced trash a little. A 10% price increase cut trash by only 0.3%. People would need to buy less of everything to make a big change. Other things like income and education might also affect how much trash people make. Richer towns make more trash and have less time to recycle. Charging for trash is not a bad idea, but it is complicated. Simple ideas can have complex results.'"
CPE_19,"Text: 'Work Theodore Zeldin talks about how our work life can change. Do you feel respected at work? Success in a job is not enough anymore. Many people feel their jobs are not valued. Even famous people can feel unhappy. Loving your job used to be special. Now, you need to think about how your job affects you as a person. This is important. If your job makes you boring or too busy, no money or status can make up for it. I want to find out how work can make us happy and help us grow. Work should not just be about making money. It should help us live better and meet new people. Even jobs like doctors and accountants are not as good as they used to be. Many people are stressed and unhappy. Companies are getting smaller, and workers do not feel connected to their jobs. In Britain, only 8% of workers feel their values match their company's values. I am looking at different jobs to see how they affect people. I want to find better ways to work. Many people work hard but do not feel alive at work. They feel like they have no choice. For example, hotel workers often have low pay and long hours. Hotels could be more than just places to sleep. They could be places where people meet and learn from each other. But hotels focus only on making money. Work is a relationship. People want to be independent and choose their jobs and coworkers. They need to talk and understand each other. Good conversation can change the world a little bit each time.'"
CPE_24,"**Broadcasting: The Story of TV and Radio**

Broadcasting started as a word for planting seeds by hand. It means spreading things widely. This idea fits with how TV and radio work. They send out shows from one place to many homes.

In the 1930s, people tried different ways to use TV. Some wanted TV to be like a phone, where people could talk back and forth. In Britain, hobbyists built their own TV sets. But big companies set rules that made it hard for these hobbyists to continue.

TV was mostly watched in public places, like theaters, in the early days. This was true in the USA, Britain, and Germany. But soon, people wanted TVs in their homes. As more people could afford TVs, they became a part of everyday life.

Broadcasting helped governments share important news with everyone. It also helped people feel connected to their country. Broadcasting was important for democracy because it gave everyone access to information.

Today, broadcasting is changing. The way we use TV and radio might be different in the future. But the idea of spreading information widely will always be important."
CPE_13,"**Clutter**

Sometimes, it feels like no matter how many things you have, you never feel safe. It is normal to want a home that meets your needs, but sometimes wanting more things can get out of control. Modern ads are made to make us feel like we need more. They tell us, ""If you don't have this, you are not good enough."" Try not to look at any ads next time you walk down the street. Ads are everywhere—on TV, radio, newspapers, magazines, posters, t-shirts, and the internet—all telling us to buy more.

**Caves**

People around the world study caves. They want to know where caves come from, how water moves in them, and what lives in them. Caves are a small but interesting part of nature. They make us curious and we want to learn more about them. Many people study caves, both professionals and people who visit caves for fun. Studying caves can be hard because you need to be able to move well to get inside them.

**Weather Watch**

A long time ago, people watched the weather with just their eyes. This helped start the study of weather, called meteorology. Today, we use satellites and computers to learn about the weather. Computers can do math very fast, faster than people can. Weather science uses big words, but simple weather knowledge is still important. Human experience helps turn computer data into weather forecasts. People can still see things that help weather experts understand the weather better."
CPE_16,"**Music and Theatre**

I used to think opera was mostly theatre. But now I know music is more important in opera. I come from the theatre world, where words and actors are very important. In theatre, the audience and actors usually speak the same language. 

In music performances, like concerts or opera, many people don't know much about music. They might feel embarrassed about this. But they admire the skill of the musicians. Watching a great musician is like watching athletes. We know they are doing something amazing.

Theatre audiences have different expectations. They don't always understand an actor's skill. They might not be impressed by a long speech. But they often ask, ""How do you learn all those lines?"" Theatre audiences and performers meet on more equal terms.

Can music learn from theatre? I think yes. Music is full of emotion and can be like theatre. But music often feels formal, with dress codes and respect for conductors. Sometimes, audiences clap at the wrong time, which can interrupt the music.

Many people are trying to make music more welcoming. I remember a special event, a community opera, where the audience moved with the action. It was a great musical experience and changed many people's lives.

I want music to take more risks, like theatre. Sometimes, using new places for music can surprise everyone. It might be uncomfortable, but theatre audiences are used to this. I believe music can change and become more exciting. I love both theatre and music and want more people to enjoy them."
CPE_21,"**Sand**

I do not like sand very much. Sand can become glass and concrete, which is useful. But on the beach, sand is a problem. It blows in your face and gets in your food. It hides things like car keys and coins. When you are wet, sand sticks to you and is hard to remove. But when you step on a towel or get in a car, sand falls off. For days, you find sand in your shoes and socks. Sand stays with you for a long time. I do not want sand.

**Lock and Key**

People want their homes to be safe and private. Long ago, people used a beam to lock the door. Now, we have electronic locks with many combinations. But people still like using a key. Some companies tried using smart cards for locks. But people prefer turning a key at home. So, one company made an electronic lock with a metal key.

**Modern Art**

I was nervous to visit the new Tate Modern gallery. I do not understand modern art. I like some things, like furry art and neon lights. I do not know much about art, so I do not have many opinions. Art should talk to you, but it does not work for me. The new gallery helps visitors understand art. The labels explain what the art is about. This helps me understand the pictures better."
CPE_46,"**Every Picture Tells a Story**

When books become movies, many parts are cut or changed. This can be hard for the writer, but it can also help them see new things. When I worked on a movie script, I saw that I could remove a lot of the book's dialogue and description, but still keep the main idea. This doesn't mean the book's words were not needed. It's about how each type of story, book or movie, needs different things. In books, we often see repeated details about characters or who is speaking. This helps us understand better. In plays, which are mostly talking, the extra words make it feel like real speech. Some modern plays use a lot of extra words, so we don't always know what is being said.

**Watching Movies**

When we watch movies, we can feel like we are in a different world. For a short time, we forget about real life. But when the movie ends, we come back to the real world. Some people used to think movies were just for fun, not art. They liked watching them but didn't think they were important.

**The Film Studios**

The Leiper Film Company studios had many different buildings. It was hard to find your way around. There were three main entrances, but only one took you where you wanted to go. It was confusing for new people, but the workers knew their way. These workers made movies that brought excitement and adventure to people.

**Film-makers**

Many people want to make movies. There are books and classes on how to do it. Some people, like Robert Rodriguez, made movies with little money and became famous. He made his first big movie when he was young. In the past, movie makers took more time to learn. They worked on small projects first. Now, without big studios to help, new film-makers have to be different and creative."
CPE_3,"Text: 'A long time ago, many houses were on the west side of the city. They were small and not very nice. In summer, a factory nearby made the air smell bad. In the morning, a paperboy would hold his nose because of the smell. I don't remember much from when I was young. But I do remember sitting by a window and looking at the houses. I also remember my mother. She was often angry, and I didn't know why. She liked things to be very clean and proper. She didn't like people going into other people's gardens or making noise. My mother had some friends. They talked about the weather and their children. Growing up in West Earlham was the same for everyone. Before you were five, you stayed at home. After that, you went to school. Some kids went on bikes with their mothers. I went with other kids. I remember summer holidays. We saw new things outside West Earlham. Once, we went to a charity event, but my mother didn't like it. She thought people wanted money. My mother didn't trust politicians. She thought they took people's money. But she cared about my education. Sometimes, we went to the museum. My mother liked looking at the paintings. Once, she made a joke about a painting of a soldier.'"
CPE_10,"**Philadelphia Avenue**

I walked down Philadelphia Avenue. It was getting dark, and the air was wet. I felt like I was hiding. I knew this street well. My neighbors were the Matzes and the Pritchards. Han Kieffer had a grocery store here. My friends lived in the Kring's and the Pottses' houses. I used to play with them. The houses were special to me. I remembered the little paths in the cement where rainwater flowed. I used to skate or ride my scooter over them.

As I walked, I noticed the houses changed. The porches were lower, and the yards were smaller. Over time, wooden porches became iron ones. Some houses became stores, and some stores became houses again. I wondered how people lived in these old store spaces.

**Bachelor Fads**

Rick Gilbert lives in a flat that used to be a curtain warehouse. It has big doors and brick walls. He didn't want an open space. He wanted separate areas for work and living. He used a big plastic sheet to make a hallway and hide his office. The kitchen is in the middle. He wanted it to be a place for both work and friends. He used light wood for the floors and mixed modern and old furniture.

**Bruce Chatwin**

Bruce Chatwin was a writer who loved to travel. His first book, ""In Patagonia,"" was very special. It was a travel book that felt like a story. He sometimes changed facts to make the story better. He believed travel could help us find exciting histories.

**Swimming**

One summer, it rained a lot. I swam in the pool behind my house. The rain made bubbles in the water. I thought about swimming across Britain. I wanted to follow the rain to the sea. Swimming felt free, like walking or cycling. It helped me see the world in a new way."
CPE_67,"Text: 'CRYING Charles Darwin thought that crying had no clear purpose. He was probably wrong. Scientists now say crying is important for social reasons. Psychiatrist John Bowlby said crying helps mothers and children bond. Many people think children cry because they feel helpless. But why do adults cry? It is not easy to explain. The sound of crying is less important than seeing someone cry. Crying might have helped early humans trust each other and feel connected. We can cry for other reasons too. We might cry when we feel sorry for someone. Sometimes, we cry without wanting to, like when we hear beautiful music or speeches. We might cry during a sad movie, especially with other people. Crying seems to have a social purpose, but scientists are still studying it.'"
CPE_27,"**The Heat is On**

Global warming is making the Earth warmer. We know it will change the weather everywhere, but we are not sure how. The weather changes will affect plants, animals, water, and soil. Humans use these natural resources to grow food and build cities. Changes in these resources are important.

In the last 100 years, humans have put more gases into the air. These gases make the Earth warmer. Scientists think this is not natural and is because of human pollution. They use computers to try to predict the future weather. These predictions are not perfect, but they help us understand what might happen.

Scientists think the Earth's temperature will go up by 1°C to 3.5°C by the year 2100. The sea level might rise by 15-95 cm. There might be more heatwaves, floods, and droughts. These changes can affect where plants and animals live and how much food we can grow.

Some changes might be good. For example, in Australia, warmer weather has helped grow more wheat. But many changes might be bad. Less water might be available, especially in dry areas. The Mediterranean region is already seeing less rain in some parts.

Ice in the Arctic might melt completely. This could make it easier to transport goods by sea, but it also increases the danger from icebergs. The biggest change might be the rise in sea levels. This could cause flooding in cities like London, New York, and Tokyo. Many people might lose their homes, and some small islands might disappear completely."
