text_id,text_level,text
CPE_15,C2,"'Paying for Rubbish Some people think charging families for each bag of rubbish they make is good for the environment and makes sense with money. But it might not be. In many places, rubbish is collected for free. Families pay for this service with local taxes. But a family that makes a lot of rubbish pays the same as a couple that makes a little. More rubbish means more workers and trucks are needed, and local governments pay more for rubbish disposal. If rubbish disposal is free, people might make too much rubbish. One idea is to make families pay for each bag of rubbish. This might make them throw away less and recycle more. But two American economists, Don Fullerton and Thomas Kinnaman, found that this idea does not always work well. They studied some American towns that started charging for rubbish. The most common way is to sell stickers for rubbish bags. Only bags with stickers are collected. In Charlottesville, Virginia, people paid 80 cents for each bag. The number of bags went down by 37%, but people just put more rubbish in each bag. The weight of rubbish went down by only 14%. In other towns without this system, rubbish weight went down by 3.5% anyway. Some people also dumped rubbish illegally to avoid paying. Recycling went up by 15%, but many people were already recycling. In another study, the economists found that higher prices for rubbish stickers only reduced rubbish by a small amount. A 10% increase in price reduced rubbish by only 0.3%. People would need to buy less of everything to make a big change. Other things like income and education might also affect how much rubbish people make. Richer towns make more rubbish and have less time to recycle. Charging for rubbish is not a bad idea, but it is complicated. Simple ideas can have complex results, and sometimes they do not work as expected.'"
CPE_19,C2,"'Work Theodore Zeldin talks about how our work life could change. Do you feel respected and appreciated at work? Success in a job is not enough anymore. Many people feel their jobs are not valued or understood. Even famous people can feel unhappy. Loving your job used to be special. Now, you need to think about how your job affects you as a person. This is important. If your job makes you boring or too busy to learn new things, then money and status are not enough. I want to find out how work can help us grow as people, not just be a way to make money. Work should help us discover new talents and meet different people. But this does not mean ending unemployment. People want jobs that are interesting and useful. Work should be like art, with happy people at the center. Many jobs, like doctors and accountants, are stressful. Doctors are often more stressed than their patients. Accountants worry about their job's ethics. Architects cannot always be creative. Managers are stuck in bureaucracy. Many workers do not feel connected to their companies. In Britain, only 8% of workers feel their values match their company's values. I am studying different jobs to see how they affect people. I am looking for better ways to work. Many experts focus on making companies last longer and earn more money. But we also need to think about what makes us happy as people. How many of us feel truly alive at work? Many people feel like part-time slaves, stuck in their jobs. For example, hotel workers often have low pay and long hours. Hotels have not changed much since the past. They could be places where people from different countries meet and learn from each other. Hotel staff could do more than just simple tasks. If hotels cared more about their staff's dreams, they could offer more services. But accountants often stop this because they want to focus on making money. We need to think about work from a human angle, not just a financial one. Work is a relationship. People want to be independent and choose their jobs and colleagues. They need to talk to people from different backgrounds. Communication is important, but real conversation is more than just talking. It is about understanding and respecting each other. Every good conversation can change the world a little bit.'"
CPE_24,C2,"**Broadcasting: The Social Shaping of a Technology**
The word 'broadcasting' originally meant spreading seeds by hand. It is an agricultural idea, but also a modern one. It is about planned growth and a good harvest. This idea suggests there are seeds at the center, ready to spread. The question is why a new technology that sent words and pictures was organized like this.
Television is like the telegraph and telephone, which are two-way communication tools. But, from the start, TV was seen as a one-way 'mass' medium. Sending TV to homes from a central place fit with modern society. Other ways of organizing TV were just experiments.
In the 1930s, some people in Britain tried two-way TV, like a telephone. Magazines showed how to make TV transmitters and receivers. But in 1938, big companies set TV standards that stopped these small experiments.
In the USA, TV was first for public shows and was seen as a competitor to movies. In Britain and Germany, people watched TV in public places. The idea of two-way TV was not popular, but public TV was a real option in the 1930s.
Manufacturers wanted to sell TVs for homes. As people got more money, they wanted TVs at home for entertainment. This happened in Western countries and is now global. Broadcasting helped governments share important information and create a sense of community.
Broadcasting was also seen as good for democracy, giving people access to information. But TV is changing, and the idea of broadcasting might become outdated. This metaphor might only describe a certain time in history."
CPE_13,C2,"**Clutter**
Sometimes, it feels like no matter how many things you have, you never feel safe. It is normal to want a home that meets your needs, but sometimes wanting more things can become too much. Modern advertising is made to make us feel insecure. It tells us that if we don't have certain things, we are not good enough. To see how much you are influenced, try not to read any advertising signs next time you walk down the street. These expensive messages make us want to buy things without us even knowing it. We see them everywhere - on TV, radio, newspapers, magazines, posters, t-shirts, the internet - all telling us to buy, buy, buy.
**Caves**
Scientists and universities around the world have spent many years studying caves. They look at how caves are formed, their water, and their life. Caves are a small but interesting part of nature. They make us curious and we want to learn more about them. Because caves are natural, they have been studied for a long time, especially in places where they affect our lives. But, visiting caves can be hard, so not only professors study them. There is a mix of professional scientists and people who visit caves for fun who study them.
**Weather Watch**
Many people who watched the weather without any tools started the study of weather, called meteorology. Since the 17th century, it has become a very technical science. Satellites and electronic tools give us weather information quickly, and computers solve hard math problems very fast. Meteorology uses long words that are hard to understand for most people. But simple weather knowledge is still important. Human experience helps turn computer data into weather forecasts. People’s observations can still give special information that helps professionals understand the weather."
CPE_16,C2,"**Music and Theatre**
Not long ago, I thought opera was mainly theatre. But after working at an opera house, I learned that music is more important in opera. In theatre, the words and actors are most important. In music, the performers' skills are admired, like athletes in a sports match. Many people in the audience may not understand music technically, but they are impressed by the performers' hard work.
Theatre audiences have different expectations. They might not see acting as a special skill because it seems like something they could do. They don't usually applaud when an actor finishes a long speech, but they often ask, ""How do you learn all those lines?"" Theatre audiences and performers meet on more equal terms than in music.
Music can learn from theatre about connecting with the audience. Live music is full of emotions and can be unpredictable. But music events often feel formal, with strict dress codes and respect for conductors and soloists. Sometimes, audiences clap at the wrong time, which can interrupt the performance.
Many people are working to make music more accessible. I remember a special event, Jonathan Dove's opera ""In Search of Angels,"" where the audience moved with the performance. It was a great musical experience and changed many people's lives.
I wish music had more of the excitement and boldness of theatre. Sometimes, using unusual places for performances can surprise both performers and audiences. It might be uncomfortable, but theatre audiences are used to following artists to different places. I believe music events can change to be more exciting. I love both theatre and music and want more people to enjoy them as much as I do."
CPE_21,C2,"**Sand**
I think sand is amazing because it can become useful things like glass and concrete. But, I don't like sand on the beach. It is a problem between the car park and the sea. Sand blows in your face, gets in your food, and hides important things like car keys and coins. When you are wet, sand sticks to you and is hard to remove. But when you step on a towel, get in a car, or walk on a clean carpet, sand falls off. For days, you find sand on the floor when you take off your shoes and socks. Sand stays with you for a long time. I don't like sand.
**Lock and Key**
People have always wanted a safe home. Long ago, they used a beam behind the door. Now, we have electronic locks with many combinations. But people still like locks and keys. They feel safe with a key. Some companies tried computer locks with smart cards, but people prefer keys at home. One company made a new electronic lock with a real metal key.
**Modern Art**
I was nervous to visit the new Tate Modern gallery because I don't understand modern art. I like some things, like furry art, neon lights, and big photos. Maybe if I knew more, I would have more opinions. But art is not about understanding; it's about feeling. This idea is nice, but it doesn't work for me. The new gallery helps visitors understand art. The labels explain the art and what it means. This information helped me understand the art better."
CPE_46,C2,"**Every Picture Tells a Story**
When books are made into movies, a lot of the story is cut or changed. This can be hard for the writer, but it can also be interesting. When I worked on a movie script, I saw that I could remove a lot of the talking and details from the book and still keep the main idea. This doesn't mean the book's words were not needed. It's about how each type of story, book or movie, needs different things. In a book, we often see repeated details about characters or who is speaking, which helps us understand better. In plays, which are mostly talking, this repetition is also used but in a different way. Some modern plays use a lot of extra words that don't add much meaning, just to show people are talking.
**Watching Movies**
When we watch movies, we can feel like we are part of the movie world. It's like escaping from real life for a while. But when the movie ends, we return to the real world. In the past, some people thought movies were just for fun and not real art. Our parents and teachers often said this. They liked movies but didn't think they were important like art.
**The Film Studios**
The Leiper Film Company studios were a mix of many different buildings. It was hard to find your way around because everything looked the same. There were three main entrances, but only one led to where you wanted to go. It was confusing for new people, but not many new people came because the studio didn't want them. The people who worked there knew their way and worked together to make movies that brought excitement and adventure to people.
**Film-makers**
Many people want to make movies. There are many books and courses on how to write scripts and make films. Some competitions give out cameras like the one Robert Rodriguez used to make his first movie, El Mariachi, which was very cheap to make but made him famous. He became successful very quickly. In the past, filmmakers took longer to become successful. They worked in different jobs in the studio before making their own movies. Now, without big studios to help, new filmmakers have to be more independent."
CPE_3,C2,"'In those days, many council houses were on the west side of the city. They were small and not very nice, made of orange bricks or white stucco. In summer, a factory two miles away made the air smell bad, like sulphur. In the morning, you could see paperboys making faces because of the smell. I don't remember much from my early life, but I do remember sitting by a window and looking at the houses. I also remember my mother. She was small, always seemed angry, and I didn't know why. She liked to be alone, even in a room full of people. She wanted everything to be proper. This meant not going into neighbors' gardens and sitting quietly for a long time listening to the radio. My mother had some friends. There was Mrs. Buddery, who liked the Royal Family, Mrs. Winall, who didn't talk much, and Mrs. Laband, who was more lively. They often talked about things like bad weather and children who didn't behave. Growing up in West Earlham was the same for everyone. Until you were five, you stayed at home. After your fifth birthday, you went to Avenue Road infants school. Some kids had a mother with a bike to take them, but my mother let other kids take me. I remember summer holidays when I saw the world outside West Earlham. There was an old man who told stories about the Merchant Navy and a charity event where a woman gave out lemonade. My mother didn't like the charity because she thought they just wanted money. My mother didn't trust politicians either. She thought they were greedy. But she did care about my education. Sometimes, she took me to the Norwich Castle Museum. We looked at paintings, and once she made a joke about a Roman soldier in a painting, saying, 'Well, I wouldn't like to meet him on a dark night!' It was rare for her to make a joke.'"
CPE_10,C2,"**Philadelphia Avenue**
I walked down Philadelphia Avenue on the side with odd numbers. It was getting dark, and the air was wet and sticky. I felt like I was sneaking around. I knew this side of the street very well. Our neighbors were the Matzes and the Pritchards. There was Han Kieffer's grocery store, and the houses of the Krings and the Pottses, where my first friends, all girls, lived. I didn't know everyone by name, but each house was special to me. I remembered the little paths in the cement that took rain from the roofs to the street. I used to skate or ride my scooter over them. As the street went downhill, the houses looked a bit different. The porches were lower, and the front yards were smaller. Over the years, things changed: wooden porch railings were replaced with iron ones. Some houses became stores, and some stores, like Han Kieffer's, became homes again. I wondered how people lived in those spaces that used to be shops.
**Bachelor Fads**
Rick Gilbert is a furniture designer. He lives in a flat that used to be a curtain warehouse. The flat has big brick walls and huge doors. Curtains used to come in through these doors from trains nearby. Gilbert didn't want a big open space. He wanted separate areas for living and working. He used a big plastic sheet to make a hallway and hide his office. This way, the kitchen is in the middle, where he can cook for friends or make coffee for clients. To make the flat feel warm, he used light wood for the floors. He has modern chairs and sofas, but also some old furniture from his parents or markets.
**Bruce Chatwin**
Bruce Chatwin was a writer who loved to travel. People wonder why he traveled so much. His life and books were full of secrets and stories. His first book, ""In Patagonia,"" came out in 1977. It was a travel book that changed how people wrote about travel. It was exciting and full of imagination. Chatwin sometimes changed facts to make his stories better. He believed that through travel, you could find amazing stories from the past.
**Swimming**
One summer, it rained heavily as I ran across my lawn to the pool. I swam, watching the raindrops hit the water. When the storm got stronger, it was like the pool was meeting the sky. In the summer of 1996, I thought about swimming a long distance in Britain. I wanted to follow the rain to the sea. I was tired of swimming back and forth in a pool. Many places today are marked and explained, but swimming, walking, and cycling let us explore freely. A swimming journey would let me see the mysterious parts of our world, like dark woods or high mountains."
CPE_67,C2,"'CRYING Charles Darwin thought that crying did not have a clear purpose for humans. He was probably wrong. Scientists now say crying is important for social reasons. Psychiatrist John Bowlby said crying helps mothers and children become close. Many people think children cry because they feel helpless. But why adults cry is harder to understand. The sound of crying is less important than seeing someone cry. In early human groups, crying might have helped people trust each other and feel connected. We can cry for other reasons too. We might cry when we feel sorry for someone who is treated unfairly. Sometimes, we cry without wanting to, like when we hear beautiful music or speeches. We might cry during a sad movie, especially when we are with others. Crying seems to have a social purpose, but scientists are still studying it.'"
