text_id,text_level,text
CPE_15,C2,"**Garbage in, garbage out**
Charging families for each bag of rubbish they produce seems like a good idea for the environment and the economy. However, it may not be as effective as it seems. In many developed countries, the way we collect rubbish is similar. Rubbish bags or bins are picked up regularly by special trucks and taken to a landfill. Economists find this strange because, in most places, this service is free. Households pay for it through local taxes, but a family that produces a lot of rubbish pays the same as a couple that produces very little. 
The cost of rubbish disposal is not zero. The more rubbish people throw away, the more collectors and trucks are needed, and the more local authorities have to pay for landfills. This creates a basic economic problem: if rubbish disposal is free, people will produce too much rubbish. A possible solution is to make households pay for the disposal of their waste. This would encourage them to throw away less and recycle more, assuming local governments provide places to recycle.
However, economists Don Fullerton and Thomas Kinnaman found that this logical solution can lead to complicated and sometimes disappointing results. They studied several American towns that started charging households for rubbish. The most common method was to sell stickers or tags that residents had to attach to their rubbish bags. Only bags with these tags were picked up during collection.
In a study published last year, Fullerton and Kinnaman looked at a scheme introduced in July 1992 in Charlottesville, Virginia, a town with about 40,000 people. Residents were charged 80 cents for each tagged bag of rubbish. While this seemed like a good use of market forces, the authors concluded that the benefits of the scheme did not cover the costs of printing materials, paying sellers, and the workers running the program. 
Although the number of bags collected fell sharply by 37%, this was mainly due to a behavior called the ""Seattle stomp,"" where people crammed more rubbish into each container instead of buying more tags. This method is less efficient than using machines at landfills. The weight of rubbish collected, which is a better measure of disposal costs, only fell by 14% in Charlottesville. In 25 other Virginia cities without a pricing scheme, the weight also fell by 3.5%.
Worse still, some people chose to dump their rubbish illegally instead of paying for collection. Although it is hard to measure, the authors estimate that illegal dumping may account for 30-40% of the reduction in collected rubbish. 
On a positive note, there was a 15% increase in the weight of materials recycled, suggesting that people chose to recycle (which is free) instead of paying for rubbish removal. However, this increase may not be directly related to the fee, as many residents were already recycling voluntarily.
In a more recent study, Fullerton and Kinnaman looked deeper into the economics of rubbish. They found that charging for rubbish does reduce the amount collected, but not by much. On average, a 10% increase in sticker prices only cuts the amount of rubbish by 0.3%. This is lower than in other studies, but it makes sense. To significantly reduce rubbish, people would need to buy less of everything. A small tax on rubbish is unlikely to make a big difference.
If this is true, we should consider whether other factors, like income and education, are just as important as price. For example, richer towns tend to throw away more rubbish and have less time for recycling. 
Should we conclude that charging households for rubbish is a bad idea? Not necessarily. Free disposal is likely too cheap. However, the effects of seemingly simple policies can be complex. Detailed economic models are often needed to understand them, and sometimes the results are not what we expect."
CPE_19,C2,"**Work and Change: Theodore Zeldin's Ideas**
Theodore Zeldin explores how our work life might change in the future. Do you feel respected and appreciated in your job? Simply being successful in your career is not enough anymore. Many people in different professions feel that their work is not valued or understood. Even those who are famous often feel unhappy despite their success. 
In the past, loving your job was enough to make you feel special. Now, you need to think about how your job affects you as a person, your mind, character, and relationships. This is an important question. No matter how skilled you are, if your work makes you boring or unable to talk to others outside your field, then no amount of money or status can make up for that. 
Zeldin wants to find ways for work to focus on personal fulfillment instead of just serving industrial needs. Work should not only create wealth but also provide a meaningful life, help us discover new talents, and connect us with more people. However, changing this will not automatically solve unemployment. As more people get educated, they want jobs that are interesting and meaningful.
Even traditional professions, like doctors and accountants, are facing challenges. Doctors often feel more stressed than their patients, and accountants worry about their profession's ethics. Many architects do not get to use their creativity, and middle managers are losing their confidence. At the same time, companies and organizations are becoming smaller. 
In Britain, only 8% of employees feel that their values match those of their organizations. Zeldin is studying different jobs to see how they shape people’s lives. He is also looking at important topics like happiness, love, friendship, and respect. Now, he is focusing on finding better ways to earn a living.
Many experts work to improve the profits of companies, but we also need to think about ourselves as human beings and the kind of people we want to work with. How many of us feel truly alive at work? How many of us feel trapped in our jobs, unable to escape because of our qualifications and careers?
For example, in the hospitality industry, which employs 10% of the workforce, many talented people work in low-paying jobs with little respect. Hotels could be more than just places for travelers to sleep; they could be cultural centers where people from different backgrounds meet and connect. Hotel staff, many of whom are foreigners, often have only superficial interactions with guests. 
If hotels paid attention to their employees' ambitions, they could offer more services and create a better experience for everyone. However, they are often limited by financial concerns, focusing only on making profits. 
Zeldin believes that work is about relationships. Many people want to work in a way that allows them to express their independence. They should have the chance to design their own jobs and choose their colleagues. This requires good communication skills, which are different from traditional conversations. 
Real conversations create a bond of respect and help us understand each other better. They are important for establishing equality. Every meaningful conversation can change the world, even if just a little."
CPE_24,C2,"**BROADCASTING: The Social Shaping of a Technology**
The term 'broadcasting' originally referred to spreading seeds widely by hand. This idea is not just about farming; it also represents a hopeful view of modern progress. It suggests planned growth that can lead to a good outcome if conditions are right. The metaphor assumes there are central resources available for spreading and reproducing this growth.
We need to explore why a new technology that sends words and pictures electronically was organized in a way that fits this farming metaphor. Television, as a technology, is connected to other forms of communication like the telegraph and telephone. However, from the beginning, it was seen as a centralized 'mass' medium. This means that it was designed to send signals from a central source to private homes, which matched the social and economic structures of modern societies.
There were some lesser-known alternatives to this centralized model that are worth mentioning. In the early 1930s, radio enthusiasts in Britain experimented with two-way television as a possible replacement for regular telephones. Popular science magazines like Radio News published articles on how to build television transmitters and receivers, and many amateurs were active in this field. However, in 1938, the British Radio Manufacturers Association set standards for television equipment and channel regulations that pushed these grassroots innovators out. This marked the end of a chance for television to develop as a more democratic form of communication in Britain.
Broadcasting was not only influenced by strong economic interests but also by the deep structures of modern societies. Despite the efforts of TV amateurs, television was mainly used for public entertainment in the USA during the early 1930s and was seen as a competitor to the film industry. In fact, most people in Britain and Germany experienced television in public settings rather than at home.
The idea of grassroots or amateur two-way television was unlikely to succeed. Instead, television systems based on public viewing were operating in several countries in the 1930s. However, manufacturers recognized the potential for mass sales of home television sets once prices dropped. As working-class people improved their living standards and joined consumer society from the 1920s onward, the dream of having a fully equipped home for entertainment became a reality for many in Western countries. This trend is now happening globally.
There is a clear link between social modernization and the structures of broadcasting. As societies modernized, there was more centralization of power and capital, and traditional communities broke apart, leading to new lifestyles. People became more mobile, both socially and geographically, which made them feel more isolated compared to those in stable early communities. Centralized broadcasting helped governments reach all citizens with important information and created a sense of community within the nation-state.
However, broadcasting can also be seen positively as a social form that supports democracy. During the time between the World Wars, many countries recognized broadcasting as a way to ensure equal access to information needed for informed participation in political, social, and cultural life.
Television is changing, and there is a chance that the term broadcasting may become outdated or insufficient. If that happens, this metaphor will only refer to a specific way of organizing audio-visual technology during a certain centralized period of social modernization."
CPE_13,C2,"**Clutter**
Sometimes, it feels like no matter how many things you own, you still don’t feel secure. It is normal to want a comfortable home that meets your needs, but there comes a point when wanting more things becomes too much. Modern advertising is designed to make us feel insecure. We often hear messages like, ""If you don’t have this, you are not as good as others."" To see how much advertising affects you, try not to look at any billboards the next time you walk down the street. These expensive ads influence us in ways we don’t even notice. We see them everywhere—on TV, radio, newspapers, magazines, posters, t-shirts, and the internet—all telling us to buy more.
**Caves**
Research centers and universities around the world have spent many years studying caves, focusing on their origins, water systems, and living things. Caves are a small but interesting part of nature that makes us curious and eager to learn more. Because they are natural features, they have been studied for a long time, especially in places where caves affect our lives. However, visiting many caves requires physical skill, so cave research is often done by both scientists and amateur explorers who visit caves for fun.
**Weather Watch**
Many observant people, using only their senses, helped create the field of meteorology, which has developed into a complex science since the 17th century. Today, satellites and electronic tools provide us with quick weather information, and computers can solve complicated math problems much faster than humans. Meteorology uses many technical terms that can be hard to understand for non-professionals. However, human experience is still very important in turning data into weather forecasts. Personal observations can offer valuable insights that help professionals understand the mysteries of the atmosphere."
CPE_16,C2,"**MUSIC AND THEATRE**
Until recently, I believed that opera was mainly about theatre. However, after working at a national opera house, I learned that opera is primarily about music, and theatre comes second. This makes sense, but I come from the world of theatre, where the words and the actors are the most important. In theatre, once the performance starts, there is no one directing the action, and the performers and the audience usually speak the same language.
At any musical performance, whether in a concert hall or an opera house, there are many people, like me, who do not have a deep understanding of music. Some may feel embarrassed about their lack of knowledge, while most are amazed by the talent of the musicians. A skilled singer or a great string section is easy to admire. Even a good musician shows us the results of years of hard work. Watching top-class music is similar to watching an athletics event; we know athletes are doing something similar to what we do when we run for a bus, but we also see how much better they are.
Theatre audiences have different expectations. They often do not understand the skills of actors and may not be impressed by performances that seem similar to what they could do themselves. They usually do not ask how actors remember their lines, even after a long and difficult speech. This does not mean that theatre audiences are less demanding than music audiences; in fact, many people enjoy both. It suggests that audiences and performers are on more equal ground in theatre than in music, regardless of how challenging the material is.
The question is whether music can learn anything from theatre about this relationship. I believe it can, especially because I have seen how a different approach can improve the experience for concert-goers. Live music is very theatrical, filled with passion, humor, sadness, and intimacy. It can connect with the audience's imagination, both individually and as a group. However, the traditional ways of presenting music, such as strict dress codes and showing great respect for conductors and soloists, create a clear divide between performers and listeners, which can feel uncomfortable.
On the other hand, contemporary music audiences sometimes interrupt performances by applauding between movements or after impressive pieces. While this is often a genuine expression of appreciation, it can disrupt the flow of the entire performance. 
Is there a solution? Yes, a lot is being done to attract new audiences to concert halls and opera houses and to break down the barriers that make people feel that ""serious"" music is not for them. I remember a wonderful event, the community opera ""In Search of Angels,"" which took place in different locations within a cathedral and then moved into the town. It was a high-quality musical experience where the skills and generosity of the professional musicians were central, and it changed many audience members' lives, as they were not just there to watch and listen but also to participate.
What I hope for in music is a bit more of the excitement and boldness that the best theatre can show. This can come from using unusual or challenging locations that disrupt normal expectations. This can create surprising effects for both performers and audiences. Sometimes, this means giving up comfort; the sound might not be perfect, or it could be a bit cold, but theatre audiences have learned to be brave as they follow artists into unexpected places.
I know that most plays are performed in a traditional way, similar to concerts. However, I believe that something should change in how we experience music. I can only speak as a fan: I love theatre and spend as much time and money as I can enjoying music. I want both to thrive and for more people to experience the joy I feel as an audience member."
CPE_21,C2,"**Sand**  
I admire how sand can be changed into useful things like glass and concrete, but I don’t really like it in its natural form. To me, sand is mostly a problem that gets in the way between a parking lot and the sea. It blows into your face, gets into your food, and can hide important things like car keys and coins. When you are wet, sand sticks to you and is hard to remove, even with a strong hose. However, the strange thing is that as soon as you step onto a beach towel, get into a car, or walk on a clean carpet, the sand falls off you. For days, you will find sand on the floor every time you take off your shoes, and even more when you take off your socks. Sand seems to stay with you longer than some illnesses. So, I would prefer to avoid sand.
**Lock and Key**  
The need for a safe home, privacy, and security has been important since people first built houses. The simple lock on a door has changed to electronic locks that use plastic cards with many combinations. However, people still want to keep out the “bad guys.” The idea of a lock and key is partly about feeling safe. Recently, some companies have tried using computerized locks that work with smart cards. But many people do not like these systems. You might accept them at work, but at home, everyone prefers the comfort of using a real key. Because of this, when a locksmith company created a new electronic lock, they made sure to include a traditional metal key.
**Modern Art**  
I felt nervous about visiting the new Tate Modern gallery because, like many people, I find modern art confusing. I do enjoy some pieces, especially furry objects, neon light sculptures, and large photographs. Maybe if I knew more about modern art, I would have stronger opinions. However, art is not just about understanding; it’s about how it makes you feel. This idea is great, but it hasn’t worked for me in the past. The new gallery tries to help visitors understand the art better. The first thing I noticed was the labels that explain the artwork and its meaning. Instead of just looking at the pictures without understanding, these helpful labels made it easier for me to appreciate the art."
CPE_46,C2,"**Every Picture Tells a Story**
Adapting novels into films usually means reducing, condensing, and removing parts of the story. This can be frustrating for writers, but it can also be enlightening. While working on a script, I realized that I could remove a lot of dialogue and descriptions from a scene in the novel and still convey the same message. This does not mean that the original dialogue and descriptions were unnecessary. It is about how each medium captures the audience's attention and the type of repetition they use.
In a novel, repetition can include reminding readers of a character's traits or using speech tags like ""he said."" A character's trait only needs to be described once, but reminders help readers understand better. In dialogue, we can often guess who is speaking from the context, but speech tags make it easier to read. Stage plays mostly consist of speech and often imitate real conversations, sometimes to the point where the dialogue seems repetitive and does not clearly communicate anything.
**Watching Movies**
When watching movies, people can feel completely absorbed in the film's world. It is an experience that takes them away from reality, at least for the duration of the film. However, when the lights come back on, the experience ends, and they return to the real world. People often do not feel responsible for the time spent watching the film, and this sense of unreality can make it hard to take movies seriously. Many from older generations, including our teachers, did not see movies as art but rather as ""mere entertainment."" They enjoyed being entertained but did not value films as an art form.
**The Film Studios**
The Leiper Film Company studios were made up of many different buildings. The layout was confusing, with only a few recognizable places like the Script Department. Most rooms looked the same and were used for both official and unofficial meetings. It was hard to find a specific room without help. The studio had three main entrances, but none provided clear guidance for newcomers. Most people who worked there knew their way around, and it was assumed that they could navigate the confusing space. Thanks to their teamwork, stories of romance and adventure could reach audiences everywhere, allowing couples like Jane and George or Sally and Dick to escape their everyday lives for a few hours.
**Film-Makers**
It seems that almost everyone wants to make a movie. Bookstores are filled with guides on scriptwriting and film production, and many universities offer related courses. There are even competitions that give away cameras like the one Robert Rodriguez used to make his film *El Mariachi*, which cost $7,000 and launched his career as an independent director. Rodriguez reflects on his early success, noting that he felt pressure to make his breakthrough film before he turned 26, just like famous directors Orson Welles and Steven Spielberg did.
In the past, when studios were in control, filmmakers were expected to take their time to develop their skills. They often worked behind the scenes as editors, writers, or cinematographers before directing their own films. For example, John Huston was 35 when he made his first film, *The Maltese Falcon*, and Fred Zinnemann, who directed *High Noon*, found success in his forties. Today, without the support of studios or television, aspiring filmmakers often have to go their own way."
CPE_3,C2,"In the past, the council houses were spread all over the western side of the city. They were rows of small, old homes made of orange brick or pale white plaster. In the summer, the smell of chemicals from a nearby factory filled the air, making it unpleasant to be outside. One common sight in that part of Norwich in the morning was a paperboy making a face as he walked along someone’s front path. I have forgotten much of my early life, but I remember sitting near an upstairs window and looking at the houses in the distance. 
I also have memories of my mother, who was ironing towels in a house that I don’t think was ours, and of snow falling on a big mansion at Earlham. My mother appears in these early memories, and I remember her as a small, precise woman who was often angry. I never understood why she was angry, so I couldn’t do anything to make it better. Even as a child, when I went with her to small shops or into the city, I sensed that she was a very lonely person, feeling alone even in a crowded room. 
My mother had strict ideas about how to behave, which were not common in our neighborhood. This sometimes led to intense cleaning sessions or her telling me to ""behave properly."" I found it hard to understand her rules. For example, it meant not walking into neighbors' gardens or risking their rose bushes when walking down the street. It also meant sitting quietly at the dining table for long periods, listening to radio shows she liked. There were many rules like this.
Over time, I noticed other people in our lives. Despite her loneliness, my mother had a few friends. There was Mrs. Buddery, who loved the Royal Family, Mrs. Winall, who rarely spoke, and Mrs. Laband, who was more lively but not always approved of by the others. Looking back, I realize they were not great company. They often talked about their bad legs, the cold weather, and ungrateful children, a group I often felt I belonged to.
I felt a heavy weight from the houses, my mother, her friends, and the pressure to ""behave properly."" It felt like my job to grow up and free myself from this weight, but it was not easy. Growing up in West Earlham followed a clear pattern. Until you were five, you stayed at home and bothered your parents. I remember long, boring days playing on a rug while my mother sat in a chair, cold and distant. Then, after your fifth birthday, you went to Avenue Road infants school, half a mile away. Some lucky kids had mothers with bikes, but mine usually let me walk with other children.
If I remember anything from those early years, it’s the summer holidays. During those days, I caught glimpses of the world outside West Earlham. There was an old man next door to Mrs. Buddery who told stories about his time in the Merchant Navy. Once, there was a charity event at a house far away where a kind woman offered lemonade and tried to get me interested in something called the League of Pity, a junior charity. My mother dismissed it, saying the organizers were just trying to take our money. She often talked about how people were only interested in money, and she had a very low opinion of politicians.
I might be exaggerating or ignoring her good qualities, but my mother did not show much kindness. However, she was aware of her role in my education. Sometimes, she would take me on the bus to the Norwich Castle Museum. We would walk through rooms filled with paintings. My mother didn’t mind this outing and even started to have opinions about the art. I remember her stopping in front of a painting of a Roman soldier and joking, ""Well, I wouldn't like to meet him on a dark night!"" This was one of the few times I remember her trying to make a joke."
CPE_10,C2,"**Philadelphia Avenue**
I walked down the odd-numbered side of Philadelphia Avenue. The evening was getting darker, and the air was humid with a light drizzle that made my walk feel secretive. I knew this side of the street very well; I remembered our neighbors, the Matzes and the Pritchards, Han Kieffer's grocery store, and the houses of my first friends, all girls. Even though I didn’t know everyone by name, each house was clear in my memory, just like the small channels in the sidewalk that carried rainwater from the roofs to the street. As I walked, I noticed that the houses changed; the porches became lower, and the front yards got smaller. 
Over the years, things changed: wooden porch railings were replaced with iron ones that looked a bit Southern or Spanish. In Shillington, some houses I remembered as homes turned into stores, and strangely, some stores, like Pep Conrad's and Han Kieffer's, became homes again. I wondered how the people living there used those spaces and how they dealt with the smells of the products that used to be sold there.
**Bachelor Fads Furniture Designer Rick Gilbert**
Rick Gilbert lives in a flat that used to be a curtain warehouse. It has the typical features of a loft, like exposed brick walls and large doors that used to let in curtains from the nearby train tracks. However, Gilbert did not want a completely open space. He found it hard to relax or work when everything was visible. To create some separation, he used a large piece of corrugated plastic to divide the entrance area. This not only hid his office but also created a hallway and led the eye to the kitchen in the middle of the flat. He wanted the kitchen to be a neutral space where he could cook for friends or make coffee for clients. 
To balance the modern look of the plastic and stainless steel kitchen, Gilbert chose light wood for the floors. His flat is filled with modern chairs and sofas, but it also has sentimental furniture from his parents or things he bought at markets.
**Bruce Chatwin**
Bruce Chatwin's life was a mix of adventure and mystery, making it hard to understand whether he was escaping or exploring. He was a talented and unique writer, known for his first book, *In Patagonia*, published in 1977. This book changed travel writing; it was exciting like a thriller, romantic like fiction, and insightful like great literature. However, even in this book, Chatwin mixed facts with fiction. He often changed details to make stories more interesting or to highlight deeper meanings, suggesting that travel could reveal hidden histories meant to inspire future explorers.
**Swimming**
During a warm summer rain, I quickly ran across my lawn and jumped into the pool. As I swam, I kept my eyes just above the water. Each raindrop created little splashes that turned into bubbles. The best moments were when the rain got heavier, drowning out the sound of birds and creating a mist over the pool, as if the water was rising to meet the sky. 
In the summer of 1996, while enjoying this rain, I began to think about swimming across Britain. I wanted to follow the rain as it traveled to the sea, escaping the frustration of swimming back and forth in the same place. Many of us live in a world where everything is labeled and explained, which makes reality feel less real. This is why activities like walking, cycling, and swimming are so important; they help us reconnect with the wild and old parts of our world by getting off the usual paths and discovering things for ourselves. A swimming journey would let me explore the mysterious parts of our world, like dark forests or high mountains."
CPE_67,C2,"**Crying**
Charles Darwin believed that crying did not have a clear purpose in human evolution. However, recent studies suggest he was likely wrong. Scientists, including psychiatrist John Bowlby, have shown that crying plays an important role in building the bond between a mother and her child. Many people think that tears, especially in children, mainly show feelings of helplessness. 
Understanding why adults cry is more complicated. The sound of crying is less important than the visual message it sends. In early human communities, crying may have helped create trust and connections among people. 
There are many reasons why we cry. We might cry to show sympathy for someone facing injustice. Sometimes, we cry without meaning to, like when we hear beautiful music or inspiring speeches. We are also more likely to cry when watching a touching movie with others than when we are alone. The social role of crying is clear, but research on this topic is still ongoing."
