text_id,text
CPE_15,"**Simplified Text:**

**Garbage and Costs**

In many places, families throw away garbage, and it is often free for them. They pay for garbage collection through local taxes. But this is not fair. A big family with a lot of garbage pays the same as a small family with little garbage. 

When people throw away more garbage, it costs more to collect it. More trucks and workers are needed. If garbage collection is free, people will throw away too much. A good idea is to make families pay for the garbage they throw away. This can help them recycle more and throw away less.

Some towns in America have tried this. They sell stickers that families put on their garbage bags. Only bags with stickers are picked up. In one town, Charlottesville, people paid 80 cents for each sticker. 

At first, it seemed to work. The number of garbage bags went down by 37%. But people found a way to fit more garbage into each bag. They jumped on the bags to make them smaller. This is not a good way to reduce garbage. 

In another study, it was found that charging for garbage did reduce the amount of garbage, but not by much. For example, if the sticker price goes up by 10%, the amount of garbage only goes down by 0.3%. 

People in richer towns throw away more garbage than in poorer towns. They also have less time to recycle. 

So, charging families for garbage is not a bad idea, but it is not a simple solution. The effects of these rules can be complicated."
CPE_19,"**Work and Life**

Theodore Zeldin talks about how our work life can change. Do you feel respected and appreciated at your job? Success is not enough anymore. Many people feel their work is not valued. Even famous people can feel unhappy. 

Loving your job used to be enough, but now you should think about how your job affects you. Does it help you grow as a person? If your job makes you boring or too busy, then money and status will not make you happy. 

Zeldin wants to find ways for work to be more fulfilling. Work should not just be about making money. It should help us live better lives and meet new people. But, changing work will not end unemployment. More educated people want jobs that are interesting and helpful.

Even jobs that used to be good, like doctors and architects, can be stressful. Many workers feel unhappy and do not connect with their jobs. In Britain, only 8 out of 100 workers feel their values match their company’s values.

Zeldin is studying different jobs to see how they affect people. He wants to find better ways to earn a living. Many experts focus on making companies richer, but we also need to think about ourselves as people. 

How many of us feel truly alive at work? Some people feel like they are stuck in their jobs, even if they can leave. For example, many hotel workers are smart and lively but have low pay and long hours. Hotels could be more than just places to sleep. They could be places where people from different countries meet and share experiences.

Hotel workers could use their skills to make hotels better. If hotels listened to their workers' dreams, they could offer more services. But often, they only focus on making money.

Zeldin believes work is about relationships. Many people want to feel free at work. They should be able to create their own jobs and choose their coworkers. This means they need to learn to talk to people from different backgrounds.

Good communication is important, but it is not the same as real conversation. Real conversation helps us understand each other better and creates respect. When we have these conversations, we can change the world, even a little bit."
CPE_24,"**BROADCASTING: How Technology Affects Society**

The word 'broadcasting' comes from farming. It means to spread seeds widely. This idea is about growing things in a big way and getting a good harvest. Broadcasting needs a central place to send out information, like seeds from a bucket.

We need to think about why a new technology that sends words and pictures was set up like this. Television is connected to other ways to communicate, like the telegraph and telephone. But from the start, television was made to send information to many people from one central place. This fit well with how society was changing at that time.

There were some other ideas about how to use television. In the 1930s, some people in Britain tried to make two-way television, like a video phone. They wrote articles in science magazines about how to build television machines. Many people tried to experiment with this. But big companies took over and made rules that pushed these small inventors out. This was a missed chance for television to be a more equal way for people to communicate.

In the early 1930s, television was mostly watched in public places, not at home. In Britain and Germany, many people saw television together in groups. The idea of small, two-way television was not successful. Instead, companies wanted to sell television sets for homes. As people had more money in the 1920s, they wanted their homes to have entertainment. This is now happening all over the world.

There is a link between how society changes and how broadcasting works. As society modernized, power and money became more concentrated. People moved around more, which made them feel more alone compared to earlier times when communities were stable. Centralized broadcasting helped governments share important information with everyone. It also helped create a sense of community in the nation.

Broadcasting became the main way to share information through radio and television. However, there is also a positive side to broadcasting. It can help democracy by giving everyone access to important information. 

Television is changing now, and the word 'broadcasting' might not fit anymore. It may only refer to a specific way of sharing information during a certain time in history."
CPE_13,"**Clutter**

Sometimes, it feels like no matter how many things you have, you still do not feel safe. It is normal to want a home that is good for you. But sometimes, we want too many things. Advertisements make us feel like we need more. They tell us that if we do not have certain things, we are not good enough. 

Next time you walk down the street, try not to look at any ads. They are everywhere: on TV, radio, newspapers, magazines, posters, t-shirts, and the internet. They all tell us to buy more things.

**Caves**

Many scientists study caves. They want to know where caves come from, how water moves in them, and what lives in them. Caves are interesting and make us curious. Many people study caves because they are important in nature. 

However, visiting caves can be hard. This means that many people who study caves are not just scientists but also people who visit caves for fun.

**Weather Watch**

A long time ago, people started to study the weather just by watching. Now, we have many tools like satellites and computers to help us understand the weather. These tools give us a lot of information very quickly. 

Sometimes, the words used to talk about the weather are very hard to understand. But our own experiences are still very important. What we see and feel helps scientists make weather forecasts."
CPE_16,"**MUSIC AND THEATRE**

I used to think that opera is mainly theatre. Now, I think it is more about music. I worked at a national opera house and learned that music is the most important part. I come from the world of theatre, where words and actors are very important. In theatre, the audience and the actors usually understand each other well.

At music performances, like concerts or operas, many people do not know much about music. Some feel embarrassed about this. Most people admire the musicians' skills. Even a good musician has worked very hard to get better. Watching great musicians is like watching athletes. We know running for a bus is similar, but athletes are much better.

Theatre audiences have different expectations. They do not always understand how hard acting is. They may not be impressed when an actor says a long speech. People often ask actors, ""How do you learn all those lines?"" This does not mean theatre audiences are less demanding than music audiences. Many people enjoy both.

I think music can learn from theatre. I have seen how a different approach can make concerts better. Live music is very emotional and can connect with the audience. However, music performances often have strict rules, like dress codes, which can make the audience feel less important.

Sometimes, music audiences clap between songs, which can interrupt the performance. This is often a way to show appreciation, but it can also disturb the flow of the music.

Many people are working to bring new audiences to concerts and operas. They want to show that ""serious"" music is for everyone. I remember a special event called ""In Search of Angels."" It took place in a cathedral and outside in the town. It was a great musical experience, and many audience members felt they were part of it.

I wish music could be more exciting and different, like the best theatre. Sometimes, using unusual places for performances can create amazing experiences for both performers and audiences. It might be uncomfortable, but theatre audiences are often brave and willing to try new things.

I know that many plays are still performed in traditional ways, but I believe music performances can change too. I love both theatre and music, and I want more people to enjoy them like I do."
CPE_21,"**Sand**  
I think sand is not very nice. It can be useful for making things like glass and concrete, but I don’t like it at the beach. Sand gets in my face, my food, and can even hide my keys and coins. When I am wet, sand sticks to me and is hard to wash off. But when I step on a towel or walk on a clean floor, the sand falls off easily. Even days later, I find sand in my shoes and socks. I don’t want sand around me.

**Lock and Key**  
People have always wanted a safe home. A long time ago, they used simple locks. Now, we have electronic locks that use cards. But many people still like to use a real key. They feel safer with a key in their hand. One company made a new electronic lock, but they also added a real metal key. 

**Modern Art**  
I was nervous to visit the new Tate Modern gallery because I don’t understand modern art. I like some art, like furry things and bright lights, but I wish I knew more. The important thing is to enjoy the art, not to write about it like in school. This gallery helps visitors understand the art better. They have good labels that explain what the art means. Now, I can understand the art more than before."
CPE_46,"**Every Picture Tells a Story**

Making movies from books is not easy. It often means taking away parts of the story. This can be hard for the writer, but it can also help them see things in a new way. When I wrote a script, I saw that I could remove a lot of words and still tell the same story. This does not mean the words in the book were not important. It is just different for movies and books. In a book, we often repeat things to help the reader remember. In a movie, we can see who is talking without always saying ""he said"" or ""she said."" 

**Watching Movies**

When we watch movies, we can feel like we are in another world. For a little while, we forget about our real lives. But when the movie ends, we come back to reality. Some people think movies are just for fun and not real art. Many older people, like our parents and teachers, did not think movies were important. They liked to be entertained, but they did not see movies as art.

**The Film Studios**

The Leiper Film Company studios had many buildings. It was hard to find your way around. There were three main doors, but they all looked the same. It was confusing for new people. But most people who worked there knew where to go. Because of their hard work, people could enjoy stories of love and adventure in movies. 

**Film-Makers**

Many people want to make movies. There are many books and classes about how to do it. Some people even win cameras to help them make their films. Robert Rodriguez made a movie called El Mariachi for $7,000 and became famous. He wrote about how he wanted to make a great film before he turned 26. 

In the past, it took longer for people to make movies. They worked in different jobs first, like editing or writing. John Huston was 35 when he made his first film. Now, many new film-makers have to do it on their own without help from big studios."
CPE_3,"In the past, there were many council houses on the west side of the city. These houses were small and not very nice. In summer, there was a bad smell from a factory nearby. In the morning, a paperboy often looked unhappy as he walked to deliver papers. I don’t remember much from my early life, but I do remember sitting by a window and looking at the houses far away. I also remember my mother. She was small and often angry. I didn’t understand why she was angry, so I couldn’t make her feel better.

My mother liked to go to small shops. She was a very lonely person, even in a room full of people. She had strict rules about how to behave. For example, we should not go into our neighbors' gardens or touch their flowers. We had to sit quietly at the dining table and listen to the radio. There were many rules, and I didn’t understand them.

My mother had some friends. There was Mrs. Buddery, who loved the Royal Family, Mrs. Winall, who didn’t say much, and Mrs. Laband, who was more lively. They often talked about their problems, like bad legs and cold weather. I felt like I was part of their talks, even when I didn’t want to be.

Growing up in West Earlham was not easy. When I was little, I stayed at home until I was five. I remember playing on the floor while my mother sat in a chair, looking unhappy. After I turned five, I went to school half a mile away. Some kids had mothers who rode bikes, but my mother let other kids take care of me on the way.

I remember summer holidays when I saw a little of the world outside West Earlham. There was an old man next door who told stories about his life at sea. One time, there was a charity event where a kind woman gave out lemonade. She wanted me to join a group to help others, but my mother said no because she thought they just wanted money.

My mother often talked about how people wanted money. She didn’t like politicians at all. She thought they were dishonest. I might be too hard on her, but she didn’t show much kindness.

Sometimes, my mother took me to the Norwich Castle Museum on Sundays. We would go on the bus, and I had to wear my best clothes. We looked at paintings together. My mother didn’t mind this, and she even made a joke once about a painting of a Roman soldier. It was a rare moment of fun with her."
CPE_10,"**Philadelphia Avenue**

I walked down Philadelphia Avenue on the odd side of the street. It was getting dark, and the air was wet and cool. I knew this street well. I remembered my neighbors, the Matzes and the Pritchards, and Han Kieffer's grocery store. I also remembered the Krings and the Pottses, where my first friends, all girls, lived. 

The houses on this street were special to me. I noticed small things, like the little channels in the cement that took rainwater from the roofs to the street. I liked to ride my roller skates and scooter there. As the street went down, the houses looked different. The porches were lower, and the yards were smaller. 

Over the years, things changed. Some wooden parts of the houses were replaced with iron. Some houses became stores, and some stores became homes again. I wondered how people lived in these places that used to be stores.

Rick Gilbert is a furniture designer. He lives in a flat that used to be a curtain warehouse. His flat has big doors and brick walls. He did not want his flat to be empty. He wanted to have separate spaces for living and working. He used a big piece of plastic to make a hallway and hide his office. He wanted his kitchen to be a place where he could cook for friends or make coffee for clients. 

He chose light wood for the floors and mixed modern chairs with old furniture from his parents or markets.

**Bruce Chatwin**

Bruce Chatwin was a writer who loved to travel. His life was full of secrets and stories. He wrote a famous book called *In Patagonia* in 1977. This book changed travel writing. It was exciting and full of imagination. 

Chatwin sometimes changed facts in his stories to make them better. He believed that traveling could help people discover new histories and adventures.

**Swimming**

One summer day, it rained a lot. I ran across my lawn and jumped into the pool. I swam back and forth, watching the raindrops make bubbles in the water. The best part was when the rain got stronger, and I could not hear the birds anymore. 

During this time, I thought about swimming across Britain. I wanted to follow the rain to the sea. I felt tired of swimming in the same place, like a tiger in a cage. 

Many places today have signs and labels. This makes the world feel less real. Walking, cycling, and swimming help us feel free and discover the wild parts of our world. A swimming journey would let me see the mysterious parts of nature."
CPE_67,"**Crying**

Charles Darwin thought that crying did not have a clear purpose. But now, scientists think differently. They say crying is important for social connections, especially between mothers and their children. Many people believe that children cry because they feel helpless.

It is harder to understand why adults cry. The sound of crying is not as important as what we see when someone cries. In the past, crying may have helped people trust each other and feel close.

People cry for different reasons. We might cry when we feel sad for someone who is treated unfairly. Sometimes, we cry without meaning to when we hear beautiful music or see a touching speech. We may also cry when we watch a sad movie, and this happens more when we are with other people than when we are alone.

Crying is important in social situations, and scientists are still studying it."
