text_id,text
CPE_15,"**Simplified Text: 'Garbage in, garbage out'**

Charging families for each bag of rubbish they produce seems like a good idea for the environment and for saving money. However, it may not be. Many aspects of modern life are similar in developed countries, including how rubbish is collected. Rubbish bags or bins are picked up regularly by special trucks and taken to a landfill. Economists find this strange because, in many places, this service is free. Households pay for it through local taxes, but a family that throws away four bins of rubbish each week pays the same as an elderly couple that only throws away one bin. However, rubbish disposal is not free. The more rubbish people throw away, the more rubbish collectors and trucks are needed, and the more local authorities have to pay for landfills. This creates a basic economic problem: if rubbish disposal is free, people will produce too much rubbish. 

One solution is to make households pay for the cost of disposing of their waste. This would encourage them to throw away less and recycle more, assuming local governments provide places to collect recyclable materials. However, economists Don Fullerton and Thomas Kinnaman found that what seems like a logical solution can have complicated and sometimes disappointing results. They studied several American towns and cities that have started charging households for rubbish. The most common method is to sell stickers or tags that people attach to their rubbish bags or cans. Only bags with these labels are picked up during the weekly collection.

In a paper published last year, Fullerton and Kinnaman focused on a scheme introduced in July 1992 in Charlottesville, Virginia, a town of about 40,000 people. Residents were charged 80 cents for each tagged bag of rubbish. This may seem like a good use of market forces. However, the authors concluded that the benefits of the scheme did not cover the costs of printing materials, paying sellers, and the wages of the people running the scheme. 

True, the number of bags or cans collected fell sharply by 37%. But this was mainly because people started cramming more garbage—about 40% more—into each container, a behavior first noticed in Seattle when it introduced rubbish pricing. People jumped on their bags to fit more in. However, machines at landfills can compact rubbish better than individuals can. The weight of rubbish collected, which is a better measure of disposal costs than volume, fell by only 14% in Charlottesville. In 25 other Virginian cities without a pricing scheme, the weight of rubbish also fell by 3.5%.

Worse still, some people chose to dump their rubbish illegally instead of paying for collection. This is hard to measure, but the authors estimate that illegal dumping may account for 30-40% of the reduction in collected rubbish. The only positive outcome seems to be a 15% increase in the weight of materials recycled, suggesting that people chose to recycle (which is free) instead of paying to have their rubbish taken away. However, this increase may not be directly related to the fee, as many residents were already recycling through a voluntary program in Charlottesville.

In a more recent study, Fullerton and Kinnaman looked at rubbish economics in more detail. One conclusion is that pricing does reduce the weight of rubbish, but not by much. On average, a 10% increase in sticker prices only reduces rubbish by 0.3%. This figure is lower than in other studies, but is it surprising? To significantly reduce rubbish, people would need to buy less of almost everything. A small tax on rubbish is unlikely to make a big difference. 

If this is true, we should consider whether other factors, like income and education, are just as important as price. For example, in richer towns, people throw away more rubbish than in poorer ones, and they have less time to recycle. Should we say that charging households for rubbish is a bad idea? Not necessarily: free disposal is probably too cheap. But the effects of simple policies can be complex. Detailed economic models are often needed to understand them, and sometimes the results are not pleasant."
CPE_19,"**Simplified Text:**

Theodore Zeldin discusses how our work life could change. Do you feel respected and appreciated in your job? Success in a career is not enough anymore. Many professions feel they are not valued or understood, and even famous people often feel unhappy despite their success. Loving your job used to be enough to be part of a lucky few, but now you need to think about how your job affects you as a person, your mind, character, and relationships. This question is very important. No matter how skilled you are, if your work makes you boring or unable to talk to others outside your field, then no amount of status or money can make up for that. 

I want to find out how work can focus on personal fulfillment instead of just serving industrial needs. Work should not only create wealth but also be a meaningful part of life, helping us discover new talents and connect with more people. However, changing this will not eliminate unemployment. This is too simple because as more people get educated, they want jobs that are interesting and meaningful. We should see a lifetime of work as a work of art, with the fulfilled person at its center. 

Even middle-class jobs, like doctors and accountants, are not as appealing as they used to be. Doctors often feel more stressed than their patients, and accountants worry about their profession's ethics. Many architects do not get to use their creativity, and administrators are stuck in their own rules. Middle managers, who once felt proud of their status, are losing their confidence. At the same time, companies and public institutions are getting smaller. Efforts to improve decision-making and rewards have not made employees feel more committed. In Britain, only 8% of employees feel their values match those of their organizations.

I am studying different jobs to see how they shape or harm people. I have looked at what humans can achieve in different cultures and how courage can be developed. I am now focusing on finding better ways to earn a living. There are many experts trying to help companies make more money, but we also need to understand ourselves as human beings and figure out what kind of people we want to work with. 

How many of us feel truly alive at work? How many of us feel like part-time slaves, thinking we can leave our boring jobs but feeling trapped by our qualifications and careers? For example, hotel workers make up 10% of the workforce. Many smart and lively people work in hotels for low pay and long hours because the idea of what a hotel is has not changed much since the Ritz in the 19th century. A hotel is not just a place to sleep; it is a small version of the United Nations where people from all over the world meet, often without talking to each other. 

Many hotel staff are foreigners who want to learn a new language and culture, but they have only shallow interactions with guests. Hotels could be cultural centers that connect guests with the city and each other. Hotel owners could use the knowledge of their many student employees instead of giving them only simple tasks. If they listened to their staff's true ambitions, they would see that hotels could offer many more services. However, they are often limited by accountants who say companies should focus on one main activity to make the most profit. 

It is time to rethink what this means from a human perspective, not just a financial one. For me, work is about relationships. Many people now want work that allows them to be independent and express themselves. They should have the chance to design their own jobs and choose their colleagues and customers, as long as it is practical and profitable. This means they need to learn to communicate across different professional languages and connect with people who may seem very different at first. 

Everyone knows communication is important, but it is different from real conversation. Traditional conversation is not the same as the new kind of conversation that people feel is missing today. This new conversation is more personal and creates a bond of respect between people. It helps us understand each other better and can change us. It is more than just relaxing; it is a powerful way to create equality. Every time we have a meaningful conversation, we change the world a little bit."
CPE_24,"**Text: 'BROADCASTING: The Social Shaping of a Technology'**

The term 'broadcasting' originally referred to the act of spreading seeds widely by hand. This idea is not just about farming; it also represents a hopeful view of modern progress. It suggests planned growth and the potential for a good outcome if conditions are right. The metaphor assumes that there are central resources available for spreading and reproducing this growth.

We need to explore why a new technology that sends words and pictures electronically was organized in a way that fits this farming metaphor. Although television is connected to two-way communication methods like the telegraph and telephone, it was designed from the beginning as a centralized 'mass' medium. This means that it was set up to send signals from a central point to private homes, which matched the social and economic structures of modern societies.

There were attempts to create different forms of television, but these remained just experiments. Two lesser-known alternatives are worth mentioning because they show what television could have been in a different social setting. In the early 1930s, radio enthusiasts in Britain experimented with two-way television as a possible replacement for regular telephones. Popular science magazines like Radio News published articles on how to build television transmitters and receivers, and many amateurs were active in this field.

However, in 1938, the British Radio Manufacturers Association established standards for television equipment and channel regulations, which pushed these grassroots innovators out of the picture. This marked the end of a chance for television to develop as a more democratic form of communication in Britain.

Broadcasting was not only influenced by strong economic interests but also by the deep structures of modern societies. Despite the efforts of TV amateurs, television was mainly used for public exhibitions in the USA during the early 1930s and was seen as a potential competitor to the film industry. In fact, throughout the 1930s, most people watched television in public places, especially in Britain and Germany.

The idea of grassroots or amateur two-way television was unlikely to succeed, while systems based on public viewing were operating in several countries during the 1930s. These systems could have challenged the idea of television as a private home entertainment medium, but this challenge did not happen. Manufacturers recognized the potential for mass sales of home television sets once prices dropped. As working-class people improved their living standards and joined consumer society from the 1920s onward, the dream of having a fully equipped home for entertainment became a reality for many in Western countries. This trend is now happening globally.

There is a clear link between social modernization and the structures of broadcasting. As societies modernized, there was more centralization of power and capital, and traditional communities broke apart, leading to new lifestyles. People became more mobile, both socially and geographically, which made them feel more isolated compared to those in stable early communities.

Centralized broadcasting was a way for governments to efficiently reach all citizens with important information and helped create a sense of community within the nation-state. The widespread nature of these processes made broadcasting the dominant form for both radio and television.

However, it is important to also consider the positive view of broadcasting as a tool for democracy. During the time between the World Wars, many countries recognized broadcasting as a way to ensure equal access to information necessary for informed participation in political, social, and cultural life.

Television is changing, and there is a risk that the term broadcasting may become outdated or insufficient. If this happens, the term will only refer to a specific way of organizing audio-visual technology during a certain centralized period of social modernization."
CPE_13,"**Simplified Text:**

**Clutter**  
Sometimes, it feels like no matter how many things you own, you never feel secure. It is normal to want a comfortable home that meets your needs, but there comes a point when wanting more things becomes too much. Modern advertising is designed to make us feel insecure. One common message is that if you don’t have certain products, you are not as good as others. To see how much advertising affects you, try not to look at any billboards the next time you walk down the street. We are constantly surrounded by advertisements on television, radio, newspapers, magazines, posters, t-shirts, and the internet, all telling us to buy more.

**Caves**  
Research centers and universities around the world have spent many years studying caves, focusing on their origins, water systems, and living things. Caves are a small but interesting part of nature that makes us curious and eager to learn more. Because they are natural features, caves have been studied for a long time, especially in places where they impact our lives. However, visiting many caves requires physical ability, so cave research often involves both scientists and amateur explorers who visit caves for fun.

**Weather Watch**  
Many careful observers without special tools started the study of weather, which has developed into a complex science since the 17th century. Today, satellites and electronic devices provide us with a lot of weather information quickly, and computers can solve complicated math problems much faster than humans. Meteorology uses many technical terms that can be hard to understand for most people. However, human experience is still very important in turning data into weather forecasts. Observations made by people can give valuable information that helps professionals understand the mysteries of the atmosphere."
CPE_16,"**MUSIC AND THEATRE**

Until recently, I believed that opera is mainly theatre. Now, I think differently. After working at a national opera house, I learned that opera is primarily about music, and theatre comes second. This is how it should be. However, I come from the world of theatre, where the words and the actors are the most important. In theatre, once the performance starts, there is no one directing the action, and the performers and audience usually speak the same language.

At any musical performance, whether in a concert hall or an opera house, there are many people who, like me, do not have a deep understanding of music. Some may feel embarrassed about what they don’t know, while most are amazed by the talent of the performers. A brilliant singer or a skilled string section is easy to admire. Even a good musician shows us the results of years of hard work. Watching top-class music is similar to watching an athletics match. We know athletes are doing something similar to what we do when we run for a bus, but we also see how much better they are.

Theatre audiences have different expectations. They often do not understand the skills of an actor and may not be impressed by an actor delivering a long and difficult speech. They often ask, “How do you learn all those lines?” This does not mean that theatre audiences are less demanding than concert audiences; many of them are the same people. However, in theatre, audiences and performers meet on more equal terms, regardless of how challenging the material is.

The question is, does music need to learn anything from theatre about this relationship? I believe it does. I have seen how a different approach can improve the experience for concert-goers. Live music is very theatrical, full of emotions like passion, humor, sadness, and intimacy. It can also be unpredictable, reaching into the imagination of the audience as a group. 

The rules that still dominate music performances, such as strict dress codes and showing great respect for conductors and soloists, create a clear difference between performers and listeners, which can feel uncomfortable. On the other hand, when contemporary music audiences applaud between movements or after a brilliant piece, it can be a spontaneous way to show appreciation, but it can also disrupt the flow of the performance.

Is there anything that can be done? Yes, a lot is being done. Many projects are encouraging new audiences to attend concerts and operas, breaking down the barriers that make people feel that “serious” music is not for them. I remember a special event, the community opera *In Search of Angels*, which took place in different locations within a cathedral and then moved into the town. It was a wonderful musical experience, where the skills and generosity of the professional musicians were very important, and it changed many audience members' lives, as they were not just there to watch and listen but also to participate.

What I hope for in music is a bit more of the excitement and boldness that the best theatre can show. Sometimes this can come from using unusual or challenging locations, where normal expectations are changed. This can have surprising effects on both performers and audiences. People may have to give up some comforts; the sound might not be perfect, or it could be a bit cold, but theatre audiences have learned to be brave as they follow artists into unexpected places.

I know that most plays are performed in a traditional way, similar to concerts. However, I believe that something should change in how we experience music. I can only speak as a fan: I love theatre and spend as much time (and money) as I can enjoying music. I want both to succeed and for more people to experience the joy I feel as an audience member."
CPE_21,"**Text:**

**Sand**  
I admire how sand can be changed into useful things like glass and concrete, but I do not like it in its natural form. To me, sand is mostly a barrier that stands between a seaside parking lot and the water. It blows in your face, gets into your food, and can hide important items like car keys and coins. When you are wet, it sticks to you and is hard to remove, even with a strong hose. However, the strange thing is that as soon as you step onto a beach towel, get into a car, or walk on a clean carpet, it falls off you easily. For days after, you find sand on the floor every time you take off your shoes, and even more when you take off your socks. Sand stays with you longer than many illnesses. So, I would prefer to avoid sand.

**Lock and Key**  
The search for a safe home, privacy, and security has existed since people first built homes. The simple lock on a door has changed to electronic locks that use plastic cards with many combinations. However, people still want to keep out the ""bad guys."" The idea of a lock and key is partly psychological. Recently, some companies have tried computerized locking systems that use smart cards to control electronic locks. But many people do not like these systems. You might accept them at work, but at home, everyone wants the comfort of using a real key. Because of this, when a locksmith company created a new electronic system, they made sure to include a real metal key.

**Modern Art**  
I was nervous about visiting the new Tate Modern gallery because, like many people, I find modern art confusing. I know I like some of it, especially furry things, neon light sculptures, and large photographs. Maybe if I knew more about it, I would have stronger opinions. However, the goal is not to understand art completely, but to let it speak to you. This is a nice idea, but it has not worked for me in the past. This new gallery tries to give visitors real insight into the reasons behind the artworks. The first thing I noticed was the labels, which provided context and explained what the art was trying to express. Instead of staring at the pictures without understanding, these pieces of information helped me to comprehend the art better."
CPE_46,"**Every Picture Tells a Story**

**Adapting Novels for Film**

Turning novels into films often means cutting down the story. This can be frustrating for writers, but it can also be enlightening. While working on a script, I realized that I could remove a lot of dialogue and descriptions from a scene in the novel and still convey the same message. This does not mean that the original dialogue and descriptions were unnecessary. It is about how each medium engages the audience and the type of repetition it uses. 

In a novel, repetition can include reminding readers of a character's traits or using phrases like ""he said."" A character's trait only needs to be described once, but reminding readers helps them understand better. Usually, we can tell who is speaking in a dialogue scene from the context, but speech tags make it easier to read. 

Stage plays mostly consist of dialogue and often mimic real speech, sometimes using a lot of unnecessary language just to keep the conversation going, which can make it hard to understand the main message.

**Watching Movies**

When watching movies, people can feel like they are part of the story. It is an experience that takes them away from reality, at least for the duration of the film. However, once the movie ends and the lights come on, that feeling disappears, and they return to the real world. People often do not feel guilty about the time spent watching a film, and this escape from reality can make it hard to take movies seriously. Many from older generations, including our teachers, did not see movies as art but just as entertainment. They enjoyed being entertained but did not value films as an art form.

**The Film Studios**

The Leiper Film Company studios were made up of many different buildings. The layout was confusing, with only a few recognizable places like the Script Department. Most of the rooms looked the same and were used for both official and unofficial meetings. Finding a specific room without help was quite a challenge. 

The studio had three main entrances, which made it even more confusing for newcomers. None of the entrances had a place to ask for directions. However, there were not many strangers around, as the studio did not encourage visitors. It was assumed that the employees knew their way around. Thanks to their hard work, stories of romance and adventure would reach audiences everywhere. Couples like Jane and George, or Sally and Dick, could escape their everyday problems for at least three hours thanks to the studio's efforts.

**Film-Makers**

Many people want to make movies. Bookstores are filled with guides on scriptwriting and film production. Popular universities offer courses, and there are competitions that give away cameras like the one Robert Rodriguez used to make his film *El Mariachi*, which cost $7,000 and launched his career as an independent director. Rodriguez achieved his dreams early. On his 23rd birthday, he wrote about how Orson Welles made *Citizen Kane* at 25 and Spielberg made *Jaws* at 26, thinking he had only a few years left to make his big film.

In the past, when studios were in charge, film-makers were expected to take their time to learn the craft. They often worked behind the scenes as editors, writers, or cinematographers, starting with low-budget films. John Huston was 35 when he made his first film, *The Maltese Falcon*, and Fred Zinnemann, who directed *High Noon*, found success in his forties. Today, without the support of studios or television, new film-makers often have to work independently."
CPE_3,"Text: 'In those days, the council houses were all over the western side of the city. There were many rows of small, old houses made of orange brick or pale white stucco. In summer, the chemicals from the May and Baker factory, which was two miles away, created a strange smell of sulphur around the doors and gardens. The most common sight in that part of Norwich early in the morning was a paperboy making a face of disgust as he walked down someone’s front path. I have forgotten most of my early life, but I remember sitting near an upstairs window and looking at the houses as they disappeared into the distance. Later, I have memories of faces I cannot name, my mother ironing towels in a house that I don’t think was ours, and snow falling on the turrets of a big mansion at Earlham. It is not surprising that my mother appears in these early memories. I remember her as a small, precise, and often angry woman. I never understood why she was angry, so I could not do anything to make her feel better. Even as a child, when I went with her to the small shops in Bunnett Square or on longer trips into the city, I sensed that her personality was unusual. She was the most solitary person I have ever known, feeling alone in a room full of people. She also had a strong sense of propriety that was not common in the West Earlham estate. This sometimes led to intense spring-cleanings or strict rules about how to behave. I never fully understood her moral code, which included not going into neighbors' gardens or damaging their rose bushes while walking down the street. It meant sitting quietly for long periods in a silent dining room, with my hands folded, listening to radio programs that my mother liked. There were many rules and restrictions. Over time, other figures appeared in these strict early memories. Despite her solitude, my mother had some friends. There was Mrs. Buddery, who was obsessed with the Royal Family, Mrs. Winall, who rarely spoke except to agree with others, and Mrs. Laband, who was more lively and not always approved of by the others. Later, I realized that this trio was not good company; they often talked about their bad legs, the cold weather, and ungrateful children, a group I often felt I belonged to. Looking back, it felt like a heavy weight made of the West Earlham houses, my mother, her friends, and the pressure to 'behave properly' was on my shoulders, and I felt it was my duty to grow up and free myself from it. This was not easy. Growing up in West Earlham followed a clear pattern. Until you were five, you stayed at home and got in your parents' way. I remember long, boring days when I was about four, playing on a rug in the front room while my mother sat coldly in an armchair. Then, in September after your fifth birthday, you went to Avenue Road infants school, which was half a mile away. The lucky few had a mother with a rickety bike and a child seat. I think my mother let me go with other children in the street for this journey. If I remember anything from these early years, it is the summer holidays, when I caught glimpses of the world outside West Earlham: a vague old man next to Mrs. Buddery who told stories about his time in the Merchant Navy; a charity fair held at a house far away where a kind woman gave out lemonade and tried to get me interested in something called the League of Pity, a kind of junior charity. My mother dismissed this idea, saying the organizers were 'only after your money.' My mother often talked about people having mercenary motives, and she had the deepest contempt for politicians. If she thought of the House of Commons, she imagined it as a fancy post office where rich people opened letters filled with five-pound notes sent by gullible people. I might be exaggerating. I might overlook her good qualities and focus on her flaws. But there was little kindness in my mother; it seemed to have been taken away. To be fair, she was aware of her role in my education. Sometimes, on Sundays, she would take me in my 'good clothes' on the 85 bus to the Norwich Castle Museum. Hand-in-hand, we would walk through rooms filled with paintings by the Norwich School of Artists. My mother did not completely dislike this activity and eventually began to have opinions about the art. I remember her stopping in front of a painting of a Roman soldier in full battle gear and saying, 'Well, I wouldn't like to meet him on a dark night!' This was one of the few times I remember my mother trying to make a joke.'"
CPE_10,"**Text: Philadelphia Avenue**

I walked down Philadelphia Avenue on the odd-numbered side. The evening was getting darker, and the air was humid with a light drizzle that made my walk feel secretive. I knew this side of the street very well; I remembered our neighbors, the Matzes and the Pritchards, Han Kieffer's grocery store, and the houses of my first playmates, all girls. Although I didn’t know everyone by name, each house was as familiar to me as the small troughs in the sidewalk that carried rainwater from the roofs to the street, which I often skated over on my roller skates or scooter. 

As the street sloped down, I noticed that the houses changed too: the porches became lower, and the front yards got smaller. Over the years, things changed: wooden porch railings were replaced with iron ones in a Southern or Spanish style. In Shillington, some houses I remembered as homes had turned into stores, and strangely, some stores, like Pep Conrad's and Han Kieffer's, had become homes again. I wondered how the people used those spaces and how they lived with the smells of the products that used to be sold there.

**Bachelor Fads Furniture Designer Rick Gilbert**

Rick Gilbert lives in a flat that used to be a curtain warehouse. It has the typical features of a loft, like exposed brick walls and large doors that used to let in curtains from the nearby railway. However, Gilbert did not want a completely open space. He found it hard to work when his living area was so close. To create a separate area near the entrance, he used a large piece of corrugated plastic. This helped hide his office, created a hallway, and led to the kitchen in the middle of the flat. He wanted the kitchen to be a neutral space where he could cook for friends or make coffee for clients. 

To balance the modern look of his plastic screen and stainless steel kitchen, Gilbert chose light wood for the floors. His flat is filled with modern chairs and sofas, but it also has sentimental furniture given to him by his parents or found at markets.

**Bruce Chatwin**

Bruce Chatwin was a unique and talented writer known for his adventurous life. His first book, *In Patagonia*, published in 1977, changed travel writing. It reads like a thrilling story, with the charm of romantic fiction and deep insights. However, even in this book, Chatwin mixed facts with fiction; he often changed details to make his stories more interesting or to highlight the themes of travel and discovery. He suggested that through travel, we can uncover hidden histories that are meant to inspire future explorers.

**Swimming**

During a warm summer rain, I quickly crossed the lawn behind my house and jumped into the pool. As I swam breaststroke, I kept my eyes just above the water. Each raindrop created a small splash that turned into bubbles. The best moments were when the rain got heavier, drowning out the birdsong, and steam rose from the water as if the pool was meeting the sky. 

In the summer of 1996, while enjoying this rain, I began to think about swimming across Britain. I wanted to follow the rain as it traveled to the sea, escaping the frustration of swimming back and forth in a pool, like a tiger pacing in a cage. 

Many of us live in a world where everything is labeled and explained. This makes our reality feel more like a visual experience. That’s why walking, cycling, and swimming are important; they help us reconnect with the wild and old parts of our world by getting off the main paths and discovering things for ourselves. A swimming journey would let me explore the mysterious parts of our world, like dark forests or high mountains."
CPE_67,"**Crying**

Charles Darwin believed that crying did not have a clear purpose in human evolution. However, he was likely wrong. Recently, scientists have shown that crying has social importance. Psychiatrist John Bowlby emphasized how crying helps create a bond between a mother and her child. Many people think that tears, especially in children, mainly show feelings of helplessness. 

Understanding why adults cry is more difficult. It appears that the sound of crying is less important than the visual message it sends. Crying may have helped early human groups by building trust and social connections. 

There are many reasons why we cry. We might cry to show sympathy for people facing great injustice. Sometimes, we cry without meaning to, which can be embarrassing, when we hear touching music or speeches. We may also cry while watching a sad movie, and interestingly, this happens more often when we are with others than when we are alone. The social role of crying seems clear, but research is still ongoing."
