text_id,text_level,text
CPE_15,C2,"
**Garbage and Costs**
Charging families for each bag of garbage they throw away sounds good for the environment and makes sense for money. But it may not be true. In many places, garbage collection is free. Families pay for this service through local taxes. A family that throws away a lot of garbage pays the same as a couple that throws away a little. But garbage disposal costs money. The more garbage people throw away, the more trucks and workers are needed. 
If garbage disposal is free, people will throw away too much garbage. A solution is to make families pay for the garbage they throw away. This can make them recycle more. Some American towns have started charging families for their garbage. They sell stickers that families put on their garbage bags. Only bags with these stickers are picked up.
In one town, Charlottesville, Virginia, families paid 80 cents for each sticker. This seemed like a good idea. But the study showed that the costs of the program were higher than the money made from stickers. The number of garbage bags did go down by 37%. But many people just put more garbage in each bag instead of buying more stickers. 
The weight of garbage collected only went down by 14%. In other towns without a charging system, the weight of garbage also went down a little. Some people even dumped their garbage illegally instead of paying for it. This illegal dumping might be a big part of the reason for less garbage collected.
One good thing was that recycling went up by 15%. This means people chose to recycle instead of paying to throw away their garbage. But many people were already recycling before the new charges.
A later study showed that charging for garbage does reduce the amount of garbage, but not by much. If prices go up by 10%, the amount of garbage only goes down by 0.3%. This is not a big change. To throw away much less garbage, people would need to buy less of everything. A small charge for garbage is not likely to change much.
In richer towns, people throw away more garbage than in poorer towns. They also have less time to recycle. So, charging families for garbage may not be a bad idea. But the effects of these policies can be complicated. Sometimes, it is hard to understand what will happen."
CPE_19,C2,"
Theodore Zeldin talks about how work can change. Do you feel respected and appreciated at your job? Success is not enough anymore. Many people feel their work is not valued. Even famous people can feel unhappy. Loving your job used to be special, but now you should think about how your job affects you as a person. This is important. If your job makes you boring or too busy to think or be creative, then money and status will not make you happy.
I want to find out how work can help us feel fulfilled. Work should not just be about making money; it should help us live better lives and meet new people. But changing work will not end unemployment. Many educated people want jobs that are interesting and helpful.
Even jobs that used to be good, like being a doctor or an architect, can be stressful. Many workers feel unhappy and do not connect with their companies. In Britain, only 8% of workers feel their values match their company’s values.
I am studying different jobs to see how they affect people. I want to understand happiness, love, friendship, and respect. I am looking for better ways to earn a living. We need to think about who we are as people, not just about money.
Many hotel workers are very smart but have low pay and long hours. Hotels could be more than just places to sleep. They could be places where people from different countries meet and share experiences. Hotel workers could help guests learn about the city and each other. 
But hotels often focus only on making money. It is time to think about work in a new way. Work is about relationships. Many people want to feel independent at work. They should be able to choose their jobs and coworkers. 
Good communication is important, but it is not the same as real conversation. Real conversation helps us understand each other better and creates respect. When we have these conversations, we can change the world little by little. 
**Questions:**
1. Who is Theodore Zeldin?
2. What does Zeldin think about success at work?
3. Why is it important to think about how work affects us?
4. What do many hotel workers want?
5. How can hotels be better places for people?"
CPE_24,C2,"Broadcasting**
Broadcasting means sending information, like words and pictures, to many people. The word ""broadcast"" comes from farming. It means to spread seeds widely. This idea is about growing and sharing things with many people.
When television was first made, it was thought of as a way to send information from one place to many homes. This was because of how society was changing. People wanted to get news and entertainment easily. 
In the 1930s, some people in Britain tried to make two-way television, like a video phone. They wanted to talk to each other using TV. Many people were excited and wrote about it in magazines. But big companies took control and made rules for TV. This made it hard for regular people to use their ideas.
In the USA, TV was mostly watched in public places, not at home. People went to see TV shows together. In Britain and Germany, many people also watched TV in public. 
As time went on, more people could buy TVs for their homes. This was because they had more money to spend. Families wanted to have fun and enjoy different shows at home. 
Broadcasting became a way for governments to share important news with everyone. It helped create a sense of community in the country. 
Today, broadcasting is changing again. New technology is making it different from before. The way we think about broadcasting might change too."
CPE_13,C2,"
**Clutter**  
Sometimes, it feels like no matter how many things you have, you still do not feel safe. It is normal to want a home that is good for you, but sometimes we want too many things. Advertisements make us feel like we need more things. They tell us that if we do not have certain things, we are not good enough. Next time you walk down the street, try not to look at any ads. There are many ads everywhere: on TV, radio, newspapers, magazines, posters, t-shirts, and the internet. They all want us to buy more things.
**Caves**  
Many scientists study caves. They want to know where caves come from, how water works in caves, and what lives in them. Caves are interesting and make us curious. Many people study caves because they are important in nature. However, it can be hard to visit some caves, so many people who study caves are not just scientists but also people who visit caves for fun.
**Weather Watch**  
A long time ago, people started to study the weather just by watching it. Now, we have many tools like satellites and computers to help us understand the weather. These tools give us a lot of information very quickly. Sometimes, the words used to talk about the weather are very hard to understand. But our own experiences are still very important for making weather forecasts. What we see and feel can help scientists understand the weather better. 
---
**Questions:**
1. What do advertisements make us feel we need?
2. What do scientists study about caves?
3. How did people study the weather a long time ago?
4. What tools do we use today to help us understand the weather?
5. Why are our own experiences important for weather forecasts?"
CPE_16,C2,"**MUSIC AND THEATRE**
I used to think that opera is mainly theatre. Now, I think it is more about music. I worked at a national opera house and learned that music is the most important part. I come from the world of theatre, where words and actors are very important. In theatre, the audience and the performers usually speak the same language.
At music performances, like concerts or operas, many people do not know much about music. Some feel embarrassed about this. Most people admire the performers. A good musician works very hard for many years. Watching great music is like watching a sports match. We know how to run, but we see that athletes are much better than us.
Theatre audiences have different expectations. They do not always understand how hard acting is. They may not be impressed when an actor says a long speech. People often ask actors, ""How do you remember all those lines?"" This does not mean that theatre audiences are easier or harder to please than music audiences. Many people enjoy both.
I think music can learn from theatre. A different approach can make the concert experience better. Live music is full of feelings and can connect with the audience. However, music performances often have strict rules, like dress codes, which can make the audience feel separate from the performers.
Sometimes, music audiences clap between songs, which can interrupt the performance. This is a way to show appreciation, but it can also break the flow of the music. 
Many people are working to bring new audiences to concerts and operas. They want to show that ""serious"" music is for everyone. I remember a special event called In Search of Angels. It took place in a cathedral and outside in the town. It was a great musical experience, and many audience members felt changed by it.
I wish music could be more like theatre, which can be exciting and different. Sometimes, using unusual places for performances can surprise both performers and audiences. It may not be comfortable, but theatre audiences are often brave and willing to try new things.
I know that many plays are done in a normal way, like concerts. But I believe we can change how people experience music. I love theatre and music, and I want more people to enjoy them too."
CPE_21,C2,"**Text:**
**Sand**  
I think sand is not very nice. It can be useful for making things like glass and concrete, but I don’t like it at the beach. Sand gets in my face and my food. It can hide important things like car keys and coins. When I am wet, sand sticks to me and is hard to wash off. But when I step on a towel or walk in a car, the sand falls off easily. Even after that, I find sand in my shoes and socks for days. I do not want sand!
**Lock and Key**  
People have always wanted a safe home. A long time ago, they used simple locks. Now, we have electronic locks that use cards. But many people still like to use a real key. They feel safer with a key. One company made a new electronic lock, but they also added a real metal key.
**Modern Art**  
I was nervous to visit the new Tate Modern gallery because I do not understand modern art. I like some art, like furry things and bright lights. I wish I knew more about it. The important thing is to enjoy the art, not to study it like a school essay. The gallery helps visitors understand the art better. They have good labels that explain what the art means. Now, I can understand the pictures more than before."
CPE_46,C2,"
**Every Picture Tells a Story**
Making movies from books often means cutting parts of the story. This can be hard for the writer, but it can also help them see things in a new way. When I worked on a movie script, I saw that I could remove a lot of the dialogue and descriptions from the book and still tell the same story. This does not mean the original words were not important. In books, some details are repeated to help readers remember characters. In movies, we can often tell who is speaking by how the scene looks and sounds, but names like ""he said"" help us understand better.
**Watching Movies**
When we watch movies, we can feel like we are part of the story. It takes us away from our everyday lives for a while. But when the movie ends, we go back to reality. Some people think movies are just for fun and not real art. Many older people, like our parents and teachers, enjoyed movies but did not see them as art.
**The Film Studios**
The Leiper Film Company studios had many different buildings. It was hard to find your way around because there were many small rooms that looked the same. There were three main entrances, but none of them helped you find your way easily. Most people who worked there knew how to get around, but it was confusing for new visitors. The workers helped create stories of love and adventure for people to enjoy.
**Film-Makers**
Many people want to make movies. There are many books about how to write scripts and make films. Some universities offer classes on this. There are also contests where you can win cameras to make your own films. Robert Rodriguez made a famous movie called El Mariachi for only $7,000. He became a well-known director quickly. He wrote in his book that he wanted to make a great film before he turned 26, like other famous directors did when they were young.
In the past, it took longer for directors to start making movies. They often worked in other jobs first, like editing or writing. For example, John Huston was 35 when he made his first film. Now, many new film-makers have to work alone without big studios to help them. 
---
**Questions:**
1. What does making movies from books often mean?
2. How do movies make us feel when we watch them?
3. How many main entrances did the Leiper Film Company studios have?
4. Who is Robert Rodriguez?
5. How old was John Huston when he made his first film?"
CPE_3,C2,"
In the past, there were many council houses on the west side of the city. These houses were small and not very nice. In summer, there was a bad smell from a factory nearby. In the morning, a paperboy often looked unhappy as he walked to deliver papers. I don’t remember much from my early life, but I do remember sitting by a window and looking at the houses far away. I also remember my mother. She was small and often angry. I didn’t understand why she was angry, so I couldn’t make her feel better. 
When I went with her to small shops or around the city, I noticed she was very alone, even in a crowd. She cared a lot about rules and how to behave. She often cleaned the house and told me to ""behave properly."" I didn’t understand her rules. They meant not going into neighbors' gardens and sitting quietly at the dinner table. 
My mother had some friends. There was Mrs. Buddery, who loved the Royal Family, Mrs. Winall, who didn’t say much, and Mrs. Laband, who was more lively. They talked about their problems, like bad legs and cold weather. I often felt like I was part of their talks about ungrateful children. 
Looking back, it felt like a heavy weight was on me, and I needed to grow up and get away from it. Growing up in West Earlham was very routine. Until I was five, I stayed at home. I remember long days playing on the floor while my mother sat in a chair. After I turned five, I went to school half a mile away. Some kids had mothers who rode bikes, but my mother let me go with other children.
I remember summer holidays when I saw a little of the world outside West Earlham. There was an old man next door who told stories about his life at sea. One time, there was a charity event where a kind woman gave out lemonade. She wanted me to join a group to help others, but my mother said no because she thought they just wanted money. My mother often talked about how people wanted money, and she didn’t like politicians.
My mother did care about my education. Sometimes, she took me to the Norwich Castle Museum on the bus. We looked at paintings together. My mother didn’t mind this, and she even started to have opinions about the art. I remember one time she saw a painting of a Roman soldier and said, ""I wouldn’t want to meet him at night!"" This was one of the few times she tried to make a joke. 
**Questions:**
1. Where were the council houses located?
2. What did the paperboy do in the morning?
3. How did the mother feel most of the time?
4. Who were the mother's friends?
5. What did the mother think about the charity event?"
CPE_10,C2,"Philadelphia Avenue**
I walked down Philadelphia Avenue on the odd side of the street. It was getting dark, and the air felt wet and sticky. I knew this street well. I remembered my neighbors, the Matzes and the Pritchards, and Han Kieffer's grocery store. I played with girls who lived in the Kring's and the Pottses' houses.
The houses were different. Some were nice, and some were not as nice. Over the years, things changed. Some houses became stores, and some stores became homes. I wondered how people lived in these places.
**Bachelor Fads Furniture**
Rick Gilbert lives in a flat that used to be a curtain warehouse. His flat has big doors and brick walls. He did not want an empty space. He wanted to separate his living area from his work area. He used a big piece of plastic to make a hallway and hide his office. He wanted his kitchen to be a place where he could cook for friends or make coffee for clients. He put light wood on the floor and mixed modern furniture with old furniture from his parents.
**Bruce Chatwin**
Bruce Chatwin was a writer who loved to travel. His life was full of secrets and stories. His first book, *In Patagonia*, came out in 1977. It was a special travel book that told exciting stories. Sometimes, he changed facts to make his stories better. He believed that traveling could help people learn about history.
**Swimming**
One summer day, it rained a lot. I ran to the pool in my backyard. I swam and watched the raindrops make bubbles in the water. The best part was when the rain got stronger, and the sound of birds went away. That summer, I thought about swimming across Britain. I wanted to follow the rain to the sea. I felt tired of swimming in the same place. 
Many places today have signs and labels. This makes things feel less real. Walking, cycling, and swimming help us feel free and discover new things. A swimming journey would let me see parts of the world that are still mysterious."
CPE_67,C2,"CRYING**
Charles Darwin thought that crying did not have a clear purpose. He was probably wrong. Scientists now say that crying is important for social reasons. For example, psychiatrist John Bowlby said that crying helps mothers and children bond. Many people think that children cry because they feel helpless.
It is harder to understand why adults cry. The sound of crying is not as important as what we see when someone cries. In early human groups, crying may have helped people trust each other and feel close.
People cry for different reasons. We may cry when we feel sad for someone who is treated unfairly. Sometimes, we cry when we hear beautiful music or see a touching speech. We might also cry when we watch a sad movie, especially when we are with other people. 
Crying is important in social situations, and scientists are still studying it."
