text_id,text_level,text
CPE_15,C2,"
**Garbage in, garbage out**
Charging families for each bag of rubbish they produce seems like a good idea for the environment and the economy. However, it may not be as effective as it seems. In many developed countries, the way we collect rubbish is similar: at regular times, garbage bags or bins are taken away by a special truck to a landfill. Economists find this strange because, in most places, this service is free. Households pay for it through local taxes, but a family that produces a lot of rubbish pays the same as an elderly couple who produces very little. However, the cost of rubbish disposal is not zero. The more rubbish people throw away, the more collectors and trucks are needed, and the more local authorities have to pay for landfills.
This creates a basic economic problem: if rubbish disposal is free, people will produce too much rubbish. A common solution is to make households pay for the disposal of their waste. This would encourage them to throw away less and recycle more, assuming local governments provide places to collect recyclable materials.
However, economists Don Fullerton and Thomas Kinnaman found that what seems like a logical solution can lead to complicated and sometimes disappointing results. They studied several American towns that started charging households for rubbish. The most common method was to sell stickers or tags that residents had to attach to their rubbish bags. Only bags with these tags would be collected each week.
In a study published last year, Fullerton and Kinnaman looked at a scheme introduced in July 1992 in Charlottesville, Virginia, a town with about 40,000 people. Residents were charged 80 cents for each tagged bag of rubbish. While this seems like a good use of market forces, the authors concluded that the benefits of the scheme did not cover the costs of printing materials, paying sellers, and the wages of those running the program. 
Although the number of bags collected fell sharply by 37%, this was mainly due to a behavior called the ""Seattle stomp,"" where people crammed more rubbish into each container instead of buying more tags. This method of compacting rubbish is less efficient than using machines at landfills. The weight of rubbish collected in Charlottesville fell by only 14%, which is a better measure of disposal costs than volume. In 25 other Virginian cities without a pricing scheme, the weight of rubbish also fell by 3.5%.
Worse still, some people chose to dump their rubbish illegally instead of paying for collection. Although it is hard to measure, the authors estimate that illegal dumping may account for 30-40% of the reduction in collected rubbish. 
On a positive note, there was a 15% increase in the weight of materials recycled, suggesting that people preferred to recycle (which is free) rather than pay for rubbish removal. However, this increase may not be directly related to the fee, as many residents were already part of Charlottesville's voluntary recycling program.
In a more recent study, Fullerton and Kinnaman looked deeper into the economics of rubbish. They found that while pricing does reduce the amount of rubbish, the effect is small. On average, a 10% increase in sticker prices only reduces rubbish by 0.3%. This is less than in other studies, but it makes sense. To significantly reduce rubbish, people would need to buy less of almost everything. A small tax on garbage is unlikely to make a big difference.
If this is true, we should consider whether other factors, like income and education, are just as important as price. For example, in wealthier towns, people tend to throw away more rubbish and have less time to recycle.
Should we conclude that charging households for rubbish is a bad idea? Not necessarily; free disposal is likely too cheap. However, the effects of seemingly simple policies can be complex. Detailed economic models are often needed to understand them, and sometimes the results are not pleasant."
CPE_19,C2,"
Theodore Zeldin explores how our work life might change. Do you feel respected and valued in your job? Success in a career is no longer enough. Many professions feel they are not appreciated or understood, and even famous individuals often feel bitterness despite their success. Loving your work used to be enough to be part of a respected group, but now you must consider how your job affects you as a person, your mind, character, and relationships. This question is very important. No matter how skilled you are, if your work makes you boring or unable to connect with others outside your field, then no amount of status or money can make up for your lack of personal fulfillment.
I am trying to find ways for work to focus on personal fulfillment instead of just serving industrial needs. Work should not only create wealth but also provide a meaningful lifestyle, help us discover hidden talents, and allow for diverse human connections. However, this change will not eliminate unemployment. As more people get educated, they seek jobs that are interesting and enriching.
A lifetime of work should be seen as a work of art, with the fulfilled individual at its center. Even middle-class jobs, like those of doctors, accountants, and architects, no longer have the appeal they once did. Doctors often feel more stressed than their patients, accountants worry about ethics, and architects rarely get to use their creativity. Middle managers, who once felt proud of their status, are losing their confidence. Meanwhile, the companies and institutions they work for are shrinking. Efforts to decentralize decision-making and improve skills have not succeeded in gaining employee commitment. In Britain, only 8% of employees feel their values match those of their organizations.
I have started to investigate various occupations to see how they shape or harm individuals. I have looked at how different cultures have expanded the idea of human potential and how courage can be developed. I have focused on important issues like happiness, love, friendship, and respect. Now, I am concentrating on finding more satisfying ways to earn a living. Many experts focus on increasing the profits of companies, but we also need to examine ourselves as human beings and consider what kind of people we want to work with.
How many of us feel truly alive at work? How many are like part-time slaves, feeling trapped by our qualifications and careers, working not to improve ourselves but because we see no other choice? For example, 10% of the workforce is in the hospitality industry. Many intelligent and lively people endure low pay and long hours because the concept of a hotel has not changed much since the days of the Ritz. A hotel is not just a place for travelers to sleep; it is a small version of the United Nations. People from around the world meet in hotels, but they often do not interact.
Many hotel staff are foreigners eager to learn new languages and cultures, yet they have only superficial interactions with guests. Hotels could become cultural centers, connecting guests with the city and each other. Hotel managers could utilize the knowledge of their student employees instead of assigning them only basic tasks. If they paid attention to their staff's true ambitions, they would see many other services hotels could offer. However, they are often limited by accountants who advise focusing on one main activity to maximize profits. 
It is time to rethink what this means from a human perspective, not just a financial one. For me, work is about relationships. Many people now want work that allows for independence and personal expression. They should have the opportunity to design their own jobs and choose their colleagues and customers, within practical limits. This requires the ability to communicate across different professional languages and connect with people who may seem very different at first.
Everyone understands the importance of communication, but true conversation is different. Traditional conversation is not the same as the new kind of conversation that people feel is missing today. This new conversation is more personal and creates a bond of respect between participants. It allows for a deeper understanding of one another and can change both people involved. It is more than just relaxation; it is a powerful way to establish equality. Every meaningful conversation we have can change the world, even if just a little."
CPE_24,C2,"Broadcasting: The Social Shaping of a Technology**
The term 'broadcasting' originally referred to the act of spreading seeds widely by hand. This idea is not just about farming; it also represents a hopeful view of modern progress. It suggests planned growth that can lead to a fruitful outcome if conditions are favorable. The metaphor implies that there are central resources available for spreading and reproducing this growth.
We need to explore why a new technology that sends words and images electronically was organized in a way that fits this agricultural metaphor. Although television is linked to two-way communication methods like the telegraph and telephone, it was designed from the beginning as a centralized 'mass' medium. This means that it was set up to send signals from a central source to private homes, which matched the social and economic structures of modern societies.
There were attempts to create different forms of television, but these remained just experiments. Two lesser-known alternatives are worth mentioning because they show what television could have been in a different social setting. In the early 1930s, radio enthusiasts in Britain experimented with two-way television as a possible substitute for regular telephones. Popular science magazines like Radio News published articles on how to build television transmitters and receivers, and many amateur experimenters were active across the country. However, in 1938, the British Radio Manufacturers Association established standards for television equipment and channel regulations that pushed these grassroots innovators out of the picture. This marked the end of a potential counter-cultural development of television as a widely accessible and egalitarian form of communication.
Broadcasting was not only influenced by strong economic interests but also by the fundamental structures of modern societies. Despite the efforts of TV amateurs, television in the early 1930s was mainly a medium for public entertainment in the USA and was often seen as a competitor to the film industry. In fact, during the 1930s, most people experienced television in public spaces, especially in Britain and Germany.
While the idea of amateur, two-way television was unlikely to succeed, systems based on collective public viewing were operating in several countries during the 1930s. These systems could have posed a greater challenge to the domestic use of television, but this threat did not materialize. Manufacturers recognized the potential for mass sales of home television sets once prices dropped. Given the separation between public and private life that is characteristic of modernity, centralized broadcasting to a wide domestic audience was the most suitable way to organize the medium.
As working-class people improved their living standards and joined consumer society from the 1920s onward, the dream of the home as a center for entertainment and cultural experiences became a reality for many in Western countries. This trend is now occurring on a global scale. There is a clear link between social modernization and the dominant structures of broadcasting. While social and economic changes led to greater centralization of power and capital, the breakdown of traditional communities created new lifestyles. People became more mobile, both socially and geographically, which often left them feeling isolated compared to those in more stable early communities.
Centralized broadcasting addressed the need for governments to efficiently inform all citizens and helped create a unifying 'imagined community' within the nation-state. The widespread nature of these processes made broadcasting the dominant form for both radio and television. However, it is important to also consider the positive view of broadcasting as a tool for democracy. During the period between the World Wars, many countries recognized broadcasting as a way to ensure equal access to the resources needed for informed participation in political, social, and cultural life.
Television is evolving, and there is a possibility that the term broadcasting may become outdated or insufficient. If this happens, the metaphor will only refer to a specific organization of audio-visual technology during a certain centralized phase of social modernization."
CPE_13,C2,"Clutter**
Sometimes, it feels like no matter how many things you own, you never feel secure. While it is natural to want a home that meets your needs, there comes a point when the desire to acquire more possessions becomes excessive. Modern advertising is designed to exploit our insecurities. A common message we receive is that if you don’t have certain items, you are somehow less valuable. To see how much advertising influences you, try not to read any billboards the next time you walk down the street. These expensive messages constantly shape our thoughts in persuasive ways, often without us realizing it. We are surrounded by them—on television, radio, newspapers, magazines, posters, t-shirts, and the internet—all urging us to buy more.
**Caves**
Research institutions and universities worldwide have spent years studying caves, focusing mainly on their origins, water systems, and biology. Caves are a small but intriguing part of the natural world, sparking our curiosity and desire for knowledge. Because they are natural features, they have been studied for a long time, especially in areas where caves impact our lives. However, exploring caves requires physical skill, which means that cave research often involves both professional scientists and amateur enthusiasts who visit caves for recreation.
**Weather Watch**
Many observant people, using only their senses, laid the groundwork for meteorology, which has evolved since the 17th century into a complex science. Today, satellites and electronic devices provide us with quick weather information, and computers can solve complicated calculations much faster than humans. Meteorological terms can be difficult for non-professionals to understand, and it may seem like there is no place for simple weather knowledge. However, human experience remains essential in turning data into weather forecasts. Personal observations can still offer valuable insights that help professionals understand the complexities of the atmosphere."
CPE_16,C2,"**MUSIC AND THEATRE**
Until recently, I believed that opera was primarily theatre. However, after working at a national opera house, I realized that music is actually the main focus, with theatre being secondary. This makes sense, but I come from a theatrical background where the spoken word and the actor are most important. In theatre, once the performance starts, there is no one directing the action, and the performers and audience usually share a common language.
At musical performances, whether in a concert hall or an opera house, many audience members, like me, may not have a deep understanding of music. Some might feel embarrassed about their lack of knowledge, while most are simply amazed by the performers' skills. A talented singer or a skilled string section is easy to admire. Even a decent musician demonstrates years of hard work. Watching top-class music is similar to watching an athletics event; we know athletes are doing something we can relate to, but we also see how much better they are than us.
In contrast, theatre audiences have different expectations. They often do not fully appreciate an actor's skill and may not be particularly impressed by performances that seem similar to what they could do. They frequently ask actors how they memorize their lines, but this does not mean they are less demanding than concert audiences. In fact, many theatre-goers are also concert-goers. This suggests that audiences and performers interact on more equal terms in theatre, regardless of how challenging the material is.
The question arises: does music need to learn from theatre about this relationship? I believe it does. I have seen how a different approach can enhance the experience for concert-goers. Live music is inherently theatrical, filled with emotion, humor, and intimacy. It can be unpredictable and connects with the audience both individually and collectively. However, traditional music presentations often emphasize a hierarchy between performers and listeners, with strict dress codes and excessive respect for conductors and soloists.
On the other hand, contemporary music audiences sometimes disrupt performances by applauding between movements or after impressive pieces. While this is often a genuine expression of appreciation, it can also interrupt the flow of the performance. 
Is there a solution? Yes, many initiatives are underway to attract new audiences to concert halls and opera houses and to break down the barriers that make people feel that ""serious"" music is not for them. I recall a remarkable event, the community opera ""In Search of Angels,"" which took place in various locations within a cathedral and the surrounding town. This experience was not only musical but also transformative for many audience members, who were actively involved.
What I desire in music is more of the risk and creativity that the best theatre can offer. This can come from using unusual or challenging locations that disrupt normal expectations, creating surprising effects for both performers and audiences. While some plays are presented in conventional ways, I believe there is potential for change in how music is experienced.
As an enthusiast of both theatre and music, I want both art forms to flourish and for more people to enjoy the pleasure I find in being part of the audience."
CPE_21,C2,"**Text:**
**Sand**  
While I appreciate sand's amazing ability to be turned into useful items like glass and concrete, I am not a big fan of it in its natural form. To me, it mainly acts as a barrier between a seaside parking lot and the ocean. It blows into your face, gets into your food, and can swallow important items like car keys and coins. When you are wet, it sticks to you like glue and is hard to remove, even with a strong hose. However, the strange thing is that as soon as you step onto a beach towel, get into a car, or walk on a recently cleaned carpet, it falls off you easily. For days after, you find small amounts of it on the floor every time you take off your shoes, and you spread even more when you take off your socks. Sand seems to stay with you longer than many illnesses. So, as far as I’m concerned, you can keep the sand.
**Lock and Key**  
The search for a safe home, privacy, and security has existed since humans first built permanent homes. The simple wooden beam behind the door has changed to electronic locks activated by plastic cards with countless combinations. However, the desire to keep out intruders remains. The appeal of a lock and key is partly psychological. Recently, some companies have tried computerized locking systems, where smart cards control electronic locks through a digital command. But people do not prefer them. You might accept them at work, but at home, everyone wants the comfort of using a physical key. Therefore, when one locksmith company created a new electronic system, they made sure to include a real metal key in the device.
**Modern Art**  
I felt nervous about visiting the new Tate Modern gallery because, like many people, I find modern art confusing. I know I like some of it, especially furry items, neon light sculptures, and large photographs. Maybe if I knew more about it, I would have stronger opinions. However, art is not meant to be understood in a strict way. The goal is not to fully grasp it, but to let it speak to you. This is a great idea, but it has not worked for me in the past. This new gallery has tried to give visitors real insight into the reasons behind the artworks. The first thing I noticed was the labels, which provided context and explained what the art was trying to convey. Instead of staring blankly at the pieces as I used to, these helpful bits of information allowed me to understand better."
CPE_46,C2,"**Every Picture Tells a Story**
**Adapting Novels for Film**
Turning novels into films often means reducing and simplifying the original story. This can be frustrating for writers, but it can also be enlightening. While working on a script, I realized that I could remove much of the dialogue and description from a scene in the novel and still convey the same message. This does not mean that the original dialogue and descriptions were unnecessary. It relates to how each medium engages the audience and the type of repetition it uses. 
In this context, ""redundancy"" refers to the repeated mentions of character traits and speech tags like ""he said."" A character's trait only needs to be described once, but reminders help the audience understand better. In dialogue, we can often guess who is speaking from the context, but speech tags make it easier to read. 
Stage plays, which mainly consist of dialogue, mimic real speech's redundancy to varying degrees. In some modern plays, this can be excessive, making the dialogue seem almost entirely repetitive, which can confuse the audience about the actual message.
**Watching Movies**
When watching movies, viewers can feel completely immersed in the film's world. This experience allows them to escape from reality, at least for the duration of the film. However, once the lights come on, this illusion is shattered, and they return to the real world. People often do not feel accountable for the time spent watching a film, and this sense of unreality can lead to a lack of serious consideration of movies as an art form. Many from previous generations, including our parents and teachers, viewed films as mere entertainment rather than art. While they enjoyed being entertained, they did not appreciate the artistic value of movies.
**The Film Studios**
The Leiper Film Company studios consisted of many different buildings. The layout was confusing, with only a few recognizable landmarks like the Script Department. Most of the space was filled with small, similarly furnished rooms used for meetings, which were hard to identify without a complicated system of letters and numbers. Finding a specific room was a challenge. 
The studio lacked a clear main entrance, having three equal entrances that offered no guidance. This made it difficult for newcomers to navigate. However, there were not many outsiders, as the organization preferred to keep them away. It was assumed that employees could find their way around. Through their teamwork, they created films that allowed viewers to escape from everyday life, even if just for a few hours.
**Film-Makers**
It seems that many people want to make movies. Bookstores are filled with guides on scriptwriting and film production, and universities offer related courses. There are competitions that reward aspiring filmmakers with equipment, like the camera used by Robert Rodriguez to create his film *El Mariachi*, which cost $7,000 and launched his career as an independent director. Rodriguez reflects on his early success, noting that he felt pressure to achieve his breakthrough film before turning 26, just like famous directors Orson Welles and Steven Spielberg did.
In the past, filmmakers were expected to take their time to develop their skills. They often worked behind the scenes as editors, writers, or cinematographers, learning the craft by directing low-budget films. For example, John Huston was 35 when he made his first film, *The Maltese Falcon*, and Fred Zinnemann, who directed *High Noon*, found his stride in his forties. Today, without the support of studios or television, aspiring filmmakers often have to forge their own paths."
CPE_3,C2,"In the past, the council houses spread across the western part of the city, with many rows of small, shabby homes made of orange brick or pale white stucco. In the summer, the chemicals from the May and Baker factory, located two miles away, created a strong smell of sulphur that lingered around the doors and gardens. A common sight in that area of Norwich in the early morning was a paperboy wrinkling his nose in disgust as he walked along someone’s front path. I have forgotten much of my early life, but I remember sitting near an upstairs window, looking at the houses as they disappeared into the distance. 
Later, I have memories of faces I cannot name, my mother ironing towels in a house that I don’t think was ours, and snow falling on the turrets of a large mansion at Earlham. It is not surprising that my mother appears in these early memories. I remember her as a small, precise, and often angry woman, and I never fully understood the reason for her anger, so I could not do anything to make it better. Even as a child, when I went with her to the small shops in Bunnett Square or on longer trips into the city, I sensed something unusual about her personality. She was the most solitary person I have ever known, feeling alone even in a crowded room. 
Her solitude was combined with a strict sense of propriety that was unusual for the West Earlham estate. This sometimes resulted in intense spring-cleaning sessions or strict instructions to ""behave properly."" I found this moral code hard to understand, and even now, I am not sure I fully grasp it. It meant not wandering into neighbors' gardens or damaging their rose bushes while walking down the street; it meant sitting quietly for long periods in a silent dining room, hands folded across my chest, listening to radio programs my mother enjoyed; it meant countless rules and restrictions. 
Over time, other figures appeared in these strict early memories. Despite her solitude, my mother had a few friends. There was Mrs. Buddery, who was obsessed with the Royal Family; Mrs. Winall, who rarely spoke except to agree with others; and Mrs. Laband, who was more lively and somewhat disapproved of by the others. Looking back, I realize that this trio was not good company; they often talked about their bad legs, the cold weather, and ungrateful children, a category in which I often felt included. 
Reflecting on this, it felt like a heavy weight made up of the West Earlham houses, my mother, her friends, and the pressure to ""behave properly"" rested on my shoulders, and I felt it was my responsibility to break free from it. However, this was not easy. Growing up in West Earlham followed a predictable pattern. Until you turned five, you stayed at home and got in your parents' way (I remember long, aimless days playing on a rug while my mother sat coldly in an armchair). Then, in September after your fifth birthday, you were sent to Avenue Road infants school, half a mile away. The lucky few had mothers with old bikes and child seats, which were unusual contraptions with makeshift safety straps. I remember my mother letting me walk with other children in the street for this journey. 
If I recall anything from those early years, it is the summer holidays, when I caught glimpses of the world beyond West Earlham: a vague old man next door to Mrs. Buddery who told stories about his time in the Merchant Navy; a charity fair held at a house far away where a kind woman offered lemonade and tried to interest me in something called the League of Pity, a kind of junior charity. However, my mother dismissed it, saying the organizers were ""only after your money."" My mother often spoke about mercenary motives, and she held politicians in deep contempt. If she thought of the House of Commons, it was as a place where wealthy people opened letters filled with money sent by a gullible public. 
I may exaggerate and overlook her good qualities while focusing on her flaws. However, there was little kindness in my mother; it seemed to have been drained from her. To be fair, she was aware of her role in my education. Occasionally on Sundays, she would take me, dressed in my ""good clothes,"" on the 85 bus to the Norwich Castle Museum. Hand in hand, we would walk through rooms filled with paintings by the Norwich School of Artists. My mother was not completely against this activity and eventually developed some opinions about the art. I remember her stopping in front of a painting of a Roman soldier in full armor and saying, ""Well, I wouldn't want to meet him on a dark night!"" This was one of the few times I remember my mother trying to make a joke."
CPE_10,C2,"Philadelphia Avenue**
I walked down the odd-numbered side of Philadelphia Avenue. The evening was getting darker, and the air was humid with a light drizzle that made my walk feel secretive. I knew this side of the street well; I remembered our neighbors, the Matzes and the Pritchards, Han Kieffer's grocery store, and the houses of my first playmates, all girls. Although I didn’t know everyone by name, each house was clear in my memory, just like the small troughs in the sidewalk that carried rainwater from the roofs to the street, which I would skate or scoot over.
As the street sloped down, I noticed a slight decline in the social status of the houses: the porches were lower, and the front yards were smaller. Over the years, things changed: wooden porch railings were replaced with wrought iron in a style that reminded me of the South or Spain. In Shillington, houses I remembered as homes had turned into stores, and strangely, some stores, like Pep Conrad's and Han Kieffer's, had become homes again. I wondered how the residents used those open spaces and how they lived with the lingering smells of the goods that used to be sold there.
**Bachelor Fads Furniture Designer Rick Gilbert**
Rick Gilbert lives in a flat that used to be a curtain warehouse. It has the typical features of a loft, like exposed brick and large doors that once allowed curtains to be moved from trains nearby. However, Gilbert did not want a completely open space for practical and aesthetic reasons. He explained, ""In my last place, my living and working areas were mixed. It was hard to relax or start working when everything was in view.""
To create a more defined space, he used a large piece of corrugated plastic near the entrance. This screen hides the office, creates a hallway, and leads to the kitchen in the middle of the flat. He wanted the kitchen to be a neutral area where he could cook for friends or make coffee for clients. To balance the modern look of the plastic and stainless steel kitchen, he chose light wood for the floors. His flat is filled with modern furniture, but it also has sentimental pieces from his parents or items he found at markets.
**Bruce Chatwin**
Bruce Chatwin's life and writing are filled with secrets and lies, yet he was a brilliant and unique author. His first book, *In Patagonia*, published in 1977, is a remarkable work of imagination. It reinvented travel writing, combining the excitement of a thriller, the charm of romantic fiction, and the deep insight of great literature. Even in this book, Chatwin mixed fact with fiction; he often changed details to create a more engaging story or to highlight the essence of what he wanted to convey. He suggested that through travel, one could uncover rich histories that seemed to exist just to inspire future explorers.
**Swimming**
During a warm summer rain, I rushed across my lawn and jumped into the pool. As I swam, I kept my eyes just above the water. Each raindrop created a small splash that turned into a bubble and burst. The best moments were when the rain became heavier, drowning out the sound of birds and creating a mist over the water, as if the pool was rising to meet the sky. It was during this summer in 1996 that I began to think about a long swim across Britain. I wanted to follow the rain as it traveled across the land to the sea, escaping the frustration of swimming laps and feeling trapped like a tiger in a cage.
Many of us live in a world where everything is labeled and explained. This trend makes our reality feel more like a visual experience. That’s why activities like walking, cycling, and swimming are so important; they allow us to reconnect with the wild and ancient parts of our world by stepping off the beaten path and breaking free from the official narratives. A swimming journey would let me explore the parts of our world that still hold mystery, like darkness, misty forests, or high mountains."
CPE_67,C2,"**Crying**
Charles Darwin believed that crying did not have a clear purpose in human evolution. However, recent research suggests he was likely mistaken. Scientists now emphasize the social importance of crying, with psychiatrist John Bowlby noting its role in forming the bond between a mother and her child. Many people think that tears, especially in children, mainly show feelings of helplessness. 
Understanding why adults cry is more complicated. It appears that the sound of crying is less important than the visual message it sends. Crying may have been beneficial for early human groups by helping to build trust and social connections. 
There are also other reasons for crying. We might cry to show sympathy for those facing great injustice. Additionally, tears can come unexpectedly, often causing embarrassment, when we hear touching music or powerful speeches. We may also cry while watching emotional movies, and interestingly, this happens more often when we are with others than when we are alone. The social role of crying seems clear, but research on this topic is ongoing."
