text_id,text_level,text
CPE_15,C2,"
Here is a simplified version of the text, adapted for a learner of English at level A1:
'Pay for your trash? It sounds like a good idea. But it's not that simple. In many countries, people don't pay for their trash. They just put it in a bin and it gets taken away. But it's not free. The government pays for it. And the more trash people throw away, the more it costs. So, maybe we should make people pay for their trash. This way, they will throw away less and recycle more.
Some towns in the US have tried this. They make people buy a special sticker to put on their trash bags. Only the bags with the sticker get taken away. The people who did this study found that people threw away less trash. But they also found that people just put more trash in each bag. And some people didn't pay and threw their trash away in other places.
The study also found that people in richer towns throw away more trash than people in poorer towns. And people in richer towns don't have time to recycle. So, is it a good idea to make people pay for their trash? It's not that simple. We need to think about it carefully.'
"
CPE_19,C2,"
'Work and Life
Theodore Zeldin thinks about how our work life can change. Are we happy with our jobs? Many people are not happy. They feel like they are just doing a job, not doing something they love. Even people who are very good at their job can feel unhappy.
Zeldin wants to find a way to make work more fulfilling. He thinks work should be a way to make us happy and fulfilled, not just a way to earn money. He wants to know how we can make our work more enjoyable and meaningful.
He looks at different jobs and sees how they affect people's lives. He talks about hotels, for example. Hotels can be more than just places to sleep. They can be like a United Nations, where people from all over the world meet and learn from each other. But many hotel workers are not happy. They are not treated well and do not have the chance to use their skills.
Zeldin thinks that work should be a relationship between people, not just a job. He wants people to be able to choose their own jobs and work with people they like. He also thinks that people should be able to talk to each other in a way that is respectful and honest. This is important because it helps us understand each other and feel like we are equal.
In short, Zeldin wants to make work a way to make us happy and fulfilled, not just a way to earn money.'
"
CPE_24,C2,"nd_header_id|>
Here is a simplified version of the text, adapted for A1 level learners:
""TELEVISION: How It Started
A long time ago, ""broadcasting"" meant spreading seeds widely. It's not just a farming idea, but also a way to describe something new and modern. It's about sharing things with many people, like a big harvest. The idea of broadcasting uses a central point, like a big bag of seeds, to spread things out. We want to know why a new technology that sends pictures and sounds was set up in a way that used this idea.
Television is related to other ways of communicating, like the phone and the radio. But it was surprising that it was planned to be a centralised ""mass"" medium from the start. This made sense with the way society was organized and how people lived in the past.
Some people tried to do things differently, but it didn't work out. In the 1930s, some people in Britain tried to make two-way television, like a two-way phone. They wrote articles in magazines and built their own TV transmitters and receivers. But big companies didn't want to let them do it their way, and the idea didn't take off.
Television was also used in public places, like movie theaters, in the 1930s. It was seen as a way to compete with the film industry. In many countries, people watched TV in public places, not just at home.
The idea of people making their own TV shows or using TV in their own way was not very successful. Instead, TV was mainly used to show shows and movies to many people at the same time. This was because it was easy to sell TV sets to many people and make a lot of money.
The way TV was organized was connected to the way society was changing. As people got richer and moved to cities, they wanted to have more entertainment and culture at home. TV was a way to bring this to them. The government also wanted to use TV to reach many people with important information.
The way TV was organized was also connected to the idea of a ""nation"" or a country. TV was a way to bring people together and make them feel like they were part of the same group.
Now, TV is changing, and maybe the idea of ""broadcasting"" will change too. Maybe it will become a different way of thinking about TV in the future."""
CPE_13,C2,"
Here is the simplified text for A1 level learners:
'Clutter Sometimes we have too many things, but we never feel safe. It's okay to have some things to make our home comfortable, but sometimes we want more and more. Advertisers try to make us want things we don't really need. They make us feel bad if we don't have something. Try not to look at advertisements next time you're out. They try to make us buy things without us realizing it. We see ads on TV, radio, newspapers, magazines, and the internet. They tell us to buy, buy, buy.
Caves are interesting and mysterious. Scientists study caves to learn more about them. People have been studying caves for a long time. Some people like to visit caves for fun, and they also help scientists learn more about them.
Weather We used to watch the weather with our own eyes. Now we have special machines that help us know what the weather will be like. We get weather information quickly and easily. But we still need people to help us understand the weather. They use computers to figure out what the weather will be like, but they also need people to help them make sense of it.'
"
CPE_16,C2,"
'Music and Theatre
I used to think that opera is mostly a type of theatre. But now I know it's actually more about music. This is good, because music is very important.
I used to work at an opera house and I learned that music is more important than theatre. But I come from a world where theatre is more important. In theatre, the words and the actors are the most important things. There is no one directing the action once the show starts, and the actors and the audience mostly speak the same language.
When people go to a concert or an opera, some people may not know much about music. They might feel a little embarrassed or amazed by how good the performers are. Even people who don't know much about music can appreciate the skill of the performers.
In contrast, people who go to the theatre have different expectations. They don't always understand how hard it is for actors to do their job. They might not be impressed when an actor does a long and difficult speech.
This doesn't mean that people who go to the theatre are more or less generous than people who go to concerts. It just means that the audience and the performers meet on more equal terms in the theatre.
I think music could learn something from theatre about how to connect with the audience. I've seen how a different approach can make a big difference. Music is already a very theatrical thing, full of passion, humor, and emotion. But sometimes the way we present music can make it feel too formal or hierarchical.
There are many people working to make music more accessible to everyone. I think music could be even more special if it was more like theatre, with a sense of risk and adventure. Sometimes this can happen when music is performed in unusual places, like a church or a park. This can be exciting and unexpected for both the performers and the audience.
I love both music and theatre and I want them to both be successful and enjoyable for everyone.'"
CPE_21,C2,"nd_header_id|>
Here is the simplified text for A1 level learners:
I don't like sand when it's not used to make things like glass or concrete. When it's on the beach, it gets in my face and makes a mess. It's hard to get rid of it too. But when I sit down or walk on a clean floor, it suddenly disappears. Sand is very sticky and stays with me for a long time.
People have always wanted a safe and private place to live. This is why we have locks on our doors. Even with new technology, many people still prefer to use a physical key to unlock their doors.
I was worried about visiting a modern art museum because I don't understand modern art. I like some of it, like sculptures with fur and bright lights. But I don't know what most of it means. The museum tried to help me understand the art by giving me information about each piece. This made me feel better and I could understand more of the art.
"
CPE_46,C2,"
Every Picture Tells a Story
When a book is made into a movie, some things are left out. This can be frustrating for the writer, but it can also be helpful. I worked on a script and I was surprised by how much of the book I could leave out and still get the same message across.
In a book, we need to see and hear things many times to understand. But in a movie, we don't need to see and hear things so much. This is because movies are more like real life. We don't need to be told everything all the time.
Movies can be very exciting. They can take us to a different world and make us forget about our own problems. But when the movie is over, we go back to our own world and forget about the movie.
The place where movies are made is called a studio. It's a big building with many rooms. Each room is used for a different job, like writing or editing. The studio can be confusing for people who don't work there. But the people who work there know where to go.
Many people want to make movies. They can buy books about how to do it and even take classes. Some people make movies for very little money and become famous. Others take a long time to make their first movie.
"
CPE_3,C2,"
'I grew up in a place called West Earlham. The houses were all the same, and they were close together. Sometimes, when it was summer, a bad smell came from a factory nearby. I remember looking out of the window and seeing the houses go on and on. My mother was a small, strict woman. She was always angry, and I didn't know why. She liked to keep things clean and tidy. She would say things like ""behave properly"" and ""don't touch that."" She had some friends who were also strict and serious. They would talk about boring things like the weather and how hard life is. My mother was very particular about how we behaved. She would get angry if we didn't do what she said. When I was little, I would play on the floor while my mother sat in an armchair. When I was five, I started going to school. My mother would send me with other children in the street. I liked the summer holidays, when we would see people who lived outside our neighborhood. I remember going to a fair once, where we got lemonade and saw a woman trying to sell us something. My mother didn't like it because she thought the woman was trying to trick us. My mother didn't like politicians because she thought they were bad. Sometimes, she would take me to the museum on Sundays. We would walk around and look at paintings. My mother wasn't very good at making jokes, but once she made one about a Roman soldier.'
I minimized changes to the factual content of the passage to ensure that the questions associated with it remain answerable. I used simpler vocabulary and sentence structures to make the text more accessible to a level A1 learner."
CPE_10,C2,"
Here is a simplified version of the text for a learner of level A1 on the Common European Framework of Reference for Languages (CEFR):
'I walked down Philadelphia Avenue on one side of the street. It was getting dark and the air was wet and misty. I knew this side of the street from when I was a child. There were many houses and shops, and I knew some of the people who lived there. The houses were not all the same, and some were even old and worn out. Over time, some shops had become homes, and some homes had become shops. This was strange and interesting.
I met a man named Rick Gilbert who lived in a big, old warehouse. He had made it into a home and a place to work. He wanted to make sure it was not too empty and open, so he put up a big piece of plastic to divide the space. This made a hallway and a kitchen in the middle of the flat.
Another person, Bruce Chatwin, was a writer who loved to travel. He wrote a book about his travels and made it sound very exciting. But sometimes he made up stories to make it more interesting. He believed that traveling could help us learn about the world and its history.
I also liked to swim in the pool behind my house. One day, I had an idea to swim all the way across Britain to the sea. I wanted to follow the rain and see where it went. Swimming is a way to escape and explore, and it can help us feel free and wild.'
I minimized changes to the factual content of the passage to ensure that the questions associated with it remain answerable. The simplified text still conveys the main ideas and themes of the original passage, but uses simpler vocabulary and sentence structures to make it more accessible to a learner of level A1."
CPE_67,C2,"
Here is the simplified text for A1 level learners:
'Charles Darwin thought that people cry for no good reason. But scientists now think that crying is important for building strong relationships with others. When we are babies, we cry to show that we need help. As we grow up, crying can be a way to show that we are sad or upset. But sometimes we cry because we are happy too. For example, we might cry when we hear beautiful music or see a sad movie. We might even cry when we see someone else being treated unfairly. Crying can be a way to show that we care about others. Some people think that crying is a way to connect with others and feel close to them. Scientists are still studying why we cry, but it's clear that crying is important for our social lives.'
"
